  
       XFOIL         Version 6.96
  
 Calculated polar for: 20-32C AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.1513   0.10998   0.10829  -0.0282   0.8796   0.0041
 -10.250  -0.1460   0.10724   0.10546  -0.0286   0.8572   0.0042
 -10.000  -0.2625   0.12001   0.11851  -0.0157   0.9896   0.0038
  -9.750  -0.2494   0.11680   0.11526  -0.0183   0.9562   0.0039
  -9.500  -0.2425   0.11431   0.11268  -0.0188   0.9188   0.0040
  -9.250  -0.2359   0.11189   0.11013  -0.0191   0.8851   0.0042
  -9.000  -0.2286   0.10936   0.10746  -0.0199   0.8528   0.0044
  -8.750  -0.2205   0.10671   0.10468  -0.0208   0.8200   0.0046
  -8.500  -0.2120   0.10396   0.10180  -0.0220   0.7896   0.0051
  -8.250  -0.2027   0.10081   0.09855  -0.0237   0.7639   0.0056
  -8.000  -0.1936   0.09788   0.09552  -0.0253   0.7397   0.0057
  -7.750  -0.1842   0.09494   0.09251  -0.0272   0.7202   0.0057
  -7.500  -0.1745   0.09204   0.08956  -0.0289   0.7035   0.0057
  -7.250  -0.1645   0.08914   0.08660  -0.0308   0.6874   0.0057
  -7.000  -0.1547   0.08632   0.08374  -0.0327   0.6720   0.0057
  -6.750  -0.1408   0.08317   0.08053  -0.0357   0.6574   0.0057
  -6.500  -0.0586   0.06098   0.05831  -0.0415   0.6062   0.0047
  -6.250  -0.1106   0.07720   0.07446  -0.0417   0.6303   0.0049
  -4.750   0.1600   0.01406   0.00929  -0.1269   0.5720   0.0057
  -4.500   0.1917   0.01198   0.00670  -0.1284   0.5573   0.0061
  -4.250   0.2215   0.01118   0.00564  -0.1289   0.5434   0.0067
  -4.000   0.2508   0.01069   0.00494  -0.1292   0.5290   0.0073
  -3.750   0.2799   0.01031   0.00436  -0.1295   0.5138   0.0079
  -3.500   0.3089   0.01001   0.00387  -0.1296   0.4974   0.0085
  -3.250   0.3379   0.00979   0.00355  -0.1298   0.4820   0.0104
  -3.000   0.3666   0.00967   0.00332  -0.1299   0.4683   0.0123
  -2.750   0.3951   0.00971   0.00331  -0.1299   0.4551   0.0147
  -2.500   0.4233   0.00987   0.00342  -0.1298   0.4418   0.0169
  -2.250   0.4515   0.01001   0.00347  -0.1297   0.4280   0.0185
  -2.000   0.4798   0.01009   0.00347  -0.1297   0.4143   0.0192
  -1.750   0.5085   0.00995   0.00323  -0.1299   0.4015   0.0208
  -1.500   0.5367   0.01003   0.00326  -0.1299   0.3907   0.0222
  -1.250   0.5652   0.00999   0.00312  -0.1299   0.3803   0.0233
  -1.000   0.5937   0.00994   0.00299  -0.1300   0.3697   0.0245
  -0.750   0.6223   0.00983   0.00278  -0.1301   0.3592   0.0254
