  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.000  -0.6088   0.08451   0.08268  -0.0352   1.0000   0.0041
 -11.750  -0.6229   0.07853   0.07669  -0.0385   1.0000   0.0041
 -11.500  -0.7349   0.02930   0.02678  -0.0937   0.9975   0.0034
 -11.250  -0.7061   0.02379   0.02084  -0.1000   0.9963   0.0035
 -11.000  -0.6749   0.02123   0.01801  -0.1033   0.9953   0.0037
 -10.750  -0.6440   0.01950   0.01605  -0.1056   0.9941   0.0039
 -10.500  -0.6140   0.01820   0.01455  -0.1071   0.9925   0.0040
 -10.250  -0.5835   0.01713   0.01332  -0.1085   0.9910   0.0041
 -10.000  -0.5528   0.01565   0.01162  -0.1102   0.9897   0.0044
  -9.750  -0.5216   0.01458   0.01040  -0.1116   0.9886   0.0047
  -9.500  -0.4902   0.01377   0.00947  -0.1128   0.9876   0.0050
  -9.250  -0.4589   0.01307   0.00866  -0.1139   0.9865   0.0053
  -9.000  -0.4292   0.01245   0.00793  -0.1146   0.9844   0.0056
  -8.750  -0.3996   0.01191   0.00728  -0.1151   0.9818   0.0060
  -8.500  -0.3690   0.01143   0.00671  -0.1158   0.9793   0.0063
  -8.250  -0.3376   0.01082   0.00597  -0.1168   0.9769   0.0069
  -8.000  -0.3083   0.01033   0.00541  -0.1172   0.9726   0.0078
  -7.750  -0.2784   0.00993   0.00495  -0.1177   0.9682   0.0088
  -7.500  -0.2481   0.00960   0.00455  -0.1182   0.9644   0.0096
  -7.250  -0.2194   0.00919   0.00408  -0.1184   0.9587   0.0120
  -7.000  -0.1900   0.00886   0.00370  -0.1187   0.9531   0.0153
  -6.750  -0.1614   0.00851   0.00342  -0.1189   0.9464   0.0261
  -6.500  -0.1329   0.00837   0.00324  -0.1189   0.9387   0.0307
  -6.250  -0.1046   0.00820   0.00304  -0.1189   0.9298   0.0335
  -6.000  -0.0765   0.00807   0.00289  -0.1188   0.9197   0.0360
  -5.750  -0.0487   0.00800   0.00275  -0.1187   0.9080   0.0383
  -5.500  -0.0208   0.00792   0.00261  -0.1185   0.8953   0.0395
  -5.250   0.0073   0.00784   0.00246  -0.1185   0.8832   0.0408
  -5.000   0.0356   0.00768   0.00226  -0.1185   0.8712   0.0444
  -4.750   0.0638   0.00758   0.00209  -0.1184   0.8579   0.0460
  -4.500   0.0920   0.00751   0.00194  -0.1184   0.8438   0.0475
  -4.250   0.1201   0.00745   0.00181  -0.1183   0.8285   0.0489
  -4.000   0.1483   0.00741   0.00168  -0.1183   0.8135   0.0502
  -3.750   0.1766   0.00738   0.00158  -0.1183   0.7992   0.0512
  -3.500   0.2047   0.00737   0.00149  -0.1183   0.7835   0.0520
  -3.250   0.2330   0.00732   0.00136  -0.1183   0.7681   0.0560
  -3.000   0.2614   0.00728   0.00129  -0.1184   0.7544   0.0601
  -2.750   0.2898   0.00726   0.00123  -0.1184   0.7411   0.0639
  -2.500   0.3182   0.00725   0.00118  -0.1185   0.7282   0.0695
  -2.250   0.3465   0.00722   0.00114  -0.1186   0.7147   0.0797
  -2.000   0.3747   0.00719   0.00111  -0.1186   0.6961   0.0999
  -1.750   0.4026   0.00719   0.00110  -0.1187   0.6712   0.1281
  -1.500   0.4303   0.00725   0.00111  -0.1187   0.6401   0.1494
  -1.250   0.4578   0.00737   0.00113  -0.1186   0.6046   0.1661
  -1.000   0.4854   0.00746   0.00116  -0.1187   0.5759   0.1883
  -0.750   0.5134   0.00751   0.00121  -0.1187   0.5582   0.2150
  -0.500   0.5414   0.00756   0.00126  -0.1188   0.5431   0.2377
  -0.250   0.5695   0.00759   0.00131  -0.1189   0.5293   0.2601
   0.000   0.5978   0.00754   0.00139  -0.1192   0.5191   0.3220
   0.250   0.6261   0.00755   0.00147  -0.1193   0.5087   0.3633
   0.500   0.6543   0.00758   0.00155  -0.1194   0.4973   0.3912
   0.750   0.6822   0.00765   0.00161  -0.1195   0.4789   0.4052
   1.000   0.7089   0.00792   0.00170  -0.1194   0.4286   0.4161
   1.250   0.7363   0.00804   0.00183  -0.1194   0.4127   0.4388
   1.500   0.7642   0.00798   0.00200  -0.1197   0.4002   0.5577
   1.750   0.7915   0.00797   0.00220  -0.1198   0.3796   0.6714
   2.000   0.8122   0.00741   0.00229  -0.1181   0.3628   1.0000
   2.250   0.8362   0.00812   0.00255  -0.1177   0.2613   1.0000
   2.500   0.8603   0.00882   0.00291  -0.1173   0.1903   1.0000
   2.750   0.8868   0.00914   0.00312  -0.1171   0.1655   1.0000
   3.000   0.9133   0.00943   0.00332  -0.1170   0.1452   1.0000
   3.250   0.9393   0.00979   0.00354  -0.1168   0.1179   1.0000
   3.500   0.9641   0.01033   0.00386  -0.1165   0.0746   1.0000
   3.750   0.9894   0.01076   0.00419  -0.1162   0.0512   1.0000
   4.000   1.0144   0.01124   0.00454  -0.1158   0.0296   1.0000
   4.250   1.0395   0.01169   0.00490  -0.1154   0.0142   1.0000
   4.500   1.0653   0.01200   0.00522  -0.1151   0.0119   1.0000
   4.750   1.0907   0.01238   0.00561  -0.1148   0.0095   1.0000
   5.000   1.1163   0.01270   0.00597  -0.1145   0.0085   1.0000
   5.250   1.1417   0.01304   0.00633  -0.1142   0.0076   1.0000
   5.500   1.1665   0.01343   0.00673  -0.1138   0.0068   1.0000
   5.750   1.1904   0.01395   0.00729  -0.1132   0.0060   1.0000
   6.000   1.2151   0.01434   0.00771  -0.1127   0.0057   1.0000
   6.250   1.2393   0.01476   0.00818  -0.1122   0.0054   1.0000
   6.500   1.2631   0.01523   0.00871  -0.1117   0.0050   1.0000
   6.750   1.2867   0.01569   0.00920  -0.1111   0.0047   1.0000
   7.000   1.3098   0.01619   0.00972  -0.1105   0.0043   1.0000
   7.250   1.3308   0.01695   0.01054  -0.1094   0.0039   1.0000
   7.500   1.3534   0.01746   0.01111  -0.1087   0.0038   1.0000
   7.750   1.3752   0.01806   0.01177  -0.1079   0.0036   1.0000
   8.000   1.3962   0.01870   0.01248  -0.1069   0.0035   1.0000
   8.250   1.4167   0.01938   0.01324  -0.1058   0.0033   1.0000
   8.500   1.4366   0.02009   0.01402  -0.1047   0.0032   1.0000
   8.750   1.4559   0.02082   0.01485  -0.1035   0.0030   1.0000
   9.000   1.4747   0.02157   0.01566  -0.1023   0.0029   1.0000
   9.250   1.4929   0.02231   0.01648  -0.1009   0.0028   1.0000
   9.500   1.5101   0.02312   0.01736  -0.0995   0.0027   1.0000
   9.750   1.5256   0.02404   0.01835  -0.0977   0.0026   1.0000
  10.000   1.5383   0.02511   0.01953  -0.0956   0.0026   1.0000
  10.250   1.5452   0.02657   0.02113  -0.0925   0.0024   1.0000
  10.500   1.5497   0.02792   0.02262  -0.0890   0.0024   1.0000
  10.750   1.5570   0.02902   0.02383  -0.0861   0.0024   1.0000
  11.250   1.5670   0.03174   0.02683  -0.0802   0.0023   1.0000
  11.500   1.5710   0.03328   0.02850  -0.0774   0.0023   1.0000
  11.750   1.5737   0.03499   0.03035  -0.0748   0.0022   1.0000
  12.000   1.5751   0.03689   0.03240  -0.0724   0.0022   1.0000
  12.250   1.5750   0.03904   0.03469  -0.0701   0.0021   1.0000
  12.500   1.5742   0.04136   0.03716  -0.0682   0.0021   1.0000
  12.750   1.5721   0.04395   0.03989  -0.0665   0.0020   1.0000
  13.000   1.5677   0.04695   0.04306  -0.0652   0.0020   1.0000
  13.250   1.5621   0.05029   0.04655  -0.0643   0.0020   1.0000
  13.500   1.5554   0.05396   0.05038  -0.0639   0.0019   1.0000
  13.750   1.5457   0.05828   0.05486  -0.0640   0.0019   1.0000
  14.000   1.5353   0.06298   0.05971  -0.0646   0.0019   1.0000
  14.250   1.5208   0.06858   0.06549  -0.0659   0.0019   1.0000
  14.500   1.5038   0.07507   0.07214  -0.0680   0.0019   1.0000
  14.750   1.4866   0.08194   0.07917  -0.0707   0.0019   1.0000
  15.000   1.4644   0.09009   0.08750  -0.0742   0.0019   1.0000
  15.250   1.4404   0.09922   0.09681  -0.0786   0.0019   1.0000
  15.500   1.4102   0.11004   0.10780  -0.0840   0.0019   1.0000
  15.750   1.3816   0.12115   0.11907  -0.0897   0.0019   1.0000
  16.000   1.3448   0.13522   0.13333  -0.0971   0.0019   1.0000
  16.250   1.3077   0.14969   0.14796  -0.1047   0.0020   1.0000
  16.500   1.2739   0.16398   0.16237  -0.1125   0.0021   1.0000
