  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4139   0.09993   0.09759  -0.0270   1.0000   0.0254
  -9.750  -0.4171   0.09608   0.09377  -0.0302   1.0000   0.0266
  -9.000  -0.5381   0.02452   0.02100  -0.0866   1.0000   0.0146
  -8.750  -0.5136   0.02169   0.01769  -0.0882   1.0000   0.0152
  -8.500  -0.4879   0.01864   0.01421  -0.0899   1.0000   0.0166
  -8.250  -0.4640   0.01789   0.01334  -0.0896   1.0000   0.0176
  -8.000  -0.4384   0.01685   0.01208  -0.0897   0.9999   0.0187
  -7.750  -0.4031   0.01579   0.01077  -0.0916   0.9987   0.0200
  -7.500  -0.3678   0.01441   0.00918  -0.0937   0.9975   0.0224
  -7.250  -0.3315   0.01419   0.00891  -0.0955   0.9958   0.0252
  -7.000  -0.2951   0.01353   0.00813  -0.0975   0.9947   0.0291
  -6.750  -0.2599   0.01357   0.00816  -0.0989   0.9925   0.0333
  -6.500  -0.2252   0.01309   0.00759  -0.1005   0.9903   0.0380
  -6.250  -0.1895   0.01325   0.00775  -0.1022   0.9879   0.0423
  -6.000  -0.1528   0.01336   0.00777  -0.1039   0.9859   0.0454
  -5.750  -0.1164   0.01235   0.00667  -0.1060   0.9847   0.0497
  -5.500  -0.0790   0.01216   0.00645  -0.1081   0.9834   0.0534
  -5.250  -0.0470   0.01196   0.00617  -0.1089   0.9794   0.0565
  -5.000  -0.0121   0.01144   0.00557  -0.1105   0.9767   0.0590
  -4.750   0.0240   0.01071   0.00481  -0.1123   0.9748   0.0623
  -4.500   0.0610   0.01035   0.00443  -0.1143   0.9731   0.0657
  -4.250   0.0985   0.00998   0.00402  -0.1163   0.9717   0.0686
  -4.000   0.1330   0.00970   0.00369  -0.1177   0.9688   0.0708
  -3.750   0.1647   0.00922   0.00322  -0.1185   0.9637   0.0757
  -3.500   0.1985   0.00893   0.00294  -0.1197   0.9600   0.0812
  -3.250   0.2328   0.00864   0.00265  -0.1209   0.9567   0.0891
  -3.000   0.2614   0.00838   0.00246  -0.1210   0.9488   0.1036
  -2.750   0.2932   0.00805   0.00228  -0.1217   0.9434   0.1440
  -2.500   0.3215   0.00783   0.00219  -0.1217   0.9344   0.1847
  -2.250   0.3509   0.00766   0.00211  -0.1219   0.9262   0.2206
  -2.000   0.3792   0.00750   0.00201  -0.1218   0.9158   0.2505
  -1.750   0.4071   0.00732   0.00195  -0.1217   0.9044   0.2893
  -1.500   0.4350   0.00718   0.00196  -0.1216   0.8926   0.3580
