  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.000  -0.4663   0.11599   0.11423  -0.0206   1.0000   0.0055
 -10.750  -0.4633   0.11214   0.11038  -0.0222   1.0000   0.0055
 -10.250  -0.7029   0.02645   0.02375  -0.0936   0.9970   0.0054
 -10.000  -0.6747   0.02193   0.01878  -0.0987   0.9960   0.0056
  -9.750  -0.6450   0.01998   0.01661  -0.1011   0.9953   0.0058
  -9.500  -0.6145   0.01855   0.01499  -0.1030   0.9946   0.0060
  -9.250  -0.5845   0.01734   0.01362  -0.1045   0.9937   0.0062
  -9.000  -0.5549   0.01633   0.01246  -0.1057   0.9923   0.0064
  -8.750  -0.5246   0.01542   0.01140  -0.1069   0.9909   0.0066
  -8.500  -0.4938   0.01458   0.01041  -0.1081   0.9895   0.0069
  -8.250  -0.4625   0.01380   0.00950  -0.1093   0.9882   0.0071
  -8.000  -0.4307   0.01312   0.00869  -0.1106   0.9870   0.0073
  -7.750  -0.3986   0.01249   0.00794  -0.1119   0.9859   0.0076
  -7.500  -0.3664   0.01193   0.00728  -0.1131   0.9847   0.0078
  -7.250  -0.3341   0.01143   0.00667  -0.1143   0.9834   0.0079
  -7.000  -0.3053   0.01077   0.00590  -0.1147   0.9797   0.0084
  -6.750  -0.2752   0.01030   0.00536  -0.1153   0.9763   0.0090
  -6.500  -0.2443   0.00992   0.00493  -0.1161   0.9733   0.0096
  -6.250  -0.2130   0.00958   0.00454  -0.1169   0.9706   0.0103
  -6.000  -0.1847   0.00930   0.00420  -0.1170   0.9652   0.0110
  -5.750  -0.1552   0.00899   0.00384  -0.1174   0.9601   0.0121
  -5.500  -0.1259   0.00870   0.00353  -0.1177   0.9551   0.0138
  -5.250  -0.0974   0.00848   0.00327  -0.1178   0.9485   0.0152
  -5.000  -0.0687   0.00829   0.00303  -0.1180   0.9424   0.0162
  -4.750  -0.0404   0.00803   0.00274  -0.1180   0.9348   0.0188
  -4.500  -0.0121   0.00786   0.00253  -0.1180   0.9272   0.0211
  -4.250   0.0161   0.00771   0.00234  -0.1180   0.9183   0.0232
  -4.000   0.0443   0.00752   0.00215  -0.1180   0.9092   0.0280
  -3.750   0.0724   0.00740   0.00198  -0.1180   0.8992   0.0328
  -3.500   0.1005   0.00726   0.00183  -0.1180   0.8882   0.0392
