  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.750  -0.4192   0.10716   0.10034  -0.0226   1.0000   0.1912
  -7.500  -0.3925   0.10053   0.09364  -0.0204   1.0000   0.2005
  -7.250  -0.4112   0.10066   0.09397  -0.0217   1.0000   0.2053
  -7.000  -0.3954   0.09545   0.08875  -0.0190   1.0000   0.2117
  -6.750  -0.4054   0.09464   0.08809  -0.0216   1.0000   0.2197
  -6.250  -0.4009   0.08898   0.08258  -0.0231   1.0000   0.2351
  -6.000  -0.3890   0.08463   0.07821  -0.0185   1.0000   0.2439
  -5.750  -0.3862   0.08176   0.07542  -0.0187   1.0000   0.2543
  -5.500  -0.3821   0.07898   0.07270  -0.0186   1.0000   0.2682
  -5.250  -0.3767   0.07614   0.06991  -0.0177   1.0000   0.2839
  -5.000  -0.3705   0.07330   0.06712  -0.0172   1.0000   0.3003
  -4.750  -0.3623   0.07089   0.06473  -0.0207   1.0000   0.3222
  -4.500  -0.3545   0.06756   0.06144  -0.0185   1.0000   0.3381
  -4.250  -0.3459   0.06450   0.05842  -0.0163   1.0000   0.3562
  -4.000  -0.2166   0.04629   0.03864  -0.0666   1.0000   0.1768
  -3.750  -0.1885   0.04203   0.03421  -0.0687   1.0000   0.1716
  -3.500  -0.1406   0.03593   0.02723  -0.0762   1.0000   0.1652
  -3.250  -0.1054   0.03297   0.02362  -0.0790   1.0000   0.1776
  -3.000  -0.0746   0.03060   0.02096  -0.0802   1.0000   0.1872
  -2.750  -0.0442   0.02888   0.01892  -0.0813   1.0000   0.2083
  -2.500  -0.0146   0.02732   0.01713  -0.0820   1.0000   0.2275
  -2.250   0.0136   0.02626   0.01593  -0.0823   1.0000   0.2570
  -2.000   0.0429   0.02529   0.01478  -0.0828   1.0000   0.2899
  -1.750   0.0707   0.02450   0.01396  -0.0831   1.0000   0.3263
  -1.500   0.0983   0.02391   0.01336  -0.0832   1.0000   0.3708
  -1.250   0.1264   0.02335   0.01282  -0.0834   1.0000   0.4244
  -1.000   0.1546   0.02272   0.01235  -0.0836   1.0000   0.4945
  -0.750   0.1826   0.02170   0.01195  -0.0834   1.0000   0.6134
  -0.500   0.1909   0.02046   0.01141  -0.0797   1.0000   1.0000
  -0.250   0.2177   0.02101   0.01142  -0.0806   1.0000   1.0000
   0.000   0.2411   0.02160   0.01169  -0.0808   1.0000   1.0000
   0.250   0.2635   0.02225   0.01212  -0.0809   1.0000   1.0000
   0.500   0.2852   0.02296   0.01266  -0.0810   1.0000   1.0000
   0.750   0.3063   0.02373   0.01329  -0.0811   1.0000   1.0000
   1.000   0.3268   0.02457   0.01403  -0.0812   1.0000   1.0000
   1.250   0.3467   0.02549   0.01486  -0.0814   1.0000   1.0000
   1.500   0.3661   0.02647   0.01578  -0.0815   1.0000   1.0000
   1.750   0.3851   0.02752   0.01678  -0.0817   1.0000   1.0000
   2.000   0.4035   0.02863   0.01788  -0.0820   1.0000   1.0000
   2.250   0.4374   0.02984   0.01908  -0.0851   0.9935   1.0000
   2.500   0.4828   0.03099   0.02026  -0.0902   0.9787   1.0000
   2.750   0.5264   0.03209   0.02141  -0.0947   0.9639   1.0000
   3.000   0.5684   0.03313   0.02255  -0.0987   0.9489   1.0000
   3.250   0.6096   0.03411   0.02364  -0.1024   0.9337   1.0000
   3.500   0.6510   0.03501   0.02467  -0.1059   0.9181   1.0000
   3.750   0.6946   0.03577   0.02564  -0.1095   0.9021   1.0000
   4.000   0.7282   0.03647   0.02652  -0.1111   0.8826   1.0000
   4.250   0.7783   0.03650   0.02679  -0.1143   0.8610   1.0000
   4.500   0.8216   0.03625   0.02686  -0.1158   0.8360   1.0000
   4.750   0.8727   0.03534   0.02630  -0.1174   0.8113   1.0000
   5.000   0.9369   0.03314   0.02455  -0.1193   0.7875   1.0000
   5.250   0.9857   0.03106   0.02292  -0.1183   0.7592   1.0000
   5.500   1.0245   0.02900   0.02121  -0.1152   0.7225   1.0000
   5.750   1.0620   0.02628   0.01872  -0.1103   0.6707   1.0000
   6.000   1.0822   0.02475   0.01722  -0.1039   0.5954   1.0000
   6.250   1.0883   0.02460   0.01652  -0.0962   0.4654   1.0000
   6.500   1.0834   0.02720   0.01752  -0.0893   0.2974   1.0000
   6.750   1.0928   0.03084   0.02005  -0.0860   0.2078   1.0000
   7.000   1.1177   0.03401   0.02271  -0.0849   0.1631   1.0000
