  
       XFOIL         Version 6.96
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.5766   0.12798   0.12567   0.0273   1.0000   0.0068
 -10.000  -0.5718   0.12404   0.12174   0.0254   1.0000   0.0070
  -8.750  -0.5503   0.10462   0.10240   0.0161   1.0000   0.0072
  -7.500  -0.4522   0.06724   0.06522  -0.0037   1.0000   0.0045
  -7.250  -0.4544   0.06272   0.06074  -0.0062   1.0000   0.0044
  -6.750  -0.5039   0.06615   0.06396  -0.0140   1.0000   0.0042
  -6.500  -0.4874   0.05994   0.05769  -0.0200   1.0000   0.0042
  -6.250  -0.4683   0.05335   0.05099  -0.0254   1.0000   0.0042
  -6.000  -0.4474   0.04583   0.04328  -0.0300   1.0000   0.0044
  -5.750  -0.4275   0.03817   0.03533  -0.0333   1.0000   0.0045
  -5.500  -0.4064   0.03152   0.02832  -0.0347   1.0000   0.0046
  -5.250  -0.3847   0.02631   0.02272  -0.0350   1.0000   0.0048
  -5.000  -0.3614   0.02477   0.02101  -0.0349   1.0000   0.0053
  -4.750  -0.3381   0.02190   0.01780  -0.0345   1.0000   0.0059
  -4.500  -0.3145   0.01873   0.01417  -0.0337   1.0000   0.0061
  -4.250  -0.2905   0.01605   0.01104  -0.0328   1.0000   0.0059
  -4.000  -0.2606   0.01399   0.00860  -0.0330   0.9971   0.0057
  -3.750  -0.2270   0.01245   0.00677  -0.0341   0.9911   0.0056
  -3.500  -0.1930   0.01130   0.00541  -0.0352   0.9834   0.0056
  -3.250  -0.1597   0.01043   0.00442  -0.0362   0.9732   0.0057
  -3.000  -0.1264   0.00975   0.00364  -0.0373   0.9607   0.0058
  -2.750  -0.0942   0.00924   0.00303  -0.0380   0.9451   0.0060
  -2.500  -0.0645   0.00886   0.00254  -0.0381   0.9256   0.0065
  -2.250  -0.0371   0.00860   0.00214  -0.0376   0.9021   0.0074
  -2.000  -0.0109   0.00830   0.00178  -0.0369   0.8767   0.0167
  -1.750   0.0149   0.00803   0.00158  -0.0363   0.8494   0.0527
  -1.500   0.0406   0.00775   0.00144  -0.0358   0.8208   0.1147
  -1.250   0.0667   0.00760   0.00131  -0.0353   0.7910   0.1619
  -1.000   0.0930   0.00744   0.00120  -0.0350   0.7614   0.2218
  -0.750   0.1192   0.00716   0.00112  -0.0347   0.7324   0.3271
  -0.500   0.1447   0.00670   0.00106  -0.0344   0.7035   0.4989
  -0.250   0.1686   0.00615   0.00103  -0.0337   0.6755   0.6971
   0.000   0.1882   0.00570   0.00105  -0.0314   0.6487   0.8729
   0.250   0.2274   0.00569   0.00101  -0.0335   0.6166   0.9935
   0.500   0.2560   0.00583   0.00098  -0.0336   0.5869   1.0000
   0.750   0.2829   0.00599   0.00098  -0.0333   0.5570   1.0000
   1.000   0.3098   0.00616   0.00099  -0.0331   0.5265   1.0000
   1.250   0.3368   0.00633   0.00101  -0.0329   0.4963   1.0000
   1.500   0.3638   0.00652   0.00105  -0.0327   0.4662   1.0000
   1.750   0.3908   0.00671   0.00112  -0.0325   0.4361   1.0000
   2.000   0.4178   0.00692   0.00118  -0.0324   0.4065   1.0000
   2.250   0.4448   0.00712   0.00126  -0.0322   0.3784   1.0000
   2.500   0.4718   0.00733   0.00136  -0.0321   0.3522   1.0000
   2.750   0.4988   0.00755   0.00147  -0.0320   0.3255   1.0000
   3.000   0.5258   0.00779   0.00161  -0.0318   0.2994   1.0000
   3.250   0.5527   0.00803   0.00175  -0.0317   0.2741   1.0000
   3.500   0.5795   0.00828   0.00190  -0.0316   0.2492   1.0000
   3.750   0.6064   0.00854   0.00206  -0.0315   0.2252   1.0000
   4.000   0.6332   0.00880   0.00227  -0.0313   0.2046   1.0000
   4.250   0.6600   0.00907   0.00247  -0.0312   0.1848   1.0000
   4.500   0.6867   0.00936   0.00268  -0.0311   0.1640   1.0000
   4.750   0.7134   0.00964   0.00292  -0.0309   0.1472   1.0000
   5.000   0.7399   0.00995   0.00319  -0.0308   0.1300   1.0000
   5.250   0.7663   0.01029   0.00347  -0.0306   0.1122   1.0000
   5.500   0.7927   0.01061   0.00376  -0.0305   0.0983   1.0000
   5.750   0.8189   0.01096   0.00409  -0.0303   0.0847   1.0000
   6.000   0.8450   0.01134   0.00444  -0.0301   0.0715   1.0000
   6.250   0.8710   0.01172   0.00483  -0.0299   0.0621   1.0000
   6.500   0.8968   0.01215   0.00524  -0.0297   0.0526   1.0000
   6.750   0.9227   0.01252   0.00564  -0.0295   0.0459   1.0000
   7.000   0.9484   0.01296   0.00611  -0.0292   0.0398   1.0000
   7.250   0.9739   0.01339   0.00656  -0.0290   0.0341   1.0000
   7.500   0.9991   0.01387   0.00711  -0.0287   0.0292   1.0000
   7.750   1.0243   0.01434   0.00762  -0.0284   0.0247   1.0000
   8.000   1.0489   0.01493   0.00825  -0.0281   0.0205   1.0000
   8.250   1.0737   0.01542   0.00882  -0.0278   0.0175   1.0000
   8.500   1.0974   0.01615   0.00957  -0.0274   0.0137   1.0000
   8.750   1.1217   0.01671   0.01024  -0.0270   0.0121   1.0000
   9.000   1.1451   0.01741   0.01100  -0.0266   0.0099   1.0000
   9.250   1.1679   0.01821   0.01192  -0.0261   0.0079   1.0000
   9.500   1.1909   0.01890   0.01268  -0.0256   0.0063   1.0000
   9.750   1.2124   0.01983   0.01369  -0.0251   0.0049   1.0000
  10.000   1.2346   0.02060   0.01457  -0.0246   0.0039   1.0000
  10.250   1.2552   0.02159   0.01567  -0.0239   0.0032   1.0000
  10.500   1.2746   0.02276   0.01700  -0.0232   0.0027   1.0000
  10.750   1.2938   0.02387   0.01828  -0.0224   0.0023   1.0000
  11.000   1.3119   0.02508   0.01965  -0.0216   0.0020   1.0000
  11.250   1.3286   0.02641   0.02115  -0.0206   0.0017   1.0000
  11.500   1.3416   0.02815   0.02313  -0.0195   0.0015   1.0000
  11.750   1.3523   0.03005   0.02525  -0.0182   0.0014   1.0000
  12.000   1.3622   0.03184   0.02726  -0.0169   0.0013   1.0000
  12.250   1.3681   0.03388   0.02952  -0.0154   0.0012   1.0000
  12.500   1.3678   0.03607   0.03192  -0.0134   0.0011   1.0000
  12.750   1.3623   0.03869   0.03474  -0.0118   0.0011   1.0000
  13.000   1.3539   0.04208   0.03834  -0.0116   0.0010   1.0000
  13.250   1.3433   0.04658   0.04305  -0.0134   0.0010   1.0000
  13.500   1.3292   0.05268   0.04936  -0.0173   0.0010   1.0000
  13.750   1.3111   0.06060   0.05751  -0.0232   0.0010   1.0000
  14.000   1.2872   0.07039   0.06749  -0.0300   0.0010   1.0000
  14.250   1.2577   0.08127   0.07853  -0.0365   0.0011   1.0000
  14.500   1.2250   0.09253   0.08992  -0.0425   0.0012   1.0000
  14.750   1.1900   0.10415   0.10165  -0.0483   0.0012   1.0000
