  
       XFOIL         Version 6.96
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.5492   0.10620   0.10397   0.0179   1.0000   0.0104
  -8.500  -0.5446   0.10234   0.10012   0.0156   1.0000   0.0108
  -8.250  -0.5403   0.09841   0.09621   0.0127   1.0000   0.0111
  -8.000  -0.5350   0.09453   0.09235   0.0097   1.0000   0.0113
  -7.750  -0.5295   0.09072   0.08857   0.0068   1.0000   0.0114
  -7.500  -0.5240   0.08668   0.08455   0.0033   1.0000   0.0115
  -7.250  -0.5136   0.08195   0.07983  -0.0021   1.0000   0.0115
  -7.000  -0.5006   0.07688   0.07476  -0.0079   1.0000   0.0116
  -6.750  -0.4855   0.07156   0.06940  -0.0137   1.0000   0.0116
  -6.500  -0.4687   0.06606   0.06385  -0.0190   1.0000   0.0116
  -6.250  -0.4630   0.05792   0.05565  -0.0245   1.0000   0.0123
  -6.000  -0.4467   0.05432   0.05198  -0.0267   1.0000   0.0128
  -5.750  -0.4277   0.05053   0.04811  -0.0291   1.0000   0.0134
  -5.500  -0.4066   0.04630   0.04375  -0.0315   1.0000   0.0144
  -5.250  -0.3833   0.04165   0.03892  -0.0335   1.0000   0.0158
  -5.000  -0.3513   0.03837   0.03536  -0.0339   1.0000   0.0181
  -4.750  -0.3346   0.03039   0.02686  -0.0352   1.0000   0.0190
  -4.500  -0.3152   0.02786   0.02426  -0.0353   1.0000   0.0203
  -4.250  -0.2936   0.02674   0.02307  -0.0350   1.0000   0.0232
  -4.000  -0.2660   0.02675   0.02279  -0.0335   1.0000   0.0274
  -3.750  -0.2472   0.02107   0.01659  -0.0332   1.0000   0.0295
  -3.500  -0.2253   0.01938   0.01483  -0.0325   1.0000   0.0312
  -3.250  -0.1966   0.01418   0.00884  -0.0303   1.0000   0.0149
  -3.000  -0.1703   0.01216   0.00643  -0.0290   1.0000   0.0122
