  
       XFOIL         Version 6.96
  
 Calculated polar for: AG24 Bubble Dancer DLG by Mark Drela            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.5211   0.08459   0.08308  -0.0087   1.0000   0.0084
  -8.250  -0.5203   0.07984   0.07835  -0.0121   1.0000   0.0087
  -8.000  -0.5207   0.07459   0.07313  -0.0164   1.0000   0.0088
  -7.750  -0.5156   0.06737   0.06593  -0.0256   1.0000   0.0090
  -7.500  -0.5059   0.05509   0.05357  -0.0421   1.0000   0.0089
  -7.250  -0.5013   0.04260   0.04080  -0.0518   1.0000   0.0089
  -6.250  -0.4284   0.01613   0.01195  -0.0590   0.9957   0.0071
  -6.000  -0.3953   0.01309   0.00853  -0.0610   0.9942   0.0075
  -5.750  -0.3624   0.01177   0.00705  -0.0623   0.9915   0.0078
  -5.500  -0.3283   0.01075   0.00592  -0.0638   0.9887   0.0081
  -5.250  -0.2940   0.01006   0.00516  -0.0653   0.9856   0.0087
  -5.000  -0.2593   0.00953   0.00456  -0.0668   0.9824   0.0098
  -4.750  -0.2294   0.00914   0.00411  -0.0671   0.9752   0.0106
  -4.500  -0.1983   0.00848   0.00332  -0.0678   0.9690   0.0119
  -4.250  -0.1711   0.00806   0.00286  -0.0675   0.9591   0.0141
  -4.000  -0.1441   0.00787   0.00264  -0.0672   0.9491   0.0165
  -3.750  -0.1173   0.00748   0.00220  -0.0667   0.9385   0.0231
  -3.500  -0.0908   0.00720   0.00191  -0.0662   0.9269   0.0355
  -3.250  -0.0640   0.00687   0.00169  -0.0660   0.9144   0.0675
  -3.000  -0.0370   0.00657   0.00150  -0.0658   0.9013   0.1117
  -2.750  -0.0098   0.00629   0.00135  -0.0656   0.8878   0.1602
  -2.500   0.0176   0.00604   0.00121  -0.0655   0.8738   0.2150
  -2.250   0.0451   0.00583   0.00111  -0.0655   0.8593   0.2687
