  
       XFOIL         Version 6.96
  
 Calculated polar for: AG25 Bubble Dancer DLG by Mark Drela            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.5218   0.08596   0.08380  -0.0054   1.0000   0.0048
  -8.250  -0.5211   0.08136   0.07923  -0.0084   1.0000   0.0049
  -8.000  -0.5208   0.07650   0.07441  -0.0122   1.0000   0.0049
  -7.750  -0.5155   0.07040   0.06833  -0.0193   1.0000   0.0050
  -7.500  -0.5059   0.06196   0.05989  -0.0304   1.0000   0.0050
  -7.250  -0.5065   0.03364   0.03087  -0.0550   1.0000   0.0048
  -7.000  -0.4916   0.02619   0.02274  -0.0580   1.0000   0.0049
  -6.750  -0.4703   0.02423   0.02053  -0.0582   1.0000   0.0052
  -6.500  -0.4482   0.02286   0.01897  -0.0582   1.0000   0.0055
  -6.250  -0.4261   0.02141   0.01731  -0.0579   1.0000   0.0059
  -6.000  -0.3944   0.01887   0.01435  -0.0597   0.9972   0.0063
  -5.750  -0.3606   0.01634   0.01137  -0.0615   0.9944   0.0063
  -5.500  -0.3280   0.01458   0.00930  -0.0629   0.9906   0.0065
  -5.250  -0.2949   0.01325   0.00774  -0.0641   0.9862   0.0067
  -5.000  -0.2609   0.01221   0.00650  -0.0655   0.9822   0.0071
  -4.750  -0.2295   0.01146   0.00562  -0.0663   0.9754   0.0075
  -4.500  -0.1963   0.01055   0.00458  -0.0676   0.9693   0.0084
  -4.250  -0.1655   0.01006   0.00403  -0.0682   0.9604   0.0095
  -4.000  -0.1347   0.00968   0.00359  -0.0687   0.9511   0.0110
  -3.750  -0.1049   0.00933   0.00316  -0.0690   0.9400   0.0134
  -3.500  -0.0765   0.00897   0.00275  -0.0690   0.9272   0.0171
  -3.250  -0.0488   0.00870   0.00241  -0.0687   0.9129   0.0225
  -3.000  -0.0216   0.00843   0.00215  -0.0684   0.8975   0.0361
  -2.750   0.0054   0.00818   0.00192  -0.0681   0.8814   0.0584
  -2.500   0.0325   0.00791   0.00172  -0.0679   0.8645   0.0962
  -2.250   0.0595   0.00766   0.00155  -0.0677   0.8469   0.1433
  -2.000   0.0866   0.00742   0.00142  -0.0675   0.8290   0.1998
  -1.750   0.1140   0.00722   0.00132  -0.0674   0.8104   0.2587
  -1.500   0.1413   0.00707   0.00123  -0.0672   0.7911   0.3103
  -1.250   0.1687   0.00695   0.00117  -0.0671   0.7714   0.3612
  -1.000   0.1962   0.00684   0.00112  -0.0670   0.7508   0.4131
  -0.750   0.2237   0.00676   0.00109  -0.0668   0.7301   0.4615
  -0.500   0.2511   0.00670   0.00106  -0.0667   0.7082   0.5108
  -0.250   0.2785   0.00664   0.00106  -0.0665   0.6858   0.5633
   0.000   0.3057   0.00657   0.00107  -0.0663   0.6626   0.6220
   0.250   0.3325   0.00650   0.00110  -0.0660   0.6384   0.6868
   0.500   0.3585   0.00640   0.00114  -0.0655   0.6143   0.7614
   0.750   0.3823   0.00629   0.00118  -0.0643   0.5904   0.8433
   1.000   0.4084   0.00616   0.00115  -0.0635   0.5647   1.0000
   1.250   0.4361   0.00633   0.00119  -0.0634   0.5387   1.0000
   1.500   0.4638   0.00652   0.00125  -0.0634   0.5128   1.0000
   1.750   0.4914   0.00670   0.00131  -0.0633   0.4870   1.0000
   2.000   0.5191   0.00690   0.00139  -0.0633   0.4611   1.0000
   2.250   0.5466   0.00710   0.00148  -0.0632   0.4359   1.0000
   2.500   0.5741   0.00732   0.00160  -0.0632   0.4113   1.0000
   2.750   0.6016   0.00754   0.00172  -0.0631   0.3864   1.0000
   3.000   0.6289   0.00778   0.00185  -0.0631   0.3615   1.0000
   3.250   0.6563   0.00801   0.00200  -0.0630   0.3374   1.0000
   3.500   0.6835   0.00827   0.00218  -0.0629   0.3136   1.0000
   3.750   0.7106   0.00854   0.00236  -0.0629   0.2896   1.0000
   4.000   0.7376   0.00882   0.00255  -0.0628   0.2654   1.0000
   4.250   0.7646   0.00911   0.00276  -0.0627   0.2425   1.0000
   4.500   0.7913   0.00942   0.00299  -0.0626   0.2193   1.0000
   4.750   0.8180   0.00976   0.00326  -0.0625   0.1965   1.0000
   5.000   0.8446   0.01009   0.00353  -0.0623   0.1747   1.0000
