  
       XFOIL         Version 6.96
  
 Calculated polar for: AG35                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.750  -0.5188   0.07600   0.07392  -0.0225   1.0000   0.0209
  -9.500  -0.5176   0.07026   0.06817  -0.0279   1.0000   0.0213
  -9.250  -0.5096   0.06600   0.06389  -0.0316   1.0000   0.0216
  -9.000  -0.4998   0.06178   0.05963  -0.0351   1.0000   0.0220
  -8.750  -0.4890   0.05718   0.05497  -0.0385   1.0000   0.0226
  -8.500  -0.4777   0.05212   0.04979  -0.0416   1.0000   0.0233
  -8.250  -0.4669   0.04665   0.04414  -0.0438   1.0000   0.0245
  -8.000  -0.4512   0.04170   0.03868  -0.0444   1.0000   0.0273
  -7.750  -0.4652   0.02793   0.02414  -0.0428   1.0000   0.0193
  -7.500  -0.4466   0.02394   0.01965  -0.0423   0.9988   0.0194
  -7.250  -0.4140   0.02010   0.01525  -0.0440   0.9958   0.0195
  -7.000  -0.3799   0.01768   0.01242  -0.0454   0.9930   0.0198
  -6.750  -0.3449   0.01624   0.01071  -0.0468   0.9892   0.0203
  -6.500  -0.3099   0.01432   0.00851  -0.0484   0.9859   0.0211
  -6.250  -0.2742   0.01313   0.00728  -0.0502   0.9832   0.0229
  -6.000  -0.2416   0.01240   0.00649  -0.0511   0.9766   0.0243
  -5.750  -0.2074   0.01167   0.00567  -0.0522   0.9711   0.0258
  -5.500  -0.1764   0.01118   0.00512  -0.0527   0.9622   0.0272
  -5.250  -0.1468   0.01024   0.00412  -0.0529   0.9529   0.0303
  -5.000  -0.1187   0.00992   0.00378  -0.0527   0.9421   0.0340
  -4.750  -0.0923   0.00946   0.00325  -0.0520   0.9297   0.0386
  -4.500  -0.0660   0.00915   0.00291  -0.0514   0.9173   0.0458
  -4.250  -0.0401   0.00879   0.00256  -0.0507   0.9039   0.0616
  -4.000  -0.0142   0.00836   0.00229  -0.0501   0.8910   0.1068
  -3.750   0.0116   0.00793   0.00211  -0.0497   0.8777   0.1868
  -3.500   0.0377   0.00756   0.00198  -0.0493   0.8641   0.2706
  -3.250   0.0640   0.00722   0.00188  -0.0490   0.8497   0.3574
  -3.000   0.0899   0.00682   0.00178  -0.0486   0.8340   0.4644
  -2.750   0.1145   0.00626   0.00172  -0.0479   0.8172   0.6278
  -2.500   0.1349   0.00567   0.00172  -0.0458   0.8005   0.8165
  -2.250   0.1606   0.00547   0.00172  -0.0443   0.7827   0.9543
  -2.000   0.2109   0.00551   0.00163  -0.0490   0.7615   1.0000
  -1.750   0.2368   0.00560   0.00156  -0.0484   0.7382   1.0000
  -1.500   0.2629   0.00569   0.00151  -0.0479   0.7110   1.0000
  -1.250   0.2890   0.00581   0.00145  -0.0475   0.6749   1.0000
  -1.000   0.3147   0.00599   0.00139  -0.0469   0.6284   1.0000
  -0.750   0.3408   0.00620   0.00140  -0.0465   0.6040   1.0000
  -0.500   0.3675   0.00638   0.00145  -0.0463   0.5870   1.0000
  -0.250   0.3946   0.00653   0.00150  -0.0461   0.5732   1.0000
   0.000   0.4217   0.00668   0.00156  -0.0460   0.5610   1.0000
   0.250   0.4491   0.00682   0.00163  -0.0459   0.5493   1.0000
   0.500   0.4766   0.00693   0.00170  -0.0458   0.5383   1.0000
   0.750   0.5041   0.00706   0.00178  -0.0458   0.5276   1.0000
   1.000   0.5315   0.00719   0.00186  -0.0457   0.5170   1.0000
   1.250   0.5591   0.00731   0.00195  -0.0457   0.5059   1.0000
   1.500   0.5868   0.00742   0.00204  -0.0457   0.4942   1.0000
   1.750   0.6144   0.00754   0.00214  -0.0457   0.4820   1.0000
   2.000   0.6419   0.00765   0.00223  -0.0457   0.4679   1.0000
   2.250   0.6694   0.00777   0.00234  -0.0456   0.4517   1.0000
   2.500   0.6967   0.00792   0.00244  -0.0456   0.4333   1.0000
   2.750   0.7239   0.00810   0.00256  -0.0456   0.4129   1.0000
   3.000   0.7508   0.00832   0.00271  -0.0455   0.3892   1.0000
   3.250   0.7774   0.00856   0.00288  -0.0455   0.3632   1.0000
   3.500   0.8038   0.00886   0.00309  -0.0454   0.3352   1.0000
   3.750   0.8299   0.00920   0.00332  -0.0453   0.3066   1.0000
   4.000   0.8559   0.00957   0.00359  -0.0452   0.2782   1.0000
   4.250   0.8817   0.00995   0.00388  -0.0451   0.2517   1.0000
   4.500   0.9073   0.01036   0.00419  -0.0450   0.2271   1.0000
   4.750   0.9328   0.01077   0.00451  -0.0449   0.2040   1.0000
   5.000   0.9584   0.01118   0.00486  -0.0448   0.1821   1.0000
   5.250   0.9834   0.01164   0.00523  -0.0447   0.1600   1.0000
