  
       XFOIL         Version 6.96
  
 Calculated polar for: AG455ct -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.5698   0.10302   0.09962   0.0159   1.0000   0.0209
  -8.250  -0.5655   0.09892   0.09554   0.0135   1.0000   0.0209
  -8.000  -0.5612   0.09474   0.09139   0.0108   1.0000   0.0209
  -7.000  -0.5387   0.07270   0.06940  -0.0044   1.0000   0.0134
  -6.750  -0.5271   0.06774   0.06440  -0.0089   1.0000   0.0129
  -6.500  -0.5120   0.06207   0.05867  -0.0143   1.0000   0.0124
  -6.250  -0.4943   0.05589   0.05236  -0.0196   1.0000   0.0120
  -6.000  -0.4743   0.04923   0.04551  -0.0243   1.0000   0.0115
  -5.750  -0.4526   0.04214   0.03809  -0.0281   1.0000   0.0111
  -5.500  -0.4298   0.03530   0.03080  -0.0304   1.0000   0.0108
  -5.250  -0.4060   0.02957   0.02448  -0.0315   1.0000   0.0108
  -5.000  -0.3810   0.02588   0.02028  -0.0318   1.0000   0.0115
  -4.750  -0.3548   0.02325   0.01715  -0.0317   1.0000   0.0130
  -4.500  -0.3283   0.02088   0.01429  -0.0314   1.0000   0.0135
  -4.250  -0.3018   0.01883   0.01184  -0.0311   1.0000   0.0137
  -4.000  -0.2751   0.01722   0.00994  -0.0307   1.0000   0.0139
  -3.750  -0.2490   0.01544   0.00797  -0.0302   1.0000   0.0144
  -3.500  -0.2228   0.01425   0.00667  -0.0299   1.0000   0.0154
  -3.250  -0.1964   0.01340   0.00577  -0.0295   1.0000   0.0167
  -3.000  -0.1699   0.01272   0.00503  -0.0291   1.0000   0.0192
  -2.750  -0.1435   0.01205   0.00433  -0.0288   1.0000   0.0239
  -2.500  -0.1167   0.01151   0.00372  -0.0284   1.0000   0.0299
  -2.250  -0.0901   0.01093   0.00321  -0.0282   1.0000   0.0478
  -2.000  -0.0552   0.01033   0.00285  -0.0299   0.9836   0.1036
  -1.750  -0.0177   0.00970   0.00262  -0.0322   0.9493   0.2078
  -1.500   0.0195   0.00903   0.00242  -0.0344   0.8983   0.3558
  -1.250   0.0480   0.00828   0.00225  -0.0343   0.8383   0.5623
  -1.000   0.0662   0.00768   0.00221  -0.0312   0.7922   0.7756
