  
       XFOIL         Version 6.96
  
 Calculated polar for: AG455ct -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.5811   0.11403   0.11061   0.0177   1.0000   0.0306
  -8.750  -0.5768   0.11015   0.10675   0.0151   1.0000   0.0306
  -8.500  -0.5787   0.10356   0.10022   0.0144   1.0000   0.0313
  -8.250  -0.5718   0.09970   0.09637   0.0161   1.0000   0.0321
  -8.000  -0.5652   0.09630   0.09299   0.0159   1.0000   0.0330
  -7.750  -0.5597   0.09281   0.08953   0.0145   1.0000   0.0338
  -7.500  -0.5549   0.08918   0.08593   0.0124   1.0000   0.0347
  -7.250  -0.5486   0.08522   0.08200   0.0090   1.0000   0.0357
  -7.000  -0.5389   0.08073   0.07750   0.0041   1.0000   0.0369
  -6.750  -0.5263   0.07575   0.07251  -0.0021   1.0000   0.0385
  -6.500  -0.5041   0.06936   0.06602  -0.0131   1.0000   0.0411
  -6.250  -0.4771   0.06370   0.06000  -0.0225   1.0000   0.0422
  -6.000  -0.4693   0.05629   0.05261  -0.0248   1.0000   0.0434
  -5.750  -0.4551   0.05331   0.04968  -0.0246   1.0000   0.0449
  -5.500  -0.4364   0.05004   0.04634  -0.0258   1.0000   0.0473
  -5.250  -0.4081   0.04572   0.04163  -0.0294   1.0000   0.0537
  -5.000  -0.3877   0.04021   0.03583  -0.0316   1.0000   0.0570
  -4.750  -0.3666   0.03759   0.03322  -0.0318   1.0000   0.0602
  -4.500  -0.3411   0.03407   0.02928  -0.0331   1.0000   0.0707
  -4.250  -0.3170   0.03181   0.02679  -0.0336   1.0000   0.0837
  -4.000  -0.2810   0.02409   0.01802  -0.0325   1.0000   0.0406
  -3.750  -0.2524   0.01942   0.01256  -0.0318   1.0000   0.0326
  -3.500  -0.2243   0.01796   0.01075  -0.0310   1.0000   0.0312
  -3.250  -0.1972   0.01608   0.00864  -0.0304   1.0000   0.0313
  -3.000  -0.1708   0.01418   0.00666  -0.0298   1.0000   0.0330
  -2.750  -0.1444   0.01324   0.00572  -0.0294   1.0000   0.0380
  -2.500  -0.1179   0.01214   0.00462  -0.0288   1.0000   0.0458
  -2.250  -0.0912   0.01128   0.00379  -0.0284   1.0000   0.0652
  -2.000  -0.0646   0.00984   0.00305  -0.0285   1.0000   0.1975
  -1.750  -0.0400   0.00856   0.00286  -0.0286   1.0000   0.4677
  -1.500  -0.0266   0.00723   0.00291  -0.0246   1.0000   0.8430
  -1.250   0.0112   0.00702   0.00268  -0.0261   1.0000   1.0000
  -1.000   0.0369   0.00705   0.00259  -0.0258   1.0000   1.0000
  -0.750   0.0738   0.00710   0.00252  -0.0280   0.9899   1.0000
  -0.500   0.1232   0.00712   0.00240  -0.0324   0.9579   1.0000
  -0.250   0.1664   0.00714   0.00225  -0.0353   0.9136   1.0000
   0.000   0.1982   0.00721   0.00213  -0.0354   0.8634   1.0000
   0.250   0.2238   0.00737   0.00206  -0.0343   0.8210   1.0000
   0.500   0.2487   0.00759   0.00204  -0.0332   0.7873   1.0000
   0.750   0.2741   0.00782   0.00206  -0.0323   0.7587   1.0000
   1.000   0.2999   0.00805   0.00211  -0.0316   0.7332   1.0000
   1.250   0.3260   0.00829   0.00220  -0.0310   0.7100   1.0000
   1.500   0.3524   0.00850   0.00231  -0.0305   0.6864   1.0000
   1.750   0.3790   0.00866   0.00237  -0.0300   0.6627   1.0000
   2.000   0.4056   0.00879   0.00241  -0.0295   0.6376   1.0000
   2.250   0.4322   0.00893   0.00246  -0.0290   0.6111   1.0000
   2.500   0.4588   0.00910   0.00254  -0.0286   0.5835   1.0000
   2.750   0.4853   0.00929   0.00262  -0.0281   0.5548   1.0000
   3.000   0.5118   0.00951   0.00273  -0.0277   0.5254   1.0000
   3.250   0.5383   0.00975   0.00286  -0.0273   0.4952   1.0000
   3.500   0.5648   0.01001   0.00302  -0.0269   0.4640   1.0000
   3.750   0.5913   0.01029   0.00324  -0.0266   0.4326   1.0000
   4.000   0.6177   0.01061   0.00345  -0.0263   0.4012   1.0000
   4.250   0.6440   0.01096   0.00369  -0.0260   0.3703   1.0000
   4.500   0.6703   0.01132   0.00397  -0.0257   0.3389   1.0000
   4.750   0.6965   0.01171   0.00431  -0.0255   0.3079   1.0000
   5.000   0.7226   0.01214   0.00467  -0.0252   0.2781   1.0000
   5.250   0.7485   0.01261   0.00505  -0.0250   0.2490   1.0000
   5.500   0.7744   0.01311   0.00549  -0.0247   0.2215   1.0000
   5.750   0.8000   0.01365   0.00600  -0.0245   0.1955   1.0000
   6.000   0.8255   0.01424   0.00654  -0.0242   0.1717   1.0000
   6.250   0.8505   0.01491   0.00713  -0.0240   0.1497   1.0000
   6.500   0.8758   0.01555   0.00779  -0.0237   0.1288   1.0000
   6.750   0.9003   0.01634   0.00853  -0.0233   0.1103   1.0000
   7.000   0.9246   0.01718   0.00943  -0.0230   0.0931   1.0000
   7.250   0.9487   0.01809   0.01038  -0.0225   0.0779   1.0000
   7.500   0.9722   0.01912   0.01146  -0.0220   0.0650   1.0000
   7.750   0.9946   0.02043   0.01281  -0.0214   0.0549   1.0000
   8.000   1.0155   0.02204   0.01441  -0.0207   0.0463   1.0000
   8.250   1.0388   0.02324   0.01584  -0.0200   0.0407   1.0000
   8.500   1.0573   0.02562   0.01829  -0.0191   0.0354   1.0000
   8.750   1.0797   0.02694   0.01992  -0.0183   0.0321   1.0000
   9.000   1.0997   0.02888   0.02208  -0.0175   0.0294   1.0000
   9.250   1.1174   0.03126   0.02461  -0.0167   0.0272   1.0000
   9.500   1.1284   0.03542   0.02922  -0.0156   0.0254   1.0000
   9.750   1.1431   0.03774   0.03197  -0.0146   0.0239   1.0000
  10.000   1.1508   0.04148   0.03618  -0.0135   0.0231   1.0000
  10.250   1.1522   0.04574   0.04091  -0.0124   0.0227   1.0000
  10.500   1.1462   0.05042   0.04602  -0.0117   0.0225   1.0000
  10.750   1.1322   0.05511   0.05106  -0.0112   0.0225   1.0000
  11.000   1.1127   0.05997   0.05618  -0.0124   0.0227   1.0000
  11.250   1.0921   0.06631   0.06275  -0.0171   0.0229   1.0000
  11.500   1.0706   0.07418   0.07081  -0.0238   0.0233   1.0000
  11.750   1.0471   0.08372   0.08049  -0.0319   0.0237   1.0000
  12.000   1.0210   0.09472   0.09158  -0.0402   0.0244   1.0000
  12.250   0.9930   0.10659   0.10347  -0.0477   0.0252   1.0000
  12.500   0.9677   0.11743   0.11428  -0.0530   0.0259   1.0000
