  
       XFOIL         Version 6.96
  
 Calculated polar for: AG45c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.500  -0.5596   0.10543   0.10075   0.0206   1.0000   0.0471
  -7.250  -0.5610   0.10189   0.09729   0.0143   1.0000   0.0488
  -7.000  -0.5592   0.09788   0.09335   0.0080   1.0000   0.0492
  -6.750  -0.5509   0.09285   0.08833   0.0003   1.0000   0.0494
  -6.500  -0.4545   0.07505   0.07075   0.0009   1.0000   0.0355
  -6.250  -0.4535   0.07057   0.06631   0.0002   1.0000   0.0325
  -6.000  -0.4560   0.06451   0.06030  -0.0047   1.0000   0.0298
  -5.750  -0.5067   0.06778   0.06314  -0.0125   1.0000   0.0260
  -5.500  -0.4946   0.06325   0.05857  -0.0149   1.0000   0.0251
  -5.250  -0.4785   0.05797   0.05318  -0.0187   1.0000   0.0243
  -5.000  -0.4596   0.05229   0.04732  -0.0225   1.0000   0.0234
  -4.750  -0.4385   0.04642   0.04112  -0.0259   1.0000   0.0225
  -4.500  -0.4157   0.04068   0.03498  -0.0285   1.0000   0.0218
  -4.250  -0.3913   0.03546   0.02925  -0.0303   1.0000   0.0212
  -4.000  -0.3657   0.03107   0.02428  -0.0312   1.0000   0.0209
  -3.750  -0.3393   0.02761   0.02025  -0.0315   1.0000   0.0210
  -3.500  -0.3123   0.02487   0.01702  -0.0315   1.0000   0.0215
  -3.250  -0.2852   0.02297   0.01474  -0.0314   1.0000   0.0236
  -3.000  -0.2575   0.02134   0.01271  -0.0310   1.0000   0.0260
  -2.750  -0.2305   0.01940   0.01051  -0.0306   1.0000   0.0274
  -2.500  -0.2041   0.01791   0.00896  -0.0303   1.0000   0.0297
  -2.250  -0.1773   0.01686   0.00784  -0.0300   1.0000   0.0342
  -2.000  -0.1508   0.01583   0.00677  -0.0297   1.0000   0.0413
  -1.750  -0.1240   0.01492   0.00585  -0.0294   1.0000   0.0528
  -1.500  -0.0973   0.01404   0.00510  -0.0292   1.0000   0.0819
  -1.250  -0.0712   0.01315   0.00462  -0.0292   1.0000   0.1605
  -1.000  -0.0365   0.01222   0.00431  -0.0312   0.9654   0.3113
  -0.750  -0.0024   0.01098   0.00414  -0.0325   0.9114   0.6004
  -0.500   0.0305   0.01017   0.00395  -0.0312   0.8625   0.9190
  -0.250   0.0702   0.01020   0.00359  -0.0330   0.8193   1.0000
   0.000   0.0972   0.01036   0.00340  -0.0324   0.7884   1.0000
   0.250   0.1237   0.01054   0.00327  -0.0317   0.7644   1.0000
   0.500   0.1503   0.01073   0.00317  -0.0312   0.7445   1.0000
   0.750   0.1772   0.01092   0.00312  -0.0307   0.7270   1.0000
   1.000   0.2041   0.01112   0.00312  -0.0303   0.7108   1.0000
   1.250   0.2309   0.01132   0.00315  -0.0299   0.6947   1.0000
   1.500   0.2579   0.01148   0.00319  -0.0296   0.6780   1.0000
   1.750   0.2852   0.01162   0.00323  -0.0293   0.6606   1.0000
   2.000   0.3124   0.01175   0.00327  -0.0290   0.6433   1.0000
   2.250   0.3394   0.01189   0.00332  -0.0287   0.6260   1.0000
   2.500   0.3663   0.01203   0.00336  -0.0283   0.6088   1.0000
   2.750   0.3933   0.01217   0.00342  -0.0280   0.5908   1.0000
   3.000   0.4202   0.01232   0.00350  -0.0276   0.5721   1.0000
   3.250   0.4470   0.01249   0.00362  -0.0273   0.5535   1.0000
   3.500   0.4739   0.01267   0.00373  -0.0269   0.5342   1.0000
