  
       XFOIL         Version 6.96
  
 Calculated polar for: AG45ct -02f                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.5719   0.09311   0.09160   0.0172   1.0000   0.0088
  -8.000  -0.5687   0.08890   0.08740   0.0146   1.0000   0.0088
  -7.750  -0.5656   0.08454   0.08306   0.0114   1.0000   0.0088
  -7.500  -0.5590   0.07951   0.07805   0.0060   1.0000   0.0088
  -7.250  -0.5476   0.07367   0.07219  -0.0011   1.0000   0.0088
  -7.000  -0.5331   0.06726   0.06576  -0.0087   1.0000   0.0089
  -6.750  -0.5163   0.06044   0.05888  -0.0157   1.0000   0.0089
  -6.500  -0.4979   0.05339   0.05172  -0.0216   1.0000   0.0089
  -6.250  -0.4875   0.03991   0.03787  -0.0292   1.0000   0.0092
  -6.000  -0.4693   0.03473   0.03244  -0.0312   1.0000   0.0095
  -5.750  -0.4481   0.03161   0.02914  -0.0320   1.0000   0.0098
  -5.500  -0.4259   0.02849   0.02580  -0.0326   1.0000   0.0101
  -5.250  -0.4028   0.02541   0.02246  -0.0327   1.0000   0.0106
  -5.000  -0.3811   0.01577   0.01170  -0.0314   1.0000   0.0074
  -4.750  -0.3558   0.01332   0.00886  -0.0307   1.0000   0.0076
  -4.500  -0.3298   0.01226   0.00763  -0.0302   1.0000   0.0082
  -4.250  -0.3038   0.01147   0.00673  -0.0296   1.0000   0.0085
  -4.000  -0.2778   0.01085   0.00602  -0.0291   1.0000   0.0087
  -3.750  -0.2462   0.01008   0.00516  -0.0298   0.9963   0.0089
  -3.500  -0.2093   0.00866   0.00358  -0.0318   0.9829   0.0097
  -3.250  -0.1721   0.00809   0.00293  -0.0337   0.9502   0.0104
  -3.000  -0.1465   0.00787   0.00245  -0.0326   0.8687   0.0110
  -2.750  -0.1222   0.00782   0.00207  -0.0315   0.7946   0.0123
  -2.500  -0.0955   0.00759   0.00165  -0.0310   0.7591   0.0171
  -2.250  -0.0682   0.00737   0.00139  -0.0308   0.7392   0.0352
  -2.000  -0.0408   0.00716   0.00124  -0.0306   0.7247   0.0695
  -1.750  -0.0134   0.00690   0.00113  -0.0306   0.7132   0.1293
  -1.500   0.0139   0.00664   0.00105  -0.0305   0.7036   0.2027
  -1.250   0.0415   0.00630   0.00097  -0.0305   0.6924   0.2915
  -1.000   0.0687   0.00589   0.00091  -0.0305   0.6806   0.4141
  -0.750   0.0954   0.00544   0.00087  -0.0304   0.6674   0.5592
  -0.500   0.1217   0.00506   0.00084  -0.0301   0.6526   0.6884
  -0.250   0.1458   0.00466   0.00083  -0.0290   0.6362   0.8256
   0.000   0.1724   0.00438   0.00082  -0.0281   0.6181   0.9696
   0.250   0.2088   0.00445   0.00077  -0.0299   0.5962   1.0000
   0.500   0.2364   0.00454   0.00076  -0.0298   0.5751   1.0000
   0.750   0.2640   0.00465   0.00075  -0.0296   0.5524   1.0000
   1.000   0.2916   0.00476   0.00076  -0.0294   0.5295   1.0000
   1.250   0.3192   0.00489   0.00078  -0.0293   0.5063   1.0000
   1.500   0.3468   0.00502   0.00081  -0.0292   0.4827   1.0000
