  
       XFOIL         Version 6.96
  
 Calculated polar for: AG45ct -02f                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.5532   0.10629   0.09970   0.0151   1.0000   0.1005
  -8.000  -0.5498   0.10242   0.09588   0.0129   1.0000   0.1002
  -7.750  -0.5500   0.09357   0.08702   0.0005   1.0000   0.0522
  -7.500  -0.5405   0.08977   0.08325   0.0024   1.0000   0.0493
  -7.250  -0.5333   0.08505   0.07856  -0.0011   1.0000   0.0470
  -6.750  -0.5112   0.07089   0.06417  -0.0179   1.0000   0.0400
  -6.500  -0.4992   0.06650   0.05974  -0.0196   1.0000   0.0394
  -6.250  -0.4852   0.06163   0.05475  -0.0224   1.0000   0.0390
  -6.000  -0.4691   0.05657   0.04945  -0.0255   1.0000   0.0390
  -5.750  -0.4507   0.05156   0.04408  -0.0282   1.0000   0.0394
  -5.500  -0.4299   0.04697   0.03897  -0.0302   1.0000   0.0400
  -5.250  -0.4086   0.04272   0.03430  -0.0315   1.0000   0.0406
  -5.000  -0.3864   0.03891   0.03010  -0.0322   1.0000   0.0412
  -4.750  -0.3623   0.03545   0.02620  -0.0326   1.0000   0.0415
  -4.500  -0.3374   0.03244   0.02277  -0.0326   1.0000   0.0424
  -4.250  -0.3116   0.02984   0.01979  -0.0325   1.0000   0.0439
  -4.000  -0.2854   0.02779   0.01740  -0.0321   1.0000   0.0482
  -3.750  -0.2579   0.02583   0.01493  -0.0315   1.0000   0.0530
  -3.500  -0.2324   0.02391   0.01291  -0.0309   1.0000   0.0574
  -3.250  -0.2060   0.02246   0.01122  -0.0301   1.0000   0.0667
  -3.000  -0.1798   0.02110   0.00976  -0.0294   1.0000   0.0797
  -2.750  -0.1536   0.01984   0.00853  -0.0290   1.0000   0.1062
  -2.500  -0.1277   0.01836   0.00744  -0.0289   1.0000   0.1681
  -2.250  -0.1042   0.01657   0.00668  -0.0287   1.0000   0.3597
  -2.000  -0.0911   0.01485   0.00647  -0.0246   1.0000   0.6912
  -1.750  -0.0457   0.01413   0.00580  -0.0265   1.0000   1.0000
