  
       XFOIL         Version 6.96
  
 Calculated polar for: AG46c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.250  -0.6037   0.09590   0.09440   0.0275   1.0000   0.0079
  -7.000  -0.6003   0.09188   0.09040   0.0251   1.0000   0.0081
  -6.750  -0.5968   0.08771   0.08625   0.0220   1.0000   0.0084
  -6.500  -0.5896   0.08286   0.08139   0.0168   1.0000   0.0087
  -6.250  -0.5763   0.07710   0.07564   0.0093   1.0000   0.0090
  -6.000  -0.5587   0.07143   0.06994   0.0021   1.0000   0.0092
  -5.750  -0.5397   0.06568   0.06415  -0.0045   1.0000   0.0093
  -5.500  -0.5194   0.05970   0.05810  -0.0104   1.0000   0.0094
  -5.250  -0.4978   0.05360   0.05190  -0.0155   1.0000   0.0094
  -5.000  -0.4751   0.04745   0.04560  -0.0195   1.0000   0.0094
  -4.750  -0.4519   0.04124   0.03919  -0.0225   1.0000   0.0094
  -4.500  -0.4285   0.03517   0.03285  -0.0246   1.0000   0.0095
  -3.500  -0.3321   0.01216   0.00759  -0.0266   1.0000   0.0072
  -3.250  -0.3049   0.01134   0.00666  -0.0264   1.0000   0.0079
  -3.000  -0.2776   0.01057   0.00579  -0.0261   1.0000   0.0085
  -2.750  -0.2503   0.00986   0.00498  -0.0258   1.0000   0.0089
  -2.500  -0.2161   0.00921   0.00425  -0.0271   0.9814   0.0092
  -2.250  -0.1844   0.00853   0.00332  -0.0276   0.8919   0.0099
  -2.000  -0.1618   0.00825   0.00257  -0.0261   0.7881   0.0108
  -1.750  -0.1347   0.00799   0.00212  -0.0257   0.7557   0.0118
  -1.500  -0.1070   0.00780   0.00180  -0.0255   0.7393   0.0141
  -1.250  -0.0790   0.00753   0.00145  -0.0253   0.7278   0.0221
  -0.500   0.0043   0.00677   0.00105  -0.0252   0.7022   0.1643
  -0.250   0.0321   0.00649   0.00098  -0.0252   0.6938   0.2413
   0.000   0.0598   0.00599   0.00091  -0.0254   0.6846   0.3819
   0.250   0.0869   0.00539   0.00086  -0.0254   0.6745   0.5700
   0.500   0.1118   0.00470   0.00085  -0.0248   0.6630   0.7880
   0.750   0.1325   0.00432   0.00083  -0.0227   0.6496   0.9222
   1.000   0.1677   0.00426   0.00076  -0.0240   0.6320   1.0000
   1.250   0.1956   0.00433   0.00072  -0.0239   0.6126   1.0000
   1.500   0.2236   0.00441   0.00070  -0.0238   0.5908   1.0000
   1.750   0.2515   0.00452   0.00069  -0.0237   0.5673   1.0000
   2.000   0.2794   0.00464   0.00069  -0.0236   0.5414   1.0000
   2.250   0.3073   0.00477   0.00071  -0.0236   0.5141   1.0000
   2.500   0.3351   0.00492   0.00074  -0.0235   0.4852   1.0000
   2.750   0.3629   0.00507   0.00078  -0.0235   0.4577   1.0000
   3.000   0.3907   0.00524   0.00084  -0.0234   0.4276   1.0000
   3.250   0.4184   0.00543   0.00090  -0.0234   0.3975   1.0000
   3.500   0.4462   0.00562   0.00099  -0.0233   0.3674   1.0000
   3.750   0.4738   0.00584   0.00108  -0.0233   0.3354   1.0000
   4.000   0.5014   0.00606   0.00119  -0.0233   0.3070   1.0000
   4.250   0.5289   0.00630   0.00131  -0.0233   0.2748   1.0000
   4.500   0.5565   0.00654   0.00146  -0.0233   0.2468   1.0000
   4.750   0.5839   0.00681   0.00161  -0.0232   0.2175   1.0000
   5.000   0.6113   0.00708   0.00177  -0.0232   0.1906   1.0000
   5.250   0.6386   0.00736   0.00195  -0.0232   0.1668   1.0000
   5.500   0.6659   0.00764   0.00216  -0.0232   0.1446   1.0000
   5.750   0.6931   0.00792   0.00237  -0.0231   0.1268   1.0000
   6.000   0.7204   0.00819   0.00259  -0.0231   0.1109   1.0000
   6.250   0.7476   0.00846   0.00282  -0.0231   0.0973   1.0000
   6.500   0.7747   0.00875   0.00308  -0.0230   0.0842   1.0000
   6.750   0.8017   0.00906   0.00334  -0.0229   0.0725   1.0000
   7.000   0.8286   0.00939   0.00363  -0.0229   0.0609   1.0000
   7.250   0.8553   0.00975   0.00396  -0.0228   0.0501   1.0000
   7.500   0.8820   0.01009   0.00427  -0.0227   0.0423   1.0000
   7.750   0.9087   0.01044   0.00464  -0.0226   0.0351   1.0000
   8.000   0.9350   0.01090   0.00509  -0.0225   0.0279   1.0000
   8.250   0.9613   0.01130   0.00549  -0.0224   0.0232   1.0000
   8.500   0.9873   0.01181   0.00603  -0.0222   0.0187   1.0000
   8.750   1.0132   0.01226   0.00650  -0.0220   0.0156   1.0000
   9.000   1.0382   0.01306   0.00738  -0.0217   0.0126   1.0000
   9.250   1.0640   0.01349   0.00789  -0.0216   0.0115   1.0000
   9.500   1.0894   0.01404   0.00849  -0.0214   0.0101   1.0000
   9.750   1.1114   0.01549   0.01012  -0.0208   0.0082   1.0000
  10.000   1.1371   0.01585   0.01052  -0.0207   0.0078   1.0000
  10.250   1.1616   0.01648   0.01124  -0.0204   0.0072   1.0000
  10.500   1.1856   0.01720   0.01205  -0.0201   0.0066   1.0000
  10.750   1.2092   0.01797   0.01290  -0.0198   0.0061   1.0000
  11.000   1.2304   0.01922   0.01430  -0.0193   0.0055   1.0000
  11.250   1.2431   0.02219   0.01762  -0.0182   0.0050   1.0000
  11.500   1.2652   0.02302   0.01857  -0.0178   0.0049   1.0000
  11.750   1.2858   0.02408   0.01976  -0.0174   0.0047   1.0000
  12.000   1.3055   0.02521   0.02103  -0.0169   0.0044   1.0000
  12.250   1.3244   0.02639   0.02234  -0.0164   0.0041   1.0000
  12.500   1.3428   0.02753   0.02360  -0.0160   0.0039   1.0000
  12.750   1.3604   0.02869   0.02486  -0.0155   0.0036   1.0000
  13.000   1.3751   0.03017   0.02645  -0.0150   0.0034   1.0000
  13.250   1.3832   0.03239   0.02886  -0.0142   0.0033   1.0000
  13.500   1.3816   0.03551   0.03223  -0.0134   0.0032   1.0000
  13.750   1.3677   0.03930   0.03624  -0.0129   0.0031   1.0000
  14.000   1.3543   0.04489   0.04205  -0.0171   0.0031   1.0000
  14.250   1.3397   0.05171   0.04907  -0.0225   0.0031   1.0000
  14.500   1.3236   0.05944   0.05697  -0.0284   0.0031   1.0000
  14.750   1.3066   0.06755   0.06523  -0.0340   0.0031   1.0000
  15.000   1.2861   0.07635   0.07416  -0.0394   0.0032   1.0000
  15.250   1.2636   0.08537   0.08328  -0.0443   0.0032   1.0000
  15.500   1.2367   0.09517   0.09319  -0.0493   0.0033   1.0000
  15.750   1.2030   0.10643   0.10457  -0.0549   0.0034   1.0000
  16.000   1.1584   0.12036   0.11865  -0.0617   0.0036   1.0000
  16.250   1.0167   0.16276   0.16133  -0.0824   0.0049   1.0000
