  
       XFOIL         Version 6.96
  
 Calculated polar for: AG47ct  -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.6297   0.12435   0.11743   0.0325   1.0000   0.0875
  -9.000  -0.6335   0.12195   0.11518   0.0284   1.0000   0.0902
  -8.750  -0.6377   0.11943   0.11275   0.0236   1.0000   0.0909
  -8.500  -0.6189   0.11323   0.10647   0.0278   1.0000   0.0954
  -8.250  -0.6141   0.10969   0.10297   0.0265   1.0000   0.0994
  -8.000  -0.6175   0.10694   0.10032   0.0216   1.0000   0.1036
  -7.750  -0.6196   0.10381   0.09727   0.0122   1.0000   0.1047
  -7.500  -0.6059   0.09846   0.09195   0.0179   1.0000   0.1075
  -7.250  -0.5968   0.09439   0.08791   0.0165   1.0000   0.1099
  -6.750  -0.4970   0.07018   0.06399  -0.0005   1.0000   0.0571
  -6.250  -0.5381   0.07017   0.06336  -0.0074   1.0000   0.0484
  -6.000  -0.5223   0.06532   0.05843  -0.0102   1.0000   0.0461
  -5.750  -0.5034   0.05999   0.05293  -0.0139   1.0000   0.0438
  -5.500  -0.4812   0.05419   0.04682  -0.0179   1.0000   0.0414
  -5.000  -0.4290   0.04400   0.03544  -0.0232   1.0000   0.0382
  -4.750  -0.4046   0.03999   0.03099  -0.0241   1.0000   0.0382
  -4.500  -0.3807   0.03621   0.02689  -0.0250   1.0000   0.0396
  -4.250  -0.3562   0.03376   0.02419  -0.0253   1.0000   0.0432
  -4.000  -0.3287   0.03091   0.02083  -0.0255   1.0000   0.0458
  -3.750  -0.3004   0.02814   0.01752  -0.0253   1.0000   0.0473
  -3.500  -0.2719   0.02576   0.01462  -0.0247   1.0000   0.0494
  -3.250  -0.2453   0.02391   0.01261  -0.0244   1.0000   0.0560
  -3.000  -0.2177   0.02232   0.01067  -0.0235   1.0000   0.0637
  -2.750  -0.1912   0.02080   0.00909  -0.0228   1.0000   0.0743
  -2.500  -0.1641   0.01951   0.00768  -0.0223   1.0000   0.0941
