  
       XFOIL         Version 6.96
  
 Calculated polar for: AH21 7% version (Andrew Hollom)                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.4816   0.09336   0.08851  -0.0277   1.0000   0.1168
  -8.000  -0.4965   0.09094   0.08618  -0.0274   1.0000   0.1203
  -7.750  -0.5265   0.08856   0.08393  -0.0284   1.0000   0.1221
  -7.500  -0.5630   0.08470   0.08002  -0.0350   1.0000   0.1234
  -7.250  -0.5349   0.08139   0.07686  -0.0271   1.0000   0.1272
  -7.000  -0.5345   0.07861   0.07410  -0.0258   1.0000   0.1318
  -6.750  -0.5622   0.07354   0.06886  -0.0329   1.0000   0.1388
  -6.500  -0.5471   0.07081   0.06628  -0.0280   1.0000   0.1419
  -6.000  -0.5434   0.06392   0.05930  -0.0281   1.0000   0.1566
  -5.750  -0.5405   0.06031   0.05552  -0.0295   1.0000   0.1692
  -5.500  -0.5292   0.05778   0.05303  -0.0270   1.0000   0.1752
  -5.250  -0.5204   0.05461   0.04979  -0.0269   1.0000   0.1882
  -5.000  -0.4798   0.03870   0.03131  -0.0356   1.0000   0.0811
  -4.750  -0.4595   0.03452   0.02697  -0.0355   1.0000   0.0791
  -4.500  -0.4363   0.03130   0.02338  -0.0351   1.0000   0.0759
  -4.250  -0.4108   0.02843   0.01994  -0.0345   1.0000   0.0726
  -4.000  -0.3853   0.02631   0.01733  -0.0338   1.0000   0.0716
  -3.750  -0.3607   0.02472   0.01546  -0.0330   1.0000   0.0724
  -3.500  -0.3368   0.02360   0.01415  -0.0322   1.0000   0.0764
  -3.250  -0.3124   0.02265   0.01295  -0.0312   1.0000   0.0802
  -3.000  -0.2885   0.02125   0.01158  -0.0304   1.0000   0.0841
  -2.750  -0.2651   0.02036   0.01071  -0.0295   1.0000   0.0914
  -2.500  -0.2420   0.01951   0.00996  -0.0287   1.0000   0.1063
  -2.250  -0.2180   0.01832   0.00905  -0.0281   1.0000   0.1514
  -2.000  -0.2000   0.01574   0.00895  -0.0264   1.0000   0.6135
  -1.750  -0.1941   0.01534   0.00938  -0.0196   1.0000   0.8729
  -1.500  -0.1524   0.01520   0.00903  -0.0226   1.0000   1.0000
  -1.250  -0.1304   0.01534   0.00890  -0.0221   1.0000   1.0000
  -1.000  -0.1083   0.01553   0.00886  -0.0217   1.0000   1.0000
  -0.750  -0.0863   0.01575   0.00889  -0.0213   1.0000   1.0000
  -0.500  -0.0645   0.01600   0.00896  -0.0208   1.0000   1.0000
  -0.250  -0.0429   0.01629   0.00910  -0.0204   1.0000   1.0000
   0.000  -0.0214   0.01660   0.00928  -0.0199   1.0000   1.0000
