  
       XFOIL         Version 6.96
  
 Calculated polar for: AH21 7% version (Andrew Hollom)                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.5066   0.08853   0.08495  -0.0336   1.0000   0.0191
  -9.000  -0.5173   0.08448   0.08094  -0.0341   1.0000   0.0189
  -8.750  -0.5316   0.08035   0.07689  -0.0344   1.0000   0.0187
  -8.500  -0.5513   0.07640   0.07301  -0.0345   1.0000   0.0185
  -8.250  -0.5765   0.07152   0.06818  -0.0360   1.0000   0.0183
  -8.000  -0.5904   0.06321   0.05977  -0.0412   0.9986   0.0178
  -7.750  -0.5892   0.05183   0.04799  -0.0497   0.9936   0.0175
  -7.500  -0.5837   0.04388   0.03956  -0.0530   0.9889   0.0176
  -7.250  -0.5674   0.03880   0.03401  -0.0550   0.9856   0.0183
  -7.000  -0.5467   0.03436   0.02900  -0.0567   0.9834   0.0194
  -6.750  -0.5301   0.03072   0.02482  -0.0563   0.9798   0.0197
  -6.500  -0.5079   0.02775   0.02133  -0.0563   0.9770   0.0200
  -6.250  -0.4825   0.02549   0.01859  -0.0566   0.9748   0.0204
  -6.000  -0.4545   0.02378   0.01649  -0.0571   0.9731   0.0208
  -5.750  -0.4257   0.02217   0.01459  -0.0578   0.9717   0.0215
  -5.500  -0.3994   0.02105   0.01338  -0.0581   0.9697   0.0226
  -5.250  -0.3755   0.02026   0.01250  -0.0576   0.9664   0.0237
  -5.000  -0.3484   0.01932   0.01142  -0.0576   0.9638   0.0244
  -4.750  -0.3197   0.01847   0.01047  -0.0580   0.9617   0.0251
  -4.500  -0.2896   0.01771   0.00961  -0.0586   0.9599   0.0261
  -4.250  -0.2586   0.01707   0.00889  -0.0595   0.9583   0.0272
  -4.000  -0.2319   0.01654   0.00828  -0.0594   0.9554   0.0281
  -3.750  -0.2071   0.01598   0.00771  -0.0591   0.9517   0.0307
  -3.500  -0.1778   0.01561   0.00731  -0.0595   0.9489   0.0339
  -3.250  -0.1466   0.01521   0.00684  -0.0603   0.9466   0.0376
  -3.000  -0.1140   0.01480   0.00641  -0.0614   0.9448   0.0476
  -2.750  -0.0866   0.01436   0.00611  -0.0615   0.9416   0.0767
  -2.500  -0.0616   0.01395   0.00591  -0.0613   0.9371   0.1277
  -2.250  -0.0326   0.01331   0.00574  -0.0621   0.9342   0.2396
  -2.000  -0.0031   0.01249   0.00566  -0.0630   0.9320   0.4224
  -1.750   0.0277   0.01192   0.00563  -0.0638   0.9302   0.5620
  -1.500   0.0461   0.01165   0.00567  -0.0616   0.9237   0.6516
  -1.250   0.0724   0.01138   0.00569  -0.0608   0.9201   0.7414
