  
       XFOIL         Version 6.96
  
 Calculated polar for: AH-6-40-7 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.000  -0.3207   0.10272   0.09642  -0.0230   1.0000   0.0855
  -6.750  -0.3246   0.10148   0.09528  -0.0237   1.0000   0.0886
  -6.500  -0.3267   0.10091   0.09481  -0.0277   1.0000   0.0902
  -6.000  -0.3203   0.09412   0.08816  -0.0258   1.0000   0.0926
  -5.750  -0.3163   0.09112   0.08520  -0.0241   1.0000   0.0950
  -5.500  -0.3108   0.08850   0.08262  -0.0245   1.0000   0.0980
  -5.250  -0.2986   0.08622   0.08036  -0.0296   1.0000   0.1037
  -5.000  -0.2754   0.08320   0.07729  -0.0388   1.0000   0.1058
  -4.750  -0.2757   0.07957   0.07374  -0.0337   1.0000   0.1081
  -4.500  -0.2652   0.07677   0.07095  -0.0337   1.0000   0.1143
  -4.000  -0.2253   0.07011   0.06424  -0.0412   1.0000   0.1260
  -3.750  -0.1691   0.06195   0.05573  -0.0551   1.0000   0.0722
  -3.500  -0.0925   0.05338   0.04653  -0.0735   1.0000   0.0629
  -3.250  -0.0689   0.05148   0.04474  -0.0744   0.9958   0.0693
  -3.000  -0.0051   0.04546   0.03819  -0.0861   0.9932   0.0674
  -2.750   0.0517   0.04108   0.03328  -0.0950   0.9902   0.0720
  -2.500   0.1131   0.03647   0.02778  -0.1039   0.9884   0.0750
  -2.250   0.1651   0.03336   0.02392  -0.1099   0.9859   0.0780
  -2.000   0.2065   0.03212   0.02238  -0.1134   0.9808   0.0865
  -1.750   0.2532   0.03024   0.01982  -0.1174   0.9769   0.0890
  -1.500   0.2964   0.02896   0.01810  -0.1206   0.9715   0.0923
  -1.250   0.3372   0.02813   0.01699  -0.1233   0.9648   0.0976
  -1.000   0.3796   0.02744   0.01597  -0.1261   0.9579   0.1076
  -0.750   0.4218   0.02694   0.01539  -0.1290   0.9496   0.1272
  -0.500   0.4618   0.02633   0.01472  -0.1312   0.9399   0.1525
  -0.250   0.5018   0.02572   0.01431  -0.1336   0.9298   0.2268
