  
       XFOIL         Version 6.96
  
 Calculated polar for: AH-7-47-6 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.3443   0.12114   0.11430  -0.0249   1.0000   0.1073
  -8.000  -0.3586   0.12186   0.11517  -0.0234   1.0000   0.1082
  -7.750  -0.3708   0.12277   0.11623  -0.0238   1.0000   0.1087
  -7.500  -0.3458   0.11344   0.10680  -0.0206   1.0000   0.1142
  -7.250  -0.3496   0.11175   0.10519  -0.0189   1.0000   0.1177
  -7.000  -0.3554   0.11089   0.10444  -0.0187   1.0000   0.1210
  -6.750  -0.3615   0.11152   0.10519  -0.0218   1.0000   0.1228
  -6.500  -0.3560   0.10631   0.10002  -0.0185   1.0000   0.1255
  -6.250  -0.3518   0.10314   0.09688  -0.0166   1.0000   0.1304
  -6.000  -0.3499   0.10168   0.09549  -0.0184   1.0000   0.1358
  -5.750  -0.3439   0.10005   0.09393  -0.0231   1.0000   0.1387
  -5.500  -0.3409   0.09583   0.08974  -0.0180   1.0000   0.1446
  -5.250  -0.3229   0.09516   0.08910  -0.0287   1.0000   0.1528
  -5.000  -0.3252   0.09049   0.08448  -0.0209   1.0000   0.1577
  -4.750  -0.3034   0.08853   0.08249  -0.0297   1.0000   0.1678
  -4.500  -0.3021   0.08474   0.07876  -0.0245   1.0000   0.1734
  -4.250  -0.2799   0.08191   0.07591  -0.0309   1.0000   0.1838
  -4.000  -0.2536   0.07919   0.07315  -0.0374   1.0000   0.1974
  -3.750  -0.2293   0.07631   0.07023  -0.0419   1.0000   0.2120
  -3.500  -0.2095   0.07314   0.06705  -0.0441   1.0000   0.2271
  -3.250  -0.1954   0.06984   0.06377  -0.0438   1.0000   0.2430
  -2.750  -0.1548   0.06400   0.05792  -0.0468   1.0000   0.2886
  -1.000  -0.0936   0.04710   0.04150  -0.0222   1.0000   0.6347
  -0.750  -0.0904   0.04470   0.03919  -0.0166   1.0000   0.6925
  -0.500   0.3113   0.03939   0.03070  -0.1214   1.0000   0.1940
  -0.250   0.3556   0.03804   0.02889  -0.1254   1.0000   0.1775
   0.000   0.3970   0.03710   0.02745  -0.1286   1.0000   0.1643
   0.250   0.4336   0.03643   0.02645  -0.1309   1.0000   0.1571
   0.500   0.4671   0.03630   0.02587  -0.1324   1.0000   0.1526
   0.750   0.4977   0.03624   0.02560  -0.1337   1.0000   0.1521
   1.000   0.5254   0.03638   0.02555  -0.1343   1.0000   0.1531
   1.250   0.5526   0.03665   0.02576  -0.1350   1.0000   0.1577
   1.500   0.5784   0.03723   0.02628  -0.1358   1.0000   0.1677
   1.750   0.6053   0.03792   0.02704  -0.1370   1.0000   0.1829
   2.000   0.6336   0.03877   0.02805  -0.1387   1.0000   0.2097
   2.250   0.6791   0.03813   0.02884  -0.1431   0.9904   1.0000
   2.500   0.7381   0.03932   0.02961  -0.1500   0.9711   1.0000
   2.750   0.7829   0.04020   0.03036  -0.1544   0.9477   1.0000
   3.000   0.8290   0.04090   0.03101  -0.1586   0.9259   1.0000
   3.250   0.8758   0.04137   0.03146  -0.1626   0.9051   1.0000
   3.500   0.9155   0.04178   0.03190  -0.1651   0.8832   1.0000
   3.750   0.9600   0.04186   0.03208  -0.1679   0.8630   1.0000
   4.000   1.0031   0.04171   0.03202  -0.1701   0.8428   1.0000
   4.250   1.0446   0.04117   0.03160  -0.1713   0.8206   1.0000
   4.500   1.1014   0.03934   0.03000  -0.1736   0.8022   1.0000
   4.750   1.1354   0.03860   0.02943  -0.1729   0.7790   1.0000
   5.000   1.1887   0.03659   0.02766  -0.1743   0.7605   1.0000
   5.250   1.2382   0.03470   0.02607  -0.1750   0.7404   1.0000
   5.500   1.2793   0.03331   0.02491  -0.1746   0.7160   1.0000
   5.750   1.3209   0.03185   0.02372  -0.1741   0.6881   1.0000
   6.000   1.3671   0.03021   0.02222  -0.1739   0.6550   1.0000
   6.250   1.4001   0.02949   0.02148  -0.1718   0.6111   1.0000
   6.500   1.4225   0.02958   0.02143  -0.1685   0.5597   1.0000
   6.750   1.4428   0.03013   0.02178  -0.1652   0.5069   1.0000
   7.000   1.4595   0.03129   0.02279  -0.1620   0.4559   1.0000
   7.250   1.4732   0.03264   0.02393  -0.1584   0.4041   1.0000
   7.500   1.4818   0.03405   0.02517  -0.1541   0.3529   1.0000
   7.750   1.4827   0.03536   0.02628  -0.1487   0.3020   1.0000
   8.000   1.4791   0.03690   0.02733  -0.1431   0.2533   1.0000
   8.250   1.4770   0.03923   0.02936  -0.1382   0.2056   1.0000
   8.500   1.4836   0.04243   0.03221  -0.1346   0.1615   1.0000
   8.750   1.4975   0.04576   0.03536  -0.1320   0.1300   1.0000
   9.000   1.5258   0.04946   0.03881  -0.1317   0.1110   1.0000
   9.250   1.5436   0.05245   0.04207  -0.1298   0.1001   1.0000
   9.500   1.5648   0.05677   0.04686  -0.1283   0.0946   1.0000
   9.750   1.5782   0.06094   0.05154  -0.1259   0.0912   1.0000
  10.000   1.5928   0.06490   0.05575  -0.1242   0.0875   1.0000
  10.250   1.5981   0.06962   0.06075  -0.1216   0.0849   1.0000
  10.500   1.5882   0.07363   0.06533  -0.1169   0.0841   1.0000
  10.750   1.5750   0.07779   0.06996  -0.1124   0.0836   1.0000
  11.000   1.5582   0.08194   0.07450  -0.1078   0.0835   1.0000
  11.250   1.5377   0.08595   0.07883  -0.1033   0.0837   1.0000
  11.500   1.5164   0.09035   0.08351  -0.0995   0.0840   1.0000
  11.750   1.4943   0.09511   0.08852  -0.0967   0.0844   1.0000
  12.000   1.4725   0.10031   0.09394  -0.0948   0.0848   1.0000
  12.250   1.4523   0.10597   0.09979  -0.0940   0.0852   1.0000
  12.500   1.3540   0.11957   0.11393  -0.1013   0.0945   1.0000
