  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.000  -0.3372   0.15683   0.15522  -0.0191   1.0000   0.0090
 -15.750  -0.3312   0.15465   0.15304  -0.0204   1.0000   0.0091
 -15.500  -0.4752   0.17363   0.17179  -0.0128   1.0000   0.0088
 -15.250  -0.4684   0.17052   0.16868  -0.0139   1.0000   0.0088
 -15.000  -0.4610   0.16774   0.16590  -0.0148   1.0000   0.0089
 -14.750  -0.4538   0.16505   0.16322  -0.0158   1.0000   0.0092
 -14.500  -0.4477   0.16182   0.15999  -0.0170   1.0000   0.0092
 -14.250  -0.4414   0.15881   0.15699  -0.0181   1.0000   0.0095
 -10.250  -0.6645   0.03335   0.03111  -0.0878   0.9945   0.0083
 -10.000  -0.6386   0.02692   0.02415  -0.0986   0.9896   0.0084
  -9.750  -0.6102   0.02408   0.02099  -0.1027   0.9862   0.0086
  -9.500  -0.5835   0.01957   0.01594  -0.1075   0.9826   0.0088
  -9.250  -0.5517   0.01755   0.01368  -0.1104   0.9809   0.0092
  -9.000  -0.5183   0.01644   0.01245  -0.1125   0.9796   0.0095
  -8.750  -0.4892   0.01572   0.01164  -0.1134   0.9751   0.0098
  -8.500  -0.4581   0.01490   0.01071  -0.1147   0.9717   0.0101
  -8.250  -0.4260   0.01407   0.00976  -0.1162   0.9689   0.0105
  -8.000  -0.3977   0.01332   0.00890  -0.1167   0.9635   0.0109
  -7.750  -0.3691   0.01268   0.00816  -0.1172   0.9579   0.0113
  -7.500  -0.3403   0.01216   0.00752  -0.1175   0.9522   0.0116
  -7.250  -0.3152   0.01113   0.00636  -0.1174   0.9436   0.0125
  -7.000  -0.2881   0.01082   0.00602  -0.1174   0.9361   0.0134
  -6.750  -0.2610   0.01059   0.00574  -0.1172   0.9287   0.0146
  -6.500  -0.2333   0.01042   0.00551  -0.1171   0.9228   0.0155
  -6.250  -0.2071   0.00968   0.00469  -0.1171   0.9159   0.0175
  -5.750  -0.1521   0.00926   0.00418  -0.1169   0.9037   0.0203
  -5.500  -0.1250   0.00878   0.00361  -0.1168   0.8975   0.0225
  -5.250  -0.0973   0.00855   0.00335  -0.1168   0.8913   0.0243
  -5.000  -0.0697   0.00838   0.00312  -0.1167   0.8844   0.0260
  -4.750  -0.0420   0.00814   0.00282  -0.1166   0.8783   0.0281
  -4.500  -0.0143   0.00791   0.00257  -0.1166   0.8719   0.0317
  -4.250   0.0136   0.00777   0.00237  -0.1165   0.8661   0.0343
  -4.000   0.0415   0.00749   0.00210  -0.1164   0.8599   0.0417
  -3.750   0.0694   0.00728   0.00189  -0.1164   0.8535   0.0535
  -3.500   0.0972   0.00709   0.00172  -0.1163   0.8470   0.0713
  -3.250   0.1249   0.00685   0.00156  -0.1163   0.8396   0.1003
  -3.000   0.1525   0.00657   0.00142  -0.1163   0.8330   0.1475
  -2.750   0.1801   0.00630   0.00130  -0.1164   0.8260   0.2010
  -2.500   0.2077   0.00608   0.00120  -0.1163   0.8195   0.2554
  -2.250   0.2355   0.00589   0.00114  -0.1163   0.8122   0.3034
  -2.000   0.2631   0.00578   0.00109  -0.1162   0.8046   0.3429
  -1.750   0.2909   0.00569   0.00106  -0.1161   0.7955   0.3778
  -1.500   0.3188   0.00565   0.00104  -0.1160   0.7871   0.3986
  -1.250   0.3466   0.00562   0.00102  -0.1159   0.7783   0.4179
  -1.000   0.3746   0.00560   0.00101  -0.1158   0.7700   0.4392
  -0.750   0.4023   0.00560   0.00099  -0.1157   0.7606   0.4552
  -0.500   0.4300   0.00559   0.00100  -0.1155   0.7493   0.4719
  -0.250   0.4576   0.00559   0.00100  -0.1153   0.7371   0.4895
   0.000   0.4852   0.00562   0.00101  -0.1152   0.7248   0.5014
   0.250   0.5126   0.00565   0.00102  -0.1150   0.7128   0.5148
   0.500   0.5400   0.00569   0.00105  -0.1147   0.6998   0.5286
   0.750   0.5672   0.00574   0.00108  -0.1145   0.6846   0.5416
   1.000   0.5943   0.00580   0.00112  -0.1143   0.6679   0.5551
   1.250   0.6213   0.00587   0.00117  -0.1140   0.6509   0.5692
   1.500   0.6482   0.00595   0.00123  -0.1137   0.6349   0.5833
   1.750   0.6750   0.00604   0.00129  -0.1134   0.6175   0.5976
   2.000   0.7013   0.00616   0.00137  -0.1130   0.5969   0.6119
   2.250   0.7278   0.00627   0.00146  -0.1127   0.5761   0.6288
   2.500   0.7540   0.00639   0.00155  -0.1123   0.5569   0.6484
   2.750   0.7804   0.00648   0.00166  -0.1120   0.5409   0.6707
   3.000   0.8066   0.00657   0.00177  -0.1116   0.5248   0.6979
   3.500   0.8571   0.00665   0.00204  -0.1105   0.4912   0.7966
   3.750   0.8866   0.00647   0.00215  -0.1108   0.4695   1.0000
   4.000   0.9125   0.00671   0.00229  -0.1104   0.4461   1.0000
   4.250   0.9379   0.00699   0.00245  -0.1100   0.4180   1.0000
   4.500   0.9635   0.00726   0.00262  -0.1095   0.3921   1.0000
   4.750   0.9890   0.00752   0.00280  -0.1091   0.3696   1.0000
   5.000   1.0135   0.00789   0.00302  -0.1086   0.3364   1.0000
   5.250   1.0364   0.00840   0.00331  -0.1078   0.2902   1.0000
   5.500   1.0593   0.00892   0.00362  -0.1070   0.2480   1.0000
   5.750   1.0816   0.00950   0.00397  -0.1061   0.2039   1.0000
   6.000   1.1037   0.01010   0.00435  -0.1053   0.1635   1.0000
   6.250   1.1262   0.01063   0.00473  -0.1045   0.1334   1.0000
   6.500   1.1491   0.01113   0.00510  -0.1037   0.1092   1.0000
   6.750   1.1716   0.01165   0.00549  -0.1029   0.0873   1.0000
   7.000   1.1939   0.01218   0.00592  -0.1020   0.0669   1.0000
   7.250   1.2158   0.01273   0.00636  -0.1011   0.0493   1.0000
   7.500   1.2365   0.01338   0.00690  -0.1000   0.0315   1.0000
   7.750   1.2564   0.01412   0.00753  -0.0987   0.0183   1.0000
   8.000   1.2772   0.01473   0.00814  -0.0976   0.0146   1.0000
   8.250   1.2991   0.01521   0.00866  -0.0966   0.0133   1.0000
   8.500   1.3205   0.01572   0.00921  -0.0956   0.0124   1.0000
   8.750   1.3408   0.01630   0.00982  -0.0944   0.0115   1.0000
