  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.3816   0.10441   0.09715  -0.0414   1.0000   0.0558
  -9.250  -0.3786   0.10105   0.09384  -0.0415   1.0000   0.0552
  -9.000  -0.3784   0.09773   0.09060  -0.0419   1.0000   0.0547
  -8.750  -0.3818   0.09422   0.08716  -0.0426   1.0000   0.0547
  -8.500  -0.3856   0.09095   0.08399  -0.0429   1.0000   0.0544
  -8.250  -0.3931   0.08765   0.08081  -0.0431   1.0000   0.0545
  -8.000  -0.4033   0.08457   0.07787  -0.0428   1.0000   0.0545
  -7.750  -0.4137   0.08132   0.07477  -0.0428   1.0000   0.0544
  -7.500  -0.4220   0.07762   0.07118  -0.0438   1.0000   0.0540
  -7.250  -0.4311   0.07286   0.06650  -0.0464   1.0000   0.0540
  -7.000  -0.4374   0.06761   0.06126  -0.0501   1.0000   0.0535
  -6.750  -0.4419   0.06217   0.05574  -0.0540   1.0000   0.0533
  -6.500  -0.4409   0.05637   0.04970  -0.0585   1.0000   0.0534
  -6.250  -0.4320   0.05092   0.04388  -0.0625   1.0000   0.0535
  -6.000  -0.4162   0.04562   0.03805  -0.0663   1.0000   0.0540
  -5.750  -0.3948   0.04106   0.03278  -0.0693   1.0000   0.0553
  -5.500  -0.3730   0.03789   0.02918  -0.0709   1.0000   0.0583
  -5.250  -0.3516   0.03583   0.02692  -0.0714   1.0000   0.0617
  -5.000  -0.3268   0.03335   0.02397  -0.0722   1.0000   0.0644
  -4.750  -0.3010   0.03130   0.02137  -0.0726   1.0000   0.0684
  -4.500  -0.2778   0.02981   0.01976  -0.0727   1.0000   0.0738
  -4.250  -0.2535   0.02846   0.01816  -0.0725   1.0000   0.0790
  -4.000  -0.2261   0.02722   0.01672  -0.0728   0.9985   0.0859
  -3.750  -0.1899   0.02619   0.01551  -0.0748   0.9931   0.0984
  -3.500  -0.1539   0.02519   0.01446  -0.0770   0.9876   0.1151
  -3.250  -0.1167   0.02421   0.01353  -0.0796   0.9817   0.1457
  -3.000  -0.0782   0.02312   0.01276  -0.0827   0.9761   0.2134
  -2.750  -0.0412   0.02262   0.01282  -0.0851   0.9697   0.3430
  -2.500  -0.0088   0.02275   0.01304  -0.0861   0.9618   0.4302
  -2.250   0.0260   0.02300   0.01328  -0.0873   0.9547   0.4920
  -2.000   0.0547   0.02317   0.01343  -0.0873   0.9459   0.5376
  -1.750   0.0901   0.02329   0.01342  -0.0886   0.9390   0.5771
  -1.500   0.1193   0.02331   0.01337  -0.0888   0.9299   0.6067
  -1.250   0.1529   0.02330   0.01328  -0.0899   0.9222   0.6346
  -1.000   0.1844   0.02325   0.01318  -0.0905   0.9135   0.6607
  -0.750   0.2158   0.02320   0.01310  -0.0911   0.9047   0.6869
  -0.500   0.2506   0.02310   0.01298  -0.0923   0.8969   0.7146
  -0.250   0.2787   0.02303   0.01292  -0.0923   0.8871   0.7435
   0.000   0.3152   0.02280   0.01276  -0.0936   0.8804   0.7794
   0.250   0.3406   0.02262   0.01269  -0.0929   0.8695   0.8256
   0.500   0.3767   0.02231   0.01248  -0.0944   0.8593   1.0000
   0.750   0.4188   0.02240   0.01240  -0.0975   0.8514   1.0000
   1.000   0.4505   0.02262   0.01248  -0.0986   0.8400   1.0000
   1.250   0.4843   0.02279   0.01255  -0.0998   0.8297   1.0000
   1.500   0.5220   0.02284   0.01252  -0.1015   0.8213   1.0000
   1.750   0.5508   0.02307   0.01269  -0.1017   0.8091   1.0000
   2.000   0.5809   0.02324   0.01284  -0.1021   0.7974   1.0000
   2.250   0.6133   0.02333   0.01290  -0.1026   0.7866   1.0000
   2.500   0.6473   0.02333   0.01290  -0.1033   0.7764   1.0000
   2.750   0.6750   0.02352   0.01313  -0.1031   0.7634   1.0000
   3.000   0.7031   0.02369   0.01333  -0.1029   0.7506   1.0000
   3.250   0.7319   0.02382   0.01351  -0.1027   0.7378   1.0000
   3.500   0.7611   0.02391   0.01365  -0.1025   0.7248   1.0000
   3.750   0.7904   0.02398   0.01381  -0.1023   0.7114   1.0000
   4.000   0.8194   0.02405   0.01395  -0.1019   0.6977   1.0000
   4.250   0.8478   0.02414   0.01413  -0.1015   0.6833   1.0000
   4.500   0.8753   0.02424   0.01436  -0.1008   0.6676   1.0000
   4.750   0.9024   0.02435   0.01457  -0.1001   0.6509   1.0000
   5.000   0.9297   0.02446   0.01478  -0.0994   0.6336   1.0000
   5.250   0.9575   0.02451   0.01492  -0.0985   0.6152   1.0000
   5.500   0.9831   0.02464   0.01517  -0.0975   0.5944   1.0000
   5.750   1.0080   0.02480   0.01541  -0.0962   0.5713   1.0000
   6.000   1.0315   0.02504   0.01572  -0.0948   0.5467   1.0000
   6.250   1.0552   0.02529   0.01606  -0.0934   0.5212   1.0000
   6.500   1.0768   0.02567   0.01651  -0.0919   0.4940   1.0000
   6.750   1.0964   0.02615   0.01706  -0.0901   0.4644   1.0000
   7.000   1.1143   0.02671   0.01765  -0.0881   0.4317   1.0000
   7.250   1.1299   0.02739   0.01834  -0.0859   0.3954   1.0000
   7.500   1.1436   0.02821   0.01912  -0.0836   0.3568   1.0000
   7.750   1.1547   0.02924   0.02003  -0.0811   0.3160   1.0000
   8.000   1.1636   0.03050   0.02117  -0.0785   0.2739   1.0000
   8.250   1.1707   0.03200   0.02251  -0.0760   0.2343   1.0000
   8.500   1.1747   0.03373   0.02402  -0.0732   0.1994   1.0000
   8.750   1.1778   0.03561   0.02575  -0.0706   0.1682   1.0000
   9.000   1.1795   0.03774   0.02770  -0.0681   0.1429   1.0000
   9.250   1.1825   0.03992   0.02987  -0.0659   0.1200   1.0000
   9.500   1.1843   0.04228   0.03214  -0.0639   0.1033   1.0000
   9.750   1.1872   0.04468   0.03453  -0.0620   0.0898   1.0000
  10.000   1.1915   0.04710   0.03701  -0.0603   0.0786   1.0000
  10.250   1.1978   0.04956   0.03957  -0.0588   0.0704   1.0000
  10.500   1.2019   0.05208   0.04208  -0.0574   0.0642   1.0000
