  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.4167   0.10796   0.10549  -0.0350   1.0000   0.0083
 -11.000  -0.4215   0.10258   0.10015  -0.0368   1.0000   0.0083
 -10.500  -0.6835   0.04714   0.04472  -0.0620   1.0000   0.0077
 -10.250  -0.6673   0.03082   0.02759  -0.0927   0.9871   0.0078
 -10.000  -0.6429   0.02664   0.02295  -0.0987   0.9817   0.0080
  -9.750  -0.6151   0.02381   0.01975  -0.1024   0.9782   0.0082
  -9.500  -0.5877   0.02183   0.01747  -0.1047   0.9736   0.0084
  -9.250  -0.5576   0.02026   0.01566  -0.1068   0.9703   0.0086
  -9.000  -0.5268   0.01862   0.01382  -0.1091   0.9675   0.0089
  -8.750  -0.4992   0.01770   0.01278  -0.1100   0.9619   0.0093
  -8.500  -0.4686   0.01694   0.01191  -0.1113   0.9580   0.0097
  -8.250  -0.4368   0.01625   0.01111  -0.1127   0.9546   0.0102
  -8.000  -0.4091   0.01554   0.01027  -0.1132   0.9486   0.0109
  -7.750  -0.3797   0.01482   0.00940  -0.1139   0.9433   0.0115
  -7.500  -0.3507   0.01400   0.00845  -0.1147   0.9384   0.0121
  -7.250  -0.3233   0.01346   0.00786  -0.1149   0.9320   0.0129
  -7.000  -0.2946   0.01299   0.00730  -0.1153   0.9265   0.0138
  -6.750  -0.2672   0.01255   0.00676  -0.1154   0.9201   0.0149
  -6.500  -0.2396   0.01208   0.00619  -0.1154   0.9129   0.0159
  -6.250  -0.2124   0.01162   0.00567  -0.1155   0.9051   0.0172
  -6.000  -0.1850   0.01131   0.00528  -0.1154   0.8972   0.0187
  -5.750  -0.1575   0.01104   0.00493  -0.1154   0.8900   0.0202
  -5.500  -0.1301   0.01065   0.00449  -0.1154   0.8836   0.0222
  -5.250  -0.1023   0.01039   0.00419  -0.1154   0.8779   0.0245
  -5.000  -0.0747   0.01015   0.00388  -0.1154   0.8715   0.0263
  -4.500  -0.0192   0.00961   0.00325  -0.1153   0.8591   0.0323
  -4.250   0.0086   0.00941   0.00298  -0.1153   0.8524   0.0356
  -4.000   0.0363   0.00917   0.00273  -0.1152   0.8455   0.0420
  -3.750   0.0641   0.00897   0.00251  -0.1152   0.8385   0.0509
  -3.500   0.0919   0.00877   0.00231  -0.1152   0.8321   0.0643
  -3.250   0.1197   0.00858   0.00214  -0.1151   0.8251   0.0810
  -3.000   0.1475   0.00837   0.00198  -0.1151   0.8185   0.1057
  -2.750   0.1751   0.00812   0.00183  -0.1151   0.8108   0.1445
  -2.500   0.2025   0.00782   0.00169  -0.1152   0.8028   0.2052
  -2.250   0.2299   0.00756   0.00159  -0.1152   0.7938   0.2669
  -2.000   0.2575   0.00743   0.00153  -0.1151   0.7855   0.3061
  -1.750   0.2851   0.00733   0.00147  -0.1150   0.7769   0.3392
  -1.500   0.3128   0.00724   0.00146  -0.1149   0.7681   0.3775
  -1.250   0.3404   0.00721   0.00143  -0.1147   0.7586   0.3993
  -1.000   0.3679   0.00719   0.00141  -0.1145   0.7470   0.4227
  -0.750   0.3952   0.00718   0.00140  -0.1143   0.7343   0.4449
  -0.500   0.4227   0.00719   0.00139  -0.1141   0.7224   0.4577
  -0.250   0.4502   0.00721   0.00140  -0.1139   0.7110   0.4727
   0.000   0.4775   0.00724   0.00140  -0.1137   0.6991   0.4866
   0.250   0.5047   0.00729   0.00142  -0.1134   0.6846   0.4988
   0.500   0.5316   0.00734   0.00145  -0.1131   0.6684   0.5120
   0.750   0.5584   0.00741   0.00149  -0.1128   0.6516   0.5254
   1.000   0.5853   0.00749   0.00154  -0.1125   0.6364   0.5379
   1.250   0.6122   0.00757   0.00160  -0.1122   0.6222   0.5492
   1.750   0.6651   0.00779   0.00175  -0.1115   0.5867   0.5767
   2.000   0.6914   0.00790   0.00185  -0.1111   0.5698   0.5913
   2.250   0.7178   0.00801   0.00196  -0.1108   0.5549   0.6058
   2.500   0.7440   0.00814   0.00207  -0.1104   0.5388   0.6207
   2.750   0.7698   0.00829   0.00220  -0.1099   0.5181   0.6359
   3.000   0.7951   0.00847   0.00234  -0.1094   0.4951   0.6534
   3.250   0.8207   0.00861   0.00250  -0.1089   0.4756   0.6748
   3.500   0.8462   0.00872   0.00265  -0.1084   0.4587   0.7019
   3.750   0.8709   0.00883   0.00283  -0.1078   0.4392   0.7408
   4.000   0.8936   0.00888   0.00302  -0.1067   0.4189   0.8097
   4.250   0.9233   0.00890   0.00318  -0.1071   0.3918   1.0000
   4.500   0.9480   0.00924   0.00340  -0.1065   0.3642   1.0000
   4.750   0.9719   0.00966   0.00366  -0.1059   0.3307   1.0000
   5.000   0.9958   0.01007   0.00395  -0.1053   0.3005   1.0000
   5.250   1.0198   0.01048   0.00424  -0.1047   0.2712   1.0000
   5.500   1.0435   0.01091   0.00455  -0.1040   0.2435   1.0000
   5.750   1.0650   0.01157   0.00497  -0.1031   0.1988   1.0000
   6.000   1.0854   0.01233   0.00547  -0.1020   0.1504   1.0000
   6.250   1.1062   0.01303   0.00595  -0.1010   0.1150   1.0000
   6.500   1.1289   0.01353   0.00637  -0.1003   0.0953   1.0000
   6.750   1.1507   0.01410   0.00683  -0.0994   0.0756   1.0000
   7.000   1.1725   0.01466   0.00732  -0.0985   0.0584   1.0000
   7.250   1.1936   0.01527   0.00784  -0.0975   0.0440   1.0000
   7.500   1.2145   0.01587   0.00838  -0.0965   0.0328   1.0000
   7.750   1.2353   0.01646   0.00895  -0.0954   0.0239   1.0000
   8.000   1.2555   0.01708   0.00955  -0.0942   0.0182   1.0000
   8.250   1.2757   0.01768   0.01017  -0.0931   0.0153   1.0000
   8.500   1.2954   0.01830   0.01083  -0.0918   0.0136   1.0000
   8.750   1.3150   0.01889   0.01148  -0.0906   0.0125   1.0000
   9.000   1.3333   0.01955   0.01218  -0.0892   0.0115   1.0000
   9.250   1.3500   0.02030   0.01298  -0.0875   0.0106   1.0000
   9.500   1.3657   0.02102   0.01379  -0.0857   0.0100   1.0000
   9.750   1.3801   0.02172   0.01457  -0.0837   0.0097   1.0000
  10.000   1.3932   0.02249   0.01541  -0.0815   0.0093   1.0000
  10.250   1.4055   0.02330   0.01630  -0.0793   0.0089   1.0000
