  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 B AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.250  -0.2314   0.14510   0.14329  -0.0603   0.9923   0.0068
 -13.000  -0.2208   0.14135   0.13954  -0.0629   0.9911   0.0069
  -9.500  -0.1813   0.01870   0.01537  -0.1941   0.8528   0.0061
  -9.250  -0.1555   0.01659   0.01294  -0.1964   0.8414   0.0063
  -9.000  -0.1284   0.01521   0.01129  -0.1978   0.8316   0.0065
  -8.750  -0.1009   0.01417   0.01002  -0.1989   0.8231   0.0067
  -8.500  -0.0729   0.01334   0.00899  -0.1998   0.8157   0.0069
  -8.250  -0.0446   0.01259   0.00806  -0.2006   0.8095   0.0071
  -8.000  -0.0159   0.01195   0.00729  -0.2014   0.8036   0.0076
  -7.750   0.0124   0.01149   0.00673  -0.2019   0.7978   0.0080
  -7.500   0.0411   0.01108   0.00622  -0.2024   0.7926   0.0085
  -7.250   0.0699   0.01069   0.00573  -0.2029   0.7871   0.0092
  -7.000   0.0983   0.01037   0.00531  -0.2033   0.7813   0.0099
  -6.750   0.1267   0.01020   0.00511  -0.2036   0.7757   0.0108
  -6.500   0.1550   0.01001   0.00484  -0.2038   0.7696   0.0118
  -6.250   0.1834   0.00981   0.00455  -0.2041   0.7644   0.0125
  -6.000   0.2122   0.00963   0.00432  -0.2044   0.7596   0.0134
  -5.750   0.2404   0.00957   0.00424  -0.2046   0.7548   0.0143
  -5.250   0.2974   0.00934   0.00391  -0.2050   0.7465   0.0160
  -5.000   0.3261   0.00922   0.00372  -0.2053   0.7418   0.0164
  -4.750   0.3555   0.00888   0.00331  -0.2058   0.7369   0.0173
  -4.500   0.3843   0.00876   0.00317  -0.2061   0.7324   0.0182
  -4.250   0.4130   0.00866   0.00304  -0.2064   0.7276   0.0192
  -4.000   0.4418   0.00852   0.00285  -0.2067   0.7227   0.0200
  -3.750   0.4709   0.00835   0.00262  -0.2070   0.7176   0.0205
  -3.500   0.4997   0.00824   0.00245  -0.2073   0.7112   0.0211
  -3.250   0.5284   0.00810   0.00224  -0.2076   0.7053   0.0217
  -3.000   0.5581   0.00791   0.00202  -0.2081   0.7005   0.0227
  -2.750   0.5872   0.00781   0.00189  -0.2084   0.6960   0.0237
  -2.500   0.6159   0.00774   0.00178  -0.2086   0.6918   0.0248
  -2.250   0.6448   0.00767   0.00168  -0.2089   0.6875   0.0261
  -2.000   0.6735   0.00762   0.00160  -0.2091   0.6822   0.0274
  -1.750   0.7020   0.00756   0.00153  -0.2093   0.6765   0.0314
  -1.500   0.7307   0.00752   0.00148  -0.2095   0.6711   0.0355
  -1.250   0.7590   0.00749   0.00145  -0.2097   0.6640   0.0437
  -1.000   0.7874   0.00746   0.00142  -0.2098   0.6576   0.0558
  -0.750   0.8160   0.00742   0.00142  -0.2101   0.6514   0.0777
  -0.500   0.8444   0.00737   0.00142  -0.2103   0.6460   0.1126
  -0.250   0.8744   0.00720   0.00144  -0.2110   0.6407   0.2003
   0.000   0.9047   0.00696   0.00151  -0.2119   0.6345   0.3438
   0.250   0.9334   0.00691   0.00157  -0.2122   0.6290   0.4112
   0.500   0.9620   0.00688   0.00164  -0.2125   0.6226   0.4638
   0.750   0.9897   0.00691   0.00173  -0.2126   0.6151   0.5123
   1.000   1.0175   0.00694   0.00181  -0.2126   0.6059   0.5491
   1.250   1.0448   0.00701   0.00189  -0.2126   0.5967   0.5706
   1.750   1.0986   0.00721   0.00206  -0.2123   0.5767   0.5984
   2.000   1.1253   0.00732   0.00216  -0.2121   0.5658   0.6140
   2.250   1.1510   0.00749   0.00228  -0.2118   0.5483   0.6275
   2.500   1.1759   0.00772   0.00244  -0.2113   0.5257   0.6438
