  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 B AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.750  -0.0072   0.08493   0.08270  -0.0925   0.9572   0.0175
  -9.500  -0.1259   0.10314   0.10082  -0.0831   0.9756   0.0165
  -9.250  -0.1126   0.09851   0.09620  -0.0849   0.9718   0.0167
  -9.000  -0.0931   0.09537   0.09305  -0.0865   0.9694   0.0172
  -8.750  -0.0743   0.09193   0.08960  -0.0903   0.9671   0.0176
  -8.500  -0.0624   0.08889   0.08656  -0.0924   0.9585   0.0181
  -8.250  -0.0443   0.08526   0.08293  -0.0966   0.9548   0.0186
  -8.000  -0.0296   0.08192   0.07958  -0.0998   0.9463   0.0191
  -7.750  -0.0068   0.07773   0.07538  -0.1060   0.9421   0.0201
  -7.500   0.0173   0.07306   0.07068  -0.1151   0.9332   0.0210
  -7.250   0.0522   0.06759   0.06516  -0.1266   0.9273   0.0212
  -7.000   0.0821   0.06250   0.06001  -0.1360   0.9161   0.0213
  -6.750   0.1040   0.05711   0.05457  -0.1431   0.9056   0.0218
  -6.500   0.1300   0.05375   0.05113  -0.1490   0.8951   0.0221
  -6.250   0.1524   0.05192   0.04924  -0.1517   0.8850   0.0236
  -6.000   0.1721   0.04821   0.04546  -0.1577   0.8725   0.0246
  -5.750   0.2137   0.03869   0.03568  -0.1774   0.8597   0.0274
  -5.500   0.2438   0.03266   0.02925  -0.1861   0.8507   0.0275
  -5.250   0.2647   0.02843   0.02494  -0.1903   0.8428   0.0292
  -5.000   0.2914   0.02724   0.02365  -0.1920   0.8365   0.0316
  -4.750   0.3289   0.02304   0.01894  -0.1969   0.8303   0.0345
  -4.500   0.3758   0.01512   0.00990  -0.2044   0.8259   0.0299
  -4.250   0.4039   0.01479   0.00950  -0.2048   0.8201   0.0323
  -4.000   0.4343   0.01399   0.00846  -0.2055   0.8146   0.0342
  -3.750   0.4657   0.01318   0.00740  -0.2064   0.8098   0.0349
  -3.500   0.4945   0.01253   0.00661  -0.2067   0.8042   0.0354
  -3.250   0.5251   0.01131   0.00522  -0.2076   0.7989   0.0367
  -3.000   0.5554   0.01068   0.00451  -0.2083   0.7939   0.0383
  -2.750   0.5841   0.01028   0.00408  -0.2086   0.7880   0.0396
  -2.500   0.6138   0.00998   0.00371  -0.2090   0.7826   0.0414
  -2.250   0.6434   0.00974   0.00342  -0.2095   0.7774   0.0435
  -2.000   0.6721   0.00958   0.00322  -0.2097   0.7718   0.0459
  -1.750   0.7033   0.00926   0.00284  -0.2105   0.7670   0.0531
  -1.500   0.7331   0.00908   0.00265  -0.2110   0.7620   0.0657
  -1.250   0.7637   0.00874   0.00252  -0.2118   0.7566   0.1423
  -1.000   0.7967   0.00818   0.00258  -0.2137   0.7520   0.4025
  -0.750   0.8256   0.00810   0.00268  -0.2140   0.7472   0.4970
  -0.500   0.8535   0.00809   0.00275  -0.2140   0.7416   0.5472
  -0.250   0.8817   0.00813   0.00278  -0.2141   0.7362   0.5812
   0.000   0.9090   0.00813   0.00284  -0.2139   0.7302   0.6085
   0.250   0.9365   0.00814   0.00289  -0.2138   0.7244   0.6424
   0.500   0.9643   0.00818   0.00296  -0.2138   0.7194   0.6749
   0.750   0.9912   0.00818   0.00304  -0.2136   0.7135   0.7034
   1.000   1.0186   0.00820   0.00308  -0.2134   0.7082   0.7263
