  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.500  -0.3313   0.11531   0.11119  -0.0298   0.9792   0.0691
  -6.250  -0.3372   0.11439   0.11031  -0.0325   0.9722   0.0707
  -6.000  -0.3304   0.11299   0.10893  -0.0438   0.9654   0.0717
  -5.750  -0.3231   0.10903   0.10500  -0.0484   0.9587   0.0723
  -5.500  -0.3129   0.10426   0.10022  -0.0412   0.9559   0.0740
  -5.250  -0.2981   0.10106   0.09702  -0.0415   0.9518   0.0766
  -5.000  -0.2923   0.09842   0.09439  -0.0428   0.9458   0.0791
  -4.750  -0.2510   0.09430   0.09013  -0.0659   0.9382   0.0858
  -4.500  -0.2474   0.09001   0.08590  -0.0638   0.9338   0.0870
  -4.250  -0.2400   0.08747   0.08339  -0.0583   0.9302   0.0901
  -4.000  -0.1884   0.08203   0.07773  -0.0787   0.9236   0.1013
  -3.750  -0.1881   0.07947   0.07527  -0.0725   0.9193   0.1033
  -3.500  -0.1503   0.07584   0.07154  -0.0791   0.9156   0.1132
  -3.250  -0.0876   0.07114   0.06641  -0.0976   0.9092   0.1306
  -3.000  -0.0860   0.06790   0.06340  -0.0922   0.9051   0.1335
  -2.750  -0.0168   0.06366   0.05877  -0.1069   0.9019   0.1628
  -2.500  -0.0157   0.06166   0.05693  -0.1022   0.8957   0.1663
  -2.250   0.0329   0.05857   0.05361  -0.1103   0.8912   0.1960
  -1.750   0.2297   0.04159   0.03393  -0.1444   0.8894   0.0988
  -1.500   0.2825   0.03979   0.03149  -0.1493   0.8871   0.1015
  -1.250   0.3021   0.03902   0.03054  -0.1487   0.8799   0.1030
  -1.000   0.3408   0.03817   0.02948  -0.1508   0.8757   0.1075
  -0.750   0.3864   0.03739   0.02853  -0.1540   0.8728   0.1198
  -0.500   0.4030   0.03747   0.02850  -0.1526   0.8647   0.1300
  -0.250   0.4405   0.03699   0.02815  -0.1545   0.8604   0.1550
   0.000   0.4862   0.03641   0.02771  -0.1576   0.8577   0.2101
   0.250   0.5010   0.03646   0.02815  -0.1562   0.8487   0.2879
   0.500   0.5391   0.03516   0.02830  -0.1578   0.8453   0.6942
   0.750   0.5516   0.03513   0.02838  -0.1549   0.8370   1.0000
   1.000   0.5856   0.03544   0.02839  -0.1561   0.8311   1.0000
   1.250   0.6312   0.03545   0.02815  -0.1589   0.8279   1.0000
   1.500   0.6419   0.03632   0.02891  -0.1568   0.8172   1.0000
   1.750   0.6858   0.03625   0.02867  -0.1593   0.8136   1.0000
   2.000   0.6981   0.03715   0.02951  -0.1574   0.8030   1.0000
   2.250   0.7410   0.03700   0.02923  -0.1597   0.7991   1.0000
   2.500   0.7561   0.03782   0.03000  -0.1581   0.7884   1.0000
   2.750   0.7994   0.03748   0.02958  -0.1602   0.7842   1.0000
   3.000   0.8155   0.03827   0.03034  -0.1588   0.7735   1.0000
   3.250   0.8579   0.03787   0.02990  -0.1607   0.7694   1.0000
   3.500   0.8743   0.03865   0.03068  -0.1593   0.7586   1.0000
   3.750   0.9171   0.03810   0.03011  -0.1611   0.7545   1.0000
   4.000   0.9646   0.03721   0.02925  -0.1634   0.7518   1.0000
   4.250   0.9797   0.03787   0.02992  -0.1616   0.7395   1.0000
   4.500   1.0311   0.03649   0.02858  -0.1641   0.7374   1.0000
   4.750   1.0445   0.03724   0.02940  -0.1621   0.7246   1.0000
   5.000   1.0961   0.03566   0.02788  -0.1645   0.7228   1.0000
   5.250   1.1525   0.03372   0.02601  -0.1676   0.7215   1.0000
   5.500   1.1665   0.03420   0.02660  -0.1652   0.7086   1.0000
   5.750   1.2291   0.03186   0.02437  -0.1691   0.7069   1.0000
   6.250   1.2807   0.03130   0.02404  -0.1672   0.6852   1.0000
   6.500   1.3407   0.02917   0.02206  -0.1709   0.6789   1.0000
   6.750   1.3710   0.02865   0.02168  -0.1706   0.6670   1.0000
   7.000   1.4230   0.02729   0.02047  -0.1736   0.6571   1.0000
   7.250   1.4696   0.02620   0.01951  -0.1759   0.6439   1.0000
   7.500   1.4912   0.02596   0.01940  -0.1740   0.6269   1.0000
   7.750   1.5118   0.02576   0.01929  -0.1719   0.6082   1.0000
   8.000   1.5376   0.02546   0.01907  -0.1708   0.5884   1.0000
   8.250   1.5608   0.02531   0.01899  -0.1692   0.5667   1.0000
   8.500   1.5727   0.02547   0.01916  -0.1657   0.5418   1.0000
   8.750   1.5787   0.02577   0.01940  -0.1613   0.5123   1.0000
   9.000   1.5809   0.02627   0.01974  -0.1563   0.4786   1.0000
   9.250   1.5772   0.02722   0.02055  -0.1509   0.4444   1.0000
