  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.0291   0.09753   0.09557  -0.1202   0.9668   0.0051
 -10.250  -0.0193   0.09327   0.09131  -0.1235   0.9660   0.0051
  -9.750  -0.2309   0.02135   0.01848  -0.1896   0.9189   0.0054
  -9.500  -0.1957   0.01810   0.01486  -0.1953   0.9163   0.0054
  -9.250  -0.1609   0.01628   0.01278  -0.1989   0.9131   0.0054
  -9.000  -0.1281   0.01508   0.01139  -0.2012   0.9084   0.0055
  -8.750  -0.0904   0.01388   0.00997  -0.2046   0.9047   0.0056
  -8.250  -0.0228   0.01208   0.00782  -0.2088   0.8948   0.0059
  -8.000   0.0099   0.01143   0.00701  -0.2105   0.8891   0.0062
  -7.750   0.0404   0.01088   0.00633  -0.2115   0.8829   0.0065
  -7.500   0.0701   0.01041   0.00573  -0.2123   0.8755   0.0069
  -7.250   0.0995   0.01002   0.00523  -0.2129   0.8687   0.0072
  -7.000   0.1278   0.00968   0.00478  -0.2132   0.8614   0.0076
  -6.750   0.1562   0.00936   0.00441  -0.2136   0.8548   0.0092
  -6.500   0.1836   0.00918   0.00419  -0.2137   0.8473   0.0111
  -6.250   0.2114   0.00904   0.00397  -0.2138   0.8404   0.0130
  -6.000   0.2385   0.00894   0.00384  -0.2137   0.8330   0.0143
  -5.750   0.2658   0.00882   0.00364  -0.2137   0.8265   0.0153
  -5.500   0.2929   0.00872   0.00348  -0.2136   0.8199   0.0161
  -5.000   0.3471   0.00840   0.00303  -0.2135   0.8070   0.0174
  -4.750   0.3740   0.00829   0.00286  -0.2134   0.8006   0.0183
  -4.500   0.4011   0.00818   0.00271  -0.2133   0.7950   0.0191
  -4.250   0.4281   0.00808   0.00255  -0.2132   0.7888   0.0198
  -3.750   0.4822   0.00785   0.00223  -0.2131   0.7774   0.0219
  -3.500   0.5091   0.00776   0.00210  -0.2129   0.7715   0.0230
  -3.250   0.5360   0.00768   0.00198  -0.2128   0.7661   0.0238
  -3.000   0.5632   0.00760   0.00186  -0.2127   0.7605   0.0246
  -2.750   0.5898   0.00755   0.00176  -0.2125   0.7546   0.0257
  -2.500   0.6167   0.00748   0.00168  -0.2123   0.7490   0.0284
  -2.250   0.6434   0.00743   0.00162  -0.2121   0.7427   0.0329
  -2.000   0.6695   0.00741   0.00157  -0.2118   0.7366   0.0383
  -1.750   0.6965   0.00736   0.00153  -0.2117   0.7308   0.0451
  -1.500   0.7225   0.00735   0.00150  -0.2114   0.7241   0.0519
  -1.250   0.7488   0.00733   0.00148  -0.2111   0.7177   0.0596
  -0.750   0.8012   0.00729   0.00148  -0.2105   0.7058   0.0910
  -0.500   0.8280   0.00724   0.00149  -0.2104   0.6997   0.1179
  -0.250   0.8535   0.00721   0.00152  -0.2100   0.6924   0.1588
   0.000   0.8799   0.00719   0.00155  -0.2098   0.6861   0.1890
   0.250   0.9056   0.00718   0.00160  -0.2095   0.6794   0.2195
   0.500   0.9312   0.00719   0.00165  -0.2091   0.6729   0.2498
   1.000   0.9816   0.00715   0.00180  -0.2082   0.6581   0.3617
   1.250   1.0068   0.00708   0.00191  -0.2078   0.6496   0.4509
   1.500   1.0313   0.00705   0.00201  -0.2073   0.6419   0.5263
   1.750   1.0558   0.00703   0.00213  -0.2067   0.6333   0.6038
   2.000   1.0793   0.00702   0.00226  -0.2059   0.6230   0.6824
   2.250   1.1007   0.00702   0.00243  -0.2046   0.6101   0.7813
   2.500   1.1140   0.00692   0.00258  -0.2013   0.5953   0.9324
   2.750   1.1381   0.00705   0.00267  -0.2006   0.5820   1.0000
   3.000   1.1603   0.00724   0.00279  -0.1995   0.5676   1.0000
   3.250   1.1818   0.00746   0.00295  -0.1983   0.5501   1.0000
   3.500   1.2032   0.00770   0.00311  -0.1970   0.5333   1.0000
   3.750   1.2245   0.00794   0.00328  -0.1958   0.5170   1.0000
   4.000   1.2447   0.00824   0.00348  -0.1943   0.4975   1.0000
   4.250   1.2640   0.00858   0.00372  -0.1927   0.4761   1.0000
   4.500   1.2823   0.00897   0.00399  -0.1909   0.4498   1.0000
   4.750   1.2972   0.00954   0.00436  -0.1885   0.4115   1.0000
   5.000   1.3126   0.01008   0.00472  -0.1863   0.3775   1.0000
   5.250   1.3265   0.01070   0.00515  -0.1837   0.3400   1.0000
