  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-K-135/20 B                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.3566   0.10409   0.09989  -0.0524   0.9853   0.1012
  -9.250  -0.3657   0.10056   0.09641  -0.0568   0.9809   0.1055
  -9.000  -0.3997   0.09609   0.09201  -0.0675   0.9753   0.1071
  -8.750  -0.3631   0.09210   0.08800  -0.0626   0.9750   0.1108
  -8.500  -0.3533   0.08893   0.08482  -0.0639   0.9724   0.1152
  -8.250  -0.3717   0.08570   0.08164  -0.0664   0.9675   0.1186
  -8.000  -0.4055   0.08260   0.07851  -0.0700   0.9618   0.1206
  -7.750  -0.4513   0.08156   0.07730  -0.0685   0.9557   0.1217
  -7.500  -0.4248   0.07666   0.07257  -0.0674   0.9543   0.1254
  -7.250  -0.4213   0.07419   0.07009  -0.0663   0.9510   0.1296
  -7.000  -0.4628   0.07264   0.06809  -0.0665   0.9461   0.1372
  -6.750  -0.4382   0.06828   0.06399  -0.0654   0.9444   0.1407
  -6.500  -0.4447   0.06660   0.06228  -0.0618   0.9409   0.1441
  -6.250  -0.4610   0.06436   0.05982  -0.0596   0.9370   0.1537
  -6.000  -0.4462   0.06166   0.05713  -0.0587   0.9343   0.1601
  -5.750  -0.4368   0.05879   0.05413  -0.0588   0.9317   0.1726
  -5.500  -0.4350   0.04624   0.03954  -0.0552   0.9291   0.0637
  -5.250  -0.4277   0.04341   0.03651  -0.0526   0.9261   0.0610
  -5.000  -0.4133   0.04077   0.03343  -0.0508   0.9233   0.0587
  -4.750  -0.3909   0.03846   0.03064  -0.0501   0.9203   0.0587
  -4.500  -0.3596   0.03615   0.02781  -0.0506   0.9174   0.0581
  -4.250  -0.3339   0.03436   0.02561  -0.0500   0.9145   0.0582
  -4.000  -0.3181   0.03321   0.02422  -0.0478   0.9110   0.0591
  -3.750  -0.2934   0.03210   0.02290  -0.0471   0.9073   0.0615
  -3.500  -0.2614   0.03088   0.02151  -0.0476   0.9038   0.0671
  -3.250  -0.2280   0.02979   0.02053  -0.0488   0.9004   0.0837
  -3.000  -0.2209   0.02915   0.02001  -0.0455   0.8959   0.1014
  -2.750  -0.2023   0.02816   0.01936  -0.0442   0.8917   0.1589
  -2.500  -0.1896   0.02557   0.01907  -0.0421   0.8881   0.5300
  -2.250  -0.1954   0.02622   0.02073  -0.0316   0.8839   0.8471
  -2.000   0.1408   0.02827   0.02148  -0.0816   0.8873   0.9857
  -1.750   0.2602   0.02735   0.02018  -0.0998   0.8869   1.0000
  -1.500   0.2238   0.02836   0.02121  -0.0898   0.8772   1.0000
  -1.250   0.2614   0.02841   0.02110  -0.0925   0.8729   1.0000
  -1.000   0.2376   0.02926   0.02193  -0.0847   0.8638   1.0000
  -0.750   0.2703   0.02945   0.02199  -0.0864   0.8586   1.0000
  -0.500   0.2556   0.03019   0.02271  -0.0801   0.8496   1.0000
  -0.250   0.2882   0.03043   0.02284  -0.0816   0.8439   1.0000
   0.000   0.2764   0.03115   0.02353  -0.0757   0.8342   1.0000
   0.250   0.3171   0.03136   0.02363  -0.0784   0.8289   1.0000
   0.500   0.3032   0.03207   0.02431  -0.0720   0.8182   1.0000
   0.750   0.3135   0.03260   0.02479  -0.0696   0.8099   1.0000
   1.000   0.3399   0.03294   0.02507  -0.0698   0.8029   1.0000
   1.250   0.3311   0.03355   0.02565  -0.0642   0.7921   1.0000
   1.500   0.3794   0.03378   0.02583  -0.0677   0.7876   1.0000
   1.750   0.3664   0.03433   0.02635  -0.0614   0.7762   1.0000
   2.000   0.3565   0.03486   0.02686  -0.0557   0.7650   1.0000
   2.250   0.4049   0.03502   0.02700  -0.0590   0.7608   1.0000
   2.500   0.3896   0.03551   0.02747  -0.0524   0.7488   1.0000
   2.750   0.3884   0.03597   0.02789  -0.0482   0.7383   1.0000
   3.000   0.4274   0.03608   0.02800  -0.0498   0.7333   1.0000
