  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-K-135/20 B                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.000  -0.3364   0.09288   0.09007  -0.0750   0.7551   0.0051
 -11.500  -0.5361   0.04238   0.03934  -0.1032   0.7532   0.0046
 -11.250  -0.5696   0.03735   0.03408  -0.1020   0.7520   0.0046
 -11.000  -0.5857   0.03440   0.03094  -0.0993   0.7509   0.0046
 -10.750  -0.6052   0.03156   0.02788  -0.0949   0.7498   0.0046
 -10.500  -0.6120   0.02986   0.02600  -0.0909   0.7488   0.0047
 -10.250  -0.6148   0.02765   0.02351  -0.0875   0.7477   0.0047
 -10.000  -0.6050   0.02640   0.02211  -0.0856   0.7466   0.0047
  -9.750  -0.5999   0.02438   0.01983  -0.0830   0.7457   0.0047
  -9.500  -0.5871   0.02302   0.01828  -0.0813   0.7449   0.0048
  -9.250  -0.5733   0.02161   0.01668  -0.0796   0.7441   0.0048
  -9.000  -0.5555   0.02064   0.01557  -0.0785   0.7432   0.0048
  -8.750  -0.5385   0.01940   0.01415  -0.0771   0.7422   0.0048
  -8.500  -0.5186   0.01851   0.01313  -0.0762   0.7412   0.0049
  -8.250  -0.4968   0.01785   0.01234  -0.0754   0.7401   0.0049
  -8.000  -0.4745   0.01721   0.01160  -0.0748   0.7392   0.0049
  -7.750  -0.4536   0.01625   0.01051  -0.0739   0.7383   0.0050
  -7.500  -0.4338   0.01512   0.00922  -0.0728   0.7372   0.0051
  -7.250  -0.4115   0.01438   0.00839  -0.0721   0.7362   0.0052
  -7.000  -0.3889   0.01369   0.00761  -0.0714   0.7352   0.0052
  -6.750  -0.3655   0.01312   0.00696  -0.0708   0.7342   0.0053
  -6.500  -0.3413   0.01267   0.00644  -0.0703   0.7332   0.0053
  -6.250  -0.3174   0.01218   0.00588  -0.0697   0.7320   0.0054
  -6.000  -0.2929   0.01174   0.00541  -0.0693   0.7310   0.0056
  -5.750  -0.2678   0.01137   0.00501  -0.0690   0.7298   0.0057
  -5.500  -0.2424   0.01103   0.00463  -0.0687   0.7285   0.0059
