  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 80-136                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.4003   0.13781   0.13290  -0.0121   1.0000   0.1840
 -11.000  -0.3771   0.13206   0.12715  -0.0138   1.0000   0.1913
 -10.750  -0.3862   0.13111   0.12622  -0.0183   0.9810   0.1993
 -10.500  -0.3591   0.12544   0.12049  -0.0194   0.9705   0.2092
 -10.250  -0.3552   0.12216   0.11723  -0.0226   0.9631   0.2177
 -10.000  -0.3581   0.12029   0.11536  -0.0263   0.9571   0.2292
  -9.750  -0.3415   0.11618   0.11120  -0.0273   0.9508   0.2433
  -9.500  -0.3302   0.11272   0.10774  -0.0286   0.9453   0.2579
  -9.250  -0.3215   0.10954   0.10455  -0.0300   0.9403   0.2729
  -9.000  -0.3152   0.10664   0.10165  -0.0315   0.9353   0.2884
  -8.750  -0.3127   0.10412   0.09915  -0.0329   0.9308   0.3041
  -8.500  -0.2997   0.10049   0.09553  -0.0337   0.9264   0.3207
  -8.250  -0.2769   0.09659   0.09159  -0.0334   0.9220   0.3397
  -8.000  -0.2702   0.09419   0.08919  -0.0339   0.9183   0.3619
  -7.500  -0.2489   0.08866   0.08366  -0.0342   0.9112   0.4113
  -7.250  -0.2275   0.08562   0.08060  -0.0332   0.9073   0.4435
  -5.750  -0.3433   0.05937   0.05287  -0.0691   0.8939   0.1703
  -5.500  -0.3328   0.05573   0.04901  -0.0680   0.8924   0.1522
  -5.250  -0.3316   0.05340   0.04603  -0.0654   0.8919   0.1396
  -5.000  -0.3225   0.05116   0.04360  -0.0637   0.8908   0.1371
  -4.750  -0.3150   0.04931   0.04143  -0.0615   0.8901   0.1350
  -4.500  -0.3081   0.04763   0.03937  -0.0591   0.8903   0.1327
  -4.250  -0.2991   0.04600   0.03724  -0.0566   0.8911   0.1293
  -4.000  -0.2850   0.04478   0.03536  -0.0546   0.8916   0.1264
  -3.750  -0.2671   0.04335   0.03357  -0.0534   0.8917   0.1266
  -3.500  -0.2507   0.04210   0.03230  -0.0525   0.8926   0.1316
  -3.250  -0.2336   0.04129   0.03121  -0.0513   0.8942   0.1368
  -3.000  -0.2121   0.04058   0.03012  -0.0504   0.8953   0.1405
  -2.750  -0.1900   0.03972   0.02934  -0.0500   0.8962   0.1491
  -2.500  -0.1683   0.03923   0.02881  -0.0495   0.8979   0.1626
  -2.250  -0.1447   0.03881   0.02833  -0.0492   0.8998   0.1782
  -2.000  -0.1219   0.03838   0.02803  -0.0491   0.9018   0.2121
  -1.750  -0.2914   0.03679   0.02632  -0.0190   1.0000   0.1498
  -1.500  -0.2671   0.03636   0.02584  -0.0188   1.0000   0.1646
  -1.250  -0.2416   0.03602   0.02541  -0.0188   1.0000   0.1831
  -1.000  -0.2146   0.03540   0.02517  -0.0195   1.0000   0.2347
  -0.750  -0.1799   0.03290   0.02534  -0.0183   1.0000   1.0000
  -0.500  -0.1621   0.03355   0.02550  -0.0179   1.0000   1.0000
  -0.250  -0.1444   0.03426   0.02582  -0.0177   1.0000   1.0000
   0.000  -0.1267   0.03501   0.02622  -0.0175   1.0000   1.0000
   0.250  -0.1090   0.03581   0.02673  -0.0174   1.0000   1.0000
   0.500  -0.0912   0.03666   0.02731  -0.0174   1.0000   1.0000
   0.750  -0.0735   0.03756   0.02797  -0.0174   1.0000   1.0000
   1.000  -0.0558   0.03850   0.02868  -0.0175   1.0000   1.0000
   1.250  -0.0382   0.03949   0.02947  -0.0176   1.0000   1.0000
   1.500  -0.0207   0.04053   0.03033  -0.0178   1.0000   1.0000
   1.750  -0.0033   0.04161   0.03125  -0.0180   1.0000   1.0000
   2.000   0.0139   0.04273   0.03223  -0.0182   1.0000   1.0000
   2.250   0.0310   0.04391   0.03325  -0.0184   1.0000   1.0000
   3.000   0.1592   0.05207   0.04099  -0.0343   0.9477   1.0000
   3.250   0.1954   0.05456   0.04339  -0.0378   0.9214   1.0000
   3.500   0.2345   0.05753   0.04628  -0.0416   0.9024   1.0000
   3.750   0.2548   0.05903   0.04773  -0.0419   0.8785   1.0000
   4.250   0.3138   0.06401   0.05264  -0.0458   0.8454   1.0000
   4.500   0.3307   0.06568   0.05428  -0.0457   0.8290   1.0000
   4.750   0.3464   0.06725   0.05584  -0.0454   0.8123   1.0000
   5.000   0.3658   0.06921   0.05780  -0.0457   0.7978   1.0000
   5.250   0.3861   0.07134   0.05993  -0.0462   0.7843   1.0000
   5.500   0.4144   0.07418   0.06280  -0.0479   0.7725   1.0000
   5.750   0.4335   0.07625   0.06490  -0.0482   0.7590   1.0000
   6.250   0.4556   0.07940   0.06810  -0.0469   0.7328   1.0000
   6.500   0.4668   0.08122   0.06997  -0.0465   0.7209   1.0000
   6.750   0.4815   0.08342   0.07222  -0.0465   0.7103   1.0000
   7.000   0.5158   0.08718   0.07606  -0.0489   0.7009   1.0000
   7.250   0.5190   0.08826   0.07718  -0.0475   0.6882   1.0000
   7.500   0.5242   0.08990   0.07887  -0.0467   0.6770   1.0000
   7.750   0.5375   0.09234   0.08141  -0.0468   0.6678   1.0000
   8.250   0.5654   0.09696   0.08619  -0.0471   0.6461   1.0000
   8.500   0.5728   0.09921   0.08851  -0.0468   0.6368   1.0000
   8.750   0.6072   0.10348   0.09292  -0.0489   0.6279   1.0000
   9.000   0.6005   0.10428   0.09378  -0.0474   0.6165   1.0000
   9.250   0.6064   0.10666   0.09627  -0.0472   0.6077   1.0000
   9.500   0.6396   0.11105   0.10083  -0.0491   0.5987   1.0000
   9.750   0.6306   0.11192   0.10175  -0.0477   0.5878   1.0000
  10.000   0.6383   0.11473   0.10466  -0.0479   0.5802   1.0000
  10.250   0.6659   0.11872   0.10882  -0.0492   0.5699   1.0000
  10.500   0.6569   0.11995   0.11010  -0.0483   0.5600   1.0000
  10.750   0.6695   0.12337   0.11368  -0.0489   0.5528   1.0000
  11.000   0.6917   0.12703   0.11752  -0.0498   0.5413   1.0000
  11.250   0.6829   0.12851   0.11906  -0.0492   0.5317   1.0000
  11.500   0.6922   0.13175   0.12243  -0.0497   0.5230   1.0000
  11.750   0.7111   0.13554   0.12639  -0.0505   0.5116   1.0000
  12.000   0.7254   0.13884   0.12985  -0.0509   0.4981   1.0000
  12.250   0.7341   0.14169   0.13287  -0.0511   0.4841   1.0000
  12.500   0.7371   0.14411   0.13541  -0.0511   0.4693   1.0000
  12.750   0.7385   0.14643   0.13784  -0.0511   0.4528   1.0000
  13.000   0.7531   0.14849   0.14007  -0.0505   0.4243   1.0000
  13.250   0.8979   0.12353   0.11604  -0.0321   0.2789   1.0000
  13.500   1.1111   0.07564   0.06716  -0.0025   0.1273   1.0000
  13.750   1.1257   0.07746   0.06883  -0.0004   0.1113   1.0000
  14.000   1.1657   0.07820   0.06945   0.0030   0.0958   1.0000
  14.250   1.1631   0.08250   0.07411   0.0032   0.0924   1.0000
  14.500   1.1560   0.08710   0.07903   0.0028   0.0895   1.0000
  14.750   1.1869   0.08980   0.08162   0.0048   0.0826   1.0000
  15.000   1.1715   0.09516   0.08731   0.0038   0.0824   1.0000
  15.250   1.1539   0.10095   0.09337   0.0023   0.0824   1.0000
  15.500   1.1350   0.10717   0.09982   0.0003   0.0826   1.0000
  15.750   1.0446   0.12354   0.11675  -0.0112   0.0922   1.0000
  16.000   1.0193   0.13331   0.12662  -0.0161   0.0940   1.0000
  16.250   1.0002   0.14274   0.13604  -0.0207   0.0951   1.0000
  16.500   0.8914   0.18327   0.17617  -0.0472   0.1298   1.0000
  16.750   0.8911   0.18986   0.18273  -0.0503   0.1309   1.0000
  17.000   0.8941   0.19591   0.18877  -0.0528   0.1322   1.0000
