  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-131                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.3468   0.11064   0.10714  -0.0112   0.7677   0.0234
 -10.250  -0.3446   0.10654   0.10305  -0.0133   0.7666   0.0243
 -10.000  -0.4411   0.10373   0.10007  -0.0179   0.7724   0.0203
  -9.500  -0.4289   0.09824   0.09453  -0.0187   0.7707   0.0229
  -7.000  -0.4662   0.05349   0.04891  -0.0347   0.7543   0.0182
  -6.750  -0.4604   0.04969   0.04493  -0.0339   0.7521   0.0168
  -6.500  -0.4529   0.04541   0.04033  -0.0323   0.7501   0.0151
  -6.000  -0.4247   0.03767   0.03164  -0.0275   0.7467   0.0122
  -5.750  -0.4104   0.03479   0.02843  -0.0257   0.7453   0.0120
  -5.500  -0.3937   0.03222   0.02548  -0.0239   0.7440   0.0119
  -5.250  -0.3747   0.02990   0.02278  -0.0223   0.7429   0.0118
  -5.000  -0.3519   0.02785   0.02038  -0.0214   0.7412   0.0118
  -4.750  -0.3258   0.02609   0.01831  -0.0212   0.7387   0.0119
  -4.500  -0.2995   0.02460   0.01655  -0.0209   0.7365   0.0121
  -4.250  -0.2729   0.02337   0.01510  -0.0206   0.7347   0.0124
  -4.000  -0.2478   0.02177   0.01334  -0.0202   0.7331   0.0133
  -3.750  -0.2232   0.02107   0.01260  -0.0198   0.7317   0.0150
  -3.500  -0.1984   0.02032   0.01177  -0.0193   0.7305   0.0162
  -3.250  -0.1749   0.01948   0.01084  -0.0183   0.7295   0.0166
  -3.000  -0.1510   0.01885   0.01014  -0.0177   0.7279   0.0172
  -2.750  -0.1254   0.01845   0.00967  -0.0178   0.7243   0.0180
  -2.500  -0.1008   0.01808   0.00920  -0.0174   0.7219   0.0190
  -2.250  -0.0767   0.01767   0.00869  -0.0167   0.7200   0.0215
  -2.000  -0.0521   0.01735   0.00829  -0.0161   0.7185   0.0295
  -1.750  -0.0358   0.01619   0.00788  -0.0144   0.7172   0.2084
  -1.500   0.0420   0.01415   0.00856  -0.0232   0.7173   0.9043
  -1.000   0.1081   0.01445   0.00855  -0.0249   0.7154   0.9316
  -0.750   0.1478   0.01488   0.00889  -0.0279   0.7118   0.9402
  -0.500   0.1837   0.01511   0.00904  -0.0300   0.7093   0.9472
  -0.250   0.2184   0.01521   0.00905  -0.0317   0.7073   0.9530
   0.000   0.2497   0.01526   0.00902  -0.0326   0.7056   0.9592
   0.250   0.2860   0.01526   0.00895  -0.0346   0.7044   0.9633
   0.500   0.3182   0.01528   0.00891  -0.0357   0.7033   0.9695
   0.750   0.3534   0.01515   0.00871  -0.0372   0.7021   0.9740
   1.000   0.3916   0.01540   0.00898  -0.0403   0.6961   0.9780
   1.250   0.4243   0.01529   0.00884  -0.0415   0.6930   0.9830
   1.500   0.4593   0.01507   0.00859  -0.0430   0.6910   0.9867
   1.750   0.4944   0.01484   0.00835  -0.0446   0.6895   0.9905
   2.000   0.5294   0.01492   0.00845  -0.0467   0.6863   0.9942
   2.250   0.5656   0.01507   0.00865  -0.0493   0.6822   0.9971
   2.500   0.6004   0.01498   0.00861  -0.0511   0.6797   1.0000
   2.750   0.6239   0.01487   0.00852  -0.0504   0.6776   1.0000
   3.000   0.6474   0.01473   0.00838  -0.0497   0.6759   1.0000
   3.250   0.6731   0.01505   0.00879  -0.0502   0.6705   1.0000
   3.500   0.6975   0.01508   0.00888  -0.0499   0.6668   1.0000
   3.750   0.7211   0.01485   0.00871  -0.0490   0.6639   1.0000
   4.000   0.7456   0.01478   0.00870  -0.0486   0.6577   1.0000
   4.250   0.7697   0.01451   0.00849  -0.0479   0.6514   1.0000
   4.500   0.7940   0.01437   0.00841  -0.0473   0.6448   1.0000
   5.000   0.8426   0.01389   0.00809  -0.0459   0.6241   1.0000
   5.250   0.8668   0.01371   0.00797  -0.0453   0.6109   1.0000
   5.500   0.8907   0.01355   0.00785  -0.0445   0.5963   1.0000
   5.750   0.9141   0.01340   0.00770  -0.0436   0.5715   1.0000
   6.000   0.9358   0.01326   0.00742  -0.0422   0.5281   1.0000
   6.250   0.9519   0.01376   0.00746  -0.0404   0.4522   1.0000
   6.500   0.9641   0.01479   0.00819  -0.0388   0.3983   1.0000
   6.750   0.9737   0.01583   0.00904  -0.0368   0.3530   1.0000
   7.000   0.9751   0.01717   0.01013  -0.0339   0.3008   1.0000
   7.500   0.9582   0.01962   0.01222  -0.0244   0.2332   1.0000
   7.750   0.9486   0.02082   0.01323  -0.0193   0.1965   1.0000
   8.000   0.9413   0.02217   0.01433  -0.0150   0.1532   1.0000
   8.250   0.9358   0.02362   0.01549  -0.0111   0.1110   1.0000
   8.500   0.9366   0.02486   0.01662  -0.0081   0.0880   1.0000
   8.750   0.9419   0.02593   0.01765  -0.0057   0.0759   1.0000
   9.000   0.9499   0.02690   0.01865  -0.0037   0.0686   1.0000
   9.250   0.9557   0.02805   0.01976  -0.0016   0.0618   1.0000
   9.500   0.9661   0.02893   0.02072   0.0000   0.0552   1.0000
   9.750   0.9742   0.03001   0.02177   0.0017   0.0478   1.0000
  10.000   0.9847   0.03095   0.02273   0.0031   0.0405   1.0000
  10.250   0.9950   0.03193   0.02376   0.0045   0.0351   1.0000
  10.500   1.0052   0.03296   0.02480   0.0058   0.0271   1.0000
  10.750   1.0136   0.03417   0.02600   0.0073   0.0177   1.0000
  11.250   1.0251   0.03713   0.02906   0.0104   0.0107   1.0000
  11.500   1.0302   0.03876   0.03079   0.0119   0.0093   1.0000
  11.750   1.0359   0.04040   0.03252   0.0133   0.0086   1.0000
  12.000   1.0399   0.04225   0.03447   0.0146   0.0080   1.0000
  12.250   1.0428   0.04426   0.03660   0.0159   0.0073   1.0000
  12.500   1.0495   0.04594   0.03841   0.0168   0.0067   1.0000
  12.750   1.0533   0.04798   0.04060   0.0179   0.0067   1.0000
  13.000   1.0579   0.04998   0.04272   0.0188   0.0061   1.0000
  13.250   1.0624   0.05202   0.04489   0.0195   0.0058   1.0000
  13.500   1.0651   0.05432   0.04733   0.0202   0.0056   1.0000
  13.750   1.0664   0.05684   0.05000   0.0209   0.0054   1.0000
  14.000   1.0673   0.05948   0.05277   0.0214   0.0053   1.0000
  14.250   1.0674   0.06227   0.05571   0.0218   0.0051   1.0000
  14.500   1.0646   0.06551   0.05910   0.0220   0.0049   1.0000
  14.750   1.0620   0.06882   0.06262   0.0221   0.0049   1.0000
  15.000   1.0594   0.07222   0.06619   0.0220   0.0048   1.0000
  15.250   1.0516   0.07647   0.07061   0.0217   0.0047   1.0000
  15.500   1.0442   0.08081   0.07514   0.0211   0.0046   1.0000
  15.750   1.0393   0.08493   0.07944   0.0202   0.0047   1.0000
  16.000   1.0285   0.09012   0.08482   0.0189   0.0046   1.0000
  16.250   1.0186   0.09539   0.09028   0.0172   0.0046   1.0000
  16.500   1.0055   0.10147   0.09654   0.0151   0.0046   1.0000
  16.750   0.9927   0.10778   0.10305   0.0124   0.0045   1.0000
  17.250   0.9664   0.12124   0.11685   0.0062   0.0046   1.0000
  17.750   0.9395   0.13632   0.13226  -0.0017   0.0046   1.0000
  18.000   0.9247   0.14483   0.14092  -0.0063   0.0047   1.0000
  18.250   0.9093   0.15424   0.15049  -0.0114   0.0048   1.0000
