  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.750  -0.3975   0.15633   0.14949   0.0128   0.5262   0.2221
 -13.500  -0.3590   0.15262   0.14538   0.0099   0.4744   0.2265
 -13.250  -0.3902   0.15355   0.14630   0.0064   0.4783   0.2368
 -13.000  -0.3534   0.14676   0.13929   0.0034   0.4570   0.2392
 -12.750  -0.3136   0.14284   0.13520   0.0013   0.4423   0.2434
 -12.500  -0.3500   0.14506   0.13743  -0.0014   0.4447   0.2551
 -12.250  -0.3117   0.13802   0.13020  -0.0046   0.4330   0.2575
 -12.000  -0.2684   0.13366   0.12573  -0.0069   0.4241   0.2610
 -11.750  -0.2410   0.13089   0.12282  -0.0104   0.4167   0.2689
 -11.500  -0.1696   0.12612   0.11836  -0.0274   0.4106   0.2757
 -11.250  -0.1124   0.11901   0.11117  -0.0298   0.4026   0.2775
 -11.000  -0.0774   0.11528   0.10733  -0.0316   0.3973   0.2805
 -10.750  -0.2620   0.12633   0.11807  -0.0201   0.4084   0.2963
 -10.500  -0.2048   0.11949   0.11110  -0.0222   0.4010   0.2976
 -10.250  -0.1602   0.11514   0.10660  -0.0247   0.3955   0.2997
 -10.000  -0.1209   0.11217   0.10347  -0.0283   0.3908   0.3037
  -9.750  -0.1020   0.11023   0.10153  -0.0296   0.3878   0.3093
  -9.500  -0.1473   0.11201   0.10330  -0.0318   0.3893   0.3185
  -9.250  -0.1029   0.10746   0.09875  -0.0332   0.3839   0.3199
  -9.000  -0.0658   0.10425   0.09550  -0.0348   0.3788   0.3221
  -8.750  -0.0362   0.10195   0.09313  -0.0366   0.3751   0.3253
  -8.500  -0.0121   0.10019   0.09128  -0.0387   0.3717   0.3300
  -8.250  -0.0700   0.10304   0.09423  -0.0395   0.3742   0.3404
  -8.000  -0.0225   0.09889   0.08995  -0.0424   0.3700   0.3414
  -7.750   0.0163   0.09581   0.08687  -0.0442   0.3676   0.3428
  -7.500   0.0472   0.09346   0.08457  -0.0451   0.3652   0.3450
  -7.250   0.0727   0.09170   0.08286  -0.0460   0.3635   0.3478
  -7.000   0.0928   0.09028   0.08148  -0.0469   0.3613   0.3512
  -6.750   0.0335   0.09301   0.08428  -0.0467   0.3629   0.3629
  -6.500   0.0722   0.08965   0.08095  -0.0478   0.3605   0.3638
  -6.250   0.1079   0.08707   0.07841  -0.0486   0.3584   0.3651
  -6.000   0.1377   0.08517   0.07654  -0.0492   0.3564   0.3670
  -5.750   0.1622   0.08377   0.07517  -0.0494   0.3545   0.3694
  -5.500   0.1824   0.08266   0.07404  -0.0495   0.3523   0.3736
  -5.250   0.1233   0.08460   0.07614  -0.0468   0.3539   0.3860
  -5.000   0.1592   0.08209   0.07359  -0.0474   0.3510   0.3870
  -4.750   0.1892   0.08049   0.07198  -0.0476   0.3489   0.3883
  -4.500   0.2146   0.07965   0.07118  -0.0474   0.3474   0.3902
  -4.250   0.2342   0.07870   0.07035  -0.0464   0.3466   0.3930
  -4.000   0.1538   0.08079   0.07256  -0.0405   0.3483   0.4084
  -3.750   0.1916   0.07895   0.07079  -0.0408   0.3470   0.4093
  -3.500   0.2229   0.07737   0.06935  -0.0402   0.3463   0.4107
  -3.250   0.2477   0.07638   0.06852  -0.0391   0.3455   0.4126
  -3.000   0.2666   0.07573   0.06803  -0.0375   0.3445   0.4155
  -2.750   0.1886   0.07708   0.06945  -0.0303   0.3459   0.4316
  -2.500   0.2224   0.07553   0.06808  -0.0300   0.3445   0.4325
  -2.250   0.2483   0.07468   0.06741  -0.0289   0.3428   0.4340
  -2.000   0.2673   0.07439   0.06728  -0.0273   0.3424   0.4360
  -1.750   0.2810   0.07444   0.06749  -0.0254   0.3427   0.4392
  -1.500   0.2840   0.07465   0.06785  -0.0228   0.3429   0.4448
  -1.250   0.2372   0.07452   0.06782  -0.0168   0.3435   0.4562
  -1.000   0.2584   0.07466   0.06812  -0.0156   0.3438   0.4583
