  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.4915   0.10425   0.09724  -0.0166   0.3178   0.1620
 -12.750  -0.4686   0.10374   0.09671  -0.0171   0.3148   0.1637
 -12.500  -0.4861   0.09787   0.09077  -0.0213   0.3142   0.1748
 -12.250  -0.4599   0.09771   0.09058  -0.0216   0.3111   0.1757
 -12.000  -0.4346   0.09736   0.09018  -0.0221   0.3078   0.1769
 -11.500  -0.4401   0.09002   0.08272  -0.0279   0.3056   0.1896
 -11.250  -0.4149   0.08951   0.08214  -0.0284   0.3027   0.1903
 -11.000  -0.3858   0.08929   0.08184  -0.0291   0.2999   0.1911
 -10.750  -0.3587   0.08905   0.08156  -0.0294   0.2975   0.1922
 -10.500  -0.3361   0.08836   0.08086  -0.0297   0.2956   0.1934
 -10.000  -0.3510   0.08026   0.07267  -0.0364   0.2940   0.2056
  -9.750  -0.3248   0.07990   0.07228  -0.0363   0.2912   0.2063
  -9.500  -0.2950   0.07996   0.07232  -0.0360   0.2887   0.2072
  -9.250  -0.2687   0.07955   0.07188  -0.0361   0.2862   0.2081
  -9.000  -0.2447   0.07883   0.07111  -0.0365   0.2840   0.2092
  -8.750  -0.2209   0.07809   0.07031  -0.0370   0.2821   0.2108
  -8.500  -0.2046   0.07632   0.06848  -0.0384   0.2806   0.2123
  -8.250  -0.2834   0.06442   0.05656  -0.0485   0.2828   0.2217
  -8.000  -0.2666   0.06277   0.05485  -0.0492   0.2811   0.2222
  -7.750  -0.2495   0.06114   0.05316  -0.0502   0.2794   0.2227
  -7.500  -0.2346   0.05963   0.05165  -0.0505   0.2781   0.2232
  -7.250  -0.2202   0.05812   0.05014  -0.0509   0.2766   0.2237
  -7.000  -0.2076   0.05648   0.04850  -0.0514   0.2753   0.2242
  -6.750  -0.1932   0.05516   0.04718  -0.0516   0.2737   0.2249
  -6.500  -0.1804   0.05381   0.04583  -0.0517   0.2721   0.2258
  -6.250  -0.3642   0.03787   0.02953  -0.0495   0.2770   0.2302
  -6.000  -0.3699   0.03588   0.02739  -0.0465   0.2761   0.2315
  -5.750  -0.3710   0.03401   0.02535  -0.0436   0.2750   0.2322
  -5.500  -0.3651   0.03257   0.02376  -0.0411   0.2736   0.2328
  -5.250  -0.3549   0.03139   0.02244  -0.0389   0.2720   0.2331
  -5.000  -0.3418   0.03041   0.02133  -0.0368   0.2702   0.2335
  -4.750  -0.3269   0.02954   0.02033  -0.0349   0.2685   0.2339
  -4.500  -0.3103   0.02878   0.01945  -0.0331   0.2668   0.2342
  -4.250  -0.2926   0.02811   0.01865  -0.0314   0.2652   0.2346
  -4.000  -0.2740   0.02750   0.01792  -0.0297   0.2637   0.2349
  -3.750  -0.2544   0.02700   0.01729  -0.0282   0.2623   0.2351
  -3.500  -0.2340   0.02658   0.01675  -0.0267   0.2610   0.2354
  -3.250  -0.2130   0.02619   0.01626  -0.0253   0.2597   0.2357
  -3.000  -0.1916   0.02579   0.01581  -0.0239   0.2586   0.2360
  -2.750  -0.1696   0.02545   0.01542  -0.0225   0.2573   0.2362
  -2.500  -0.1473   0.02515   0.01507  -0.0212   0.2559   0.2365
  -2.250  -0.1247   0.02486   0.01474  -0.0199   0.2544   0.2367
  -2.000  -0.1019   0.02459   0.01441  -0.0186   0.2526   0.2370
  -1.750  -0.0787   0.02435   0.01412  -0.0174   0.2511   0.2372
  -1.500  -0.0554   0.02412   0.01383  -0.0162   0.2495   0.2375
  -1.250  -0.0319   0.02389   0.01353  -0.0149   0.2479   0.2378
  -1.000  -0.0082   0.02365   0.01322  -0.0137   0.2463   0.2380
  -0.750   0.0157   0.02347   0.01297  -0.0126   0.2449   0.2383
  -0.500   0.0397   0.02331   0.01274  -0.0114   0.2436   0.2386
  -0.250   0.0641   0.02327   0.01262  -0.0104   0.2425   0.2388
   0.000   0.0884   0.02315   0.01250  -0.0093   0.2412   0.2393
   0.250   0.1126   0.02302   0.01241  -0.0082   0.2399   0.2399
   0.500   0.1369   0.02293   0.01236  -0.0071   0.2385   0.2405
   0.750   0.1614   0.02292   0.01241  -0.0061   0.2371   0.2413
   1.000   0.1859   0.02294   0.01246  -0.0050   0.2358   0.2419
   1.250   0.2104   0.02295   0.01250  -0.0040   0.2345   0.2424
   1.500   0.2350   0.02294   0.01252  -0.0030   0.2331   0.2429
   1.750   0.2597   0.02292   0.01250  -0.0019   0.2316   0.2435
   2.000   0.2844   0.02290   0.01249  -0.0009   0.2304   0.2442
   2.250   0.3093   0.02289   0.01248   0.0001   0.2292   0.2447
   2.500   0.3342   0.02288   0.01248   0.0011   0.2282   0.2454
   2.750   0.3592   0.02287   0.01245   0.0021   0.2271   0.2463
   3.000   0.3842   0.02289   0.01246   0.0030   0.2261   0.2471
   3.250   0.4094   0.02291   0.01245   0.0039   0.2249   0.2480
