  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.500  -0.9223   0.10982   0.10651   0.0006   1.0000   0.1279
 -16.250  -1.4953   0.03343   0.02915  -0.0456   1.0000   0.1465
 -16.000  -1.4985   0.03009   0.02606  -0.0494   1.0000   0.1792
 -15.750  -1.5033   0.02773   0.02348  -0.0495   1.0000   0.1866
 -15.500  -1.4995   0.02645   0.02204  -0.0485   1.0000   0.1901
 -15.250  -1.4573   0.02808   0.02386  -0.0482   1.0000   0.1939
 -15.000  -1.4255   0.02890   0.02474  -0.0476   1.0000   0.1964
 -14.750  -1.3913   0.03005   0.02594  -0.0470   1.0000   0.1997
 -14.500  -1.3824   0.02964   0.02545  -0.0454   1.0000   0.2016
 -14.250  -1.3786   0.02938   0.02509  -0.0426   1.0000   0.2034
 -14.000  -1.3684   0.02953   0.02517  -0.0399   1.0000   0.2043
 -13.750  -1.3568   0.02905   0.02472  -0.0375   1.0000   0.2065
 -12.750  -0.6368   0.09141   0.08612  -0.0175   0.3219   0.1897
 -12.500  -0.6152   0.09103   0.08572  -0.0172   0.3191   0.1902
 -12.250  -0.5890   0.09135   0.08601  -0.0167   0.3158   0.1907
 -12.000  -0.5652   0.09123   0.08585  -0.0164   0.3132   0.1912
 -11.750  -0.5413   0.09096   0.08554  -0.0163   0.3099   0.1917
 -11.500  -0.5097   0.09158   0.08610  -0.0162   0.3051   0.1923
 -11.250  -0.4882   0.09112   0.08563  -0.0160   0.3040   0.1929
 -11.000  -0.4577   0.09197   0.08648  -0.0150   0.3019   0.1939
 -10.750  -0.5099   0.08203   0.07650  -0.0224   0.3028   0.2054
 -10.500  -0.4758   0.08332   0.07779  -0.0209   0.3004   0.2060
 -10.250  -0.4487   0.08337   0.07782  -0.0203   0.2978   0.2065
 -10.000  -0.4188   0.08390   0.07832  -0.0194   0.2947   0.2071
  -9.750  -0.3844   0.08491   0.07930  -0.0183   0.2917   0.2079
  -9.500  -0.3634   0.08393   0.07827  -0.0186   0.2893   0.2087
  -9.250  -0.3798   0.08021   0.07455  -0.0230   0.2885   0.2219
  -9.000  -0.3343   0.08158   0.07587  -0.0222   0.2843   0.2227
  -8.750  -0.3080   0.08127   0.07555  -0.0213   0.2828   0.2233
  -8.500  -0.2708   0.08226   0.07655  -0.0196   0.2806   0.2245
  -8.250  -0.2490   0.08122   0.07548  -0.0198   0.2789   0.2255
  -8.000  -0.2278   0.08027   0.07452  -0.0198   0.2763   0.2270
  -7.750  -0.3918   0.05202   0.04620  -0.0514   0.2826   0.2392
  -7.500  -0.5235   0.03425   0.02785  -0.0533   0.2855   0.2323
  -7.250  -0.5245   0.03172   0.02512  -0.0513   0.2844   0.2329
  -7.000  -0.5129   0.03059   0.02387  -0.0494   0.2834   0.2339
  -6.750  -0.4982   0.02960   0.02278  -0.0477   0.2820   0.2345
  -6.500  -0.4805   0.02898   0.02207  -0.0462   0.2803   0.2354
  -6.250  -0.4653   0.02785   0.02083  -0.0445   0.2786   0.2353
  -6.000  -0.4478   0.02697   0.01985  -0.0429   0.2766   0.2355
  -5.750  -0.4277   0.02644   0.01923  -0.0415   0.2748   0.2360
  -5.500  -0.4066   0.02601   0.01872  -0.0401   0.2730   0.2363
  -5.250  -0.3877   0.02523   0.01783  -0.0386   0.2713   0.2363
  -5.000  -0.3670   0.02469   0.01720  -0.0372   0.2697   0.2365
  -4.750  -0.3452   0.02424   0.01665  -0.0360   0.2678   0.2366
  -4.500  -0.3214   0.02394   0.01625  -0.0352   0.2651   0.2367
  -4.250  -0.2993   0.02356   0.01582  -0.0338   0.2644   0.2369
  -4.000  -0.2774   0.02310   0.01530  -0.0325   0.2634   0.2369
  -3.750  -0.2549   0.02269   0.01485  -0.0311   0.2622   0.2370
  -3.500  -0.2323   0.02231   0.01442  -0.0298   0.2607   0.2371
  -3.250  -0.2092   0.02197   0.01403  -0.0286   0.2594   0.2372
  -3.000  -0.1858   0.02169   0.01371  -0.0273   0.2578   0.2373
  -2.750  -0.1631   0.02128   0.01324  -0.0260   0.2561   0.2373
  -2.500  -0.1421   0.02061   0.01248  -0.0245   0.2543   0.2375
  -2.250  -0.1194   0.02013   0.01193  -0.0232   0.2531   0.2377
  -2.000  -0.0966   0.01964   0.01138  -0.0219   0.2519   0.2380
  -1.750  -0.0728   0.01929   0.01097  -0.0208   0.2507   0.2382
  -1.500  -0.0485   0.01898   0.01059  -0.0198   0.2493   0.2385
  -1.250  -0.0229   0.01890   0.01046  -0.0190   0.2476   0.2387
  -1.000   0.0026   0.01882   0.01037  -0.0182   0.2462   0.2390
  -0.750   0.0272   0.01853   0.01006  -0.0171   0.2457   0.2395
  -0.500   0.0524   0.01837   0.00991  -0.0161   0.2450   0.2397
  -0.250   0.0772   0.01815   0.00968  -0.0150   0.2440   0.2399
   0.000   0.1020   0.01796   0.00950  -0.0139   0.2428   0.2403
   0.250   0.1264   0.01772   0.00926  -0.0127   0.2411   0.2407
   0.500   0.1516   0.01762   0.00916  -0.0117   0.2399   0.2412
   0.750   0.1763   0.01746   0.00899  -0.0106   0.2384   0.2416
   1.000   0.2015   0.01737   0.00890  -0.0095   0.2372   0.2419
   1.250   0.2261   0.01721   0.00873  -0.0084   0.2357   0.2426
   1.500   0.2513   0.01715   0.00867  -0.0073   0.2348   0.2430
   1.750   0.2764   0.01711   0.00862  -0.0063   0.2339   0.2435
   2.000   0.3012   0.01707   0.00857  -0.0052   0.2327   0.2441
   2.250   0.3263   0.01711   0.00861  -0.0042   0.2316   0.2450
   2.500   0.3517   0.01727   0.00875  -0.0033   0.2300   0.2453
   2.750   0.3771   0.01757   0.00908  -0.0025   0.2287   0.2460
   3.000   0.4012   0.01748   0.00901  -0.0012   0.2280   0.2471
   3.250   0.4260   0.01758   0.00915  -0.0001   0.2275   0.2478
   3.500   0.4500   0.01758   0.00918   0.0011   0.2267   0.2493
   3.750   0.4742   0.01758   0.00921   0.0024   0.2257   0.2501
   4.000   0.4983   0.01760   0.00926   0.0035   0.2247   0.2509
   4.250   0.5225   0.01771   0.00940   0.0047   0.2238   0.2520
   4.500   0.5465   0.01775   0.00946   0.0059   0.2228   0.2531
