  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 85-L-120/17                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.000  -0.8896   0.11410   0.11257  -0.0035   1.0000   0.0033
 -15.750  -0.8622   0.11613   0.11465  -0.0030   1.0000   0.0034
 -15.500  -1.0333   0.07034   0.06822  -0.0280   1.0000   0.0031
 -15.000  -1.0835   0.05380   0.05122  -0.0375   0.9572   0.0031
 -14.750  -1.0763   0.04995   0.04719  -0.0413   0.9412   0.0031
 -14.500  -1.0895   0.04423   0.04113  -0.0441   0.9284   0.0031
 -14.250  -1.0993   0.03966   0.03629  -0.0455   0.9195   0.0032
 -14.000  -1.0991   0.03637   0.03271  -0.0463   0.9132   0.0031
 -13.750  -1.0715   0.03646   0.03286  -0.0476   0.9085   0.0034
 -13.500  -1.0833   0.03221   0.02822  -0.0468   0.9028   0.0034
 -13.250  -1.0713   0.03066   0.02652  -0.0468   0.8987   0.0034
 -13.000  -1.0401   0.03135   0.02733  -0.0481   0.8954   0.0037
 -12.750  -1.0396   0.02852   0.02419  -0.0469   0.8912   0.0036
 -12.500  -1.0274   0.02693   0.02243  -0.0465   0.8881   0.0037
 -12.250  -1.0033   0.02688   0.02239  -0.0470   0.8858   0.0040
 -12.000  -0.9944   0.02501   0.02030  -0.0458   0.8829   0.0040
 -11.750  -0.9801   0.02375   0.01889  -0.0451   0.8803   0.0041
 -11.500  -0.9552   0.02379   0.01894  -0.0456   0.8781   0.0044
 -11.250  -0.9402   0.02249   0.01745  -0.0448   0.8757   0.0044
 -11.000  -0.9216   0.02158   0.01642  -0.0443   0.8735   0.0046
 -10.750  -0.9049   0.02056   0.01527  -0.0434   0.8713   0.0047
 -10.500  -0.8846   0.02007   0.01472  -0.0429   0.8694   0.0049
 -10.250  -0.8676   0.01909   0.01361  -0.0419   0.8674   0.0050
 -10.000  -0.8484   0.01841   0.01284  -0.0411   0.8654   0.0051
  -9.750  -0.8325   0.01739   0.01169  -0.0398   0.8634   0.0050
