  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 85-L-120/17                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.5175   0.11100   0.10405  -0.0097   1.0000   0.3471
 -10.000  -0.6095   0.08900   0.08240  -0.0370   1.0000   0.1657
  -9.750  -0.6437   0.08203   0.07548  -0.0412   1.0000   0.1530
  -9.500  -0.6846   0.07745   0.07091  -0.0410   1.0000   0.1487
  -9.250  -0.7073   0.07324   0.06663  -0.0390   1.0000   0.1391
  -9.000  -0.7391   0.06999   0.06325  -0.0355   1.0000   0.1344
  -8.750  -0.7545   0.06629   0.05942  -0.0319   1.0000   0.1264
  -8.500  -0.7764   0.06315   0.05603  -0.0270   1.0000   0.1210
  -8.250  -0.7946   0.06083   0.05331  -0.0216   1.0000   0.1157
  -8.000  -0.7964   0.05732   0.04965  -0.0180   1.0000   0.1120
  -7.750  -0.8074   0.05407   0.04595  -0.0129   1.0000   0.1076
  -7.500  -0.8165   0.05206   0.04319  -0.0073   1.0000   0.1031
  -7.250  -0.8078   0.04854   0.03940  -0.0045   1.0000   0.1015
  -7.000  -0.7995   0.04548   0.03597  -0.0015   1.0000   0.1004
  -6.750  -0.7885   0.04275   0.03282   0.0014   1.0000   0.1003
  -6.500  -0.7761   0.04047   0.03005   0.0043   1.0000   0.1022
  -6.250  -0.7578   0.03774   0.02710   0.0060   1.0000   0.1069
  -6.000  -0.7325   0.03534   0.02446   0.0070   1.0000   0.1100
  -5.750  -0.7019   0.03318   0.02194   0.0077   1.0000   0.1159
  -5.500  -0.6680   0.03127   0.01996   0.0075   1.0000   0.1314
  -5.250  -0.6228   0.02906   0.01797   0.0061   1.0000   0.1602
  -5.000  -0.3436   0.03753   0.02865  -0.0053   1.0000   0.8812
  -4.750  -0.2615   0.03624   0.02670  -0.0151   1.0000   0.9259
  -4.500  -0.1865   0.03425   0.02422  -0.0253   1.0000   0.9610
  -4.250  -0.1074   0.03183   0.02134  -0.0374   1.0000   0.9926
  -4.000  -0.0794   0.03074   0.02006  -0.0401   1.0000   1.0000
  -3.750  -0.0745   0.03035   0.01960  -0.0380   1.0000   1.0000
  -3.500  -0.0703   0.03004   0.01920  -0.0357   1.0000   1.0000
  -3.250  -0.0666   0.02977   0.01886  -0.0333   1.0000   1.0000
  -3.000  -0.0629   0.02954   0.01856  -0.0308   1.0000   1.0000
  -2.750  -0.0590   0.02933   0.01828  -0.0282   1.0000   1.0000
  -2.500  -0.0548   0.02913   0.01800  -0.0256   1.0000   1.0000
  -2.250  -0.0503   0.02895   0.01777  -0.0230   1.0000   1.0000
  -2.000  -0.0454   0.02879   0.01755  -0.0205   1.0000   1.0000
  -1.750  -0.0404   0.02865   0.01737  -0.0179   1.0000   1.0000
  -1.500  -0.0350   0.02853   0.01720  -0.0153   1.0000   1.0000
  -1.250  -0.0295   0.02842   0.01707  -0.0128   1.0000   1.0000
  -1.000  -0.0238   0.02833   0.01695  -0.0102   1.0000   1.0000
  -0.750  -0.0180   0.02826   0.01686  -0.0076   1.0000   1.0000
  -0.500  -0.0120   0.02822   0.01679  -0.0051   1.0000   1.0000
  -0.250  -0.0060   0.02819   0.01674  -0.0025   1.0000   1.0000
   0.000   0.0000   0.02818   0.01674   0.0000   1.0000   1.0000
   0.250   0.0061   0.02819   0.01675   0.0026   1.0000   1.0000
   0.500   0.0121   0.02822   0.01679   0.0051   1.0000   1.0000
   0.750   0.0181   0.02826   0.01685   0.0077   1.0000   1.0000
   1.000   0.0239   0.02833   0.01695   0.0102   1.0000   1.0000
   1.250   0.0296   0.02842   0.01706   0.0128   1.0000   1.0000
   1.500   0.0351   0.02852   0.01719   0.0153   1.0000   1.0000
   1.750   0.0404   0.02864   0.01735   0.0179   1.0000   1.0000
   2.000   0.0455   0.02878   0.01754   0.0205   1.0000   1.0000
   2.250   0.0503   0.02894   0.01777   0.0230   1.0000   1.0000
   2.500   0.0549   0.02912   0.01799   0.0256   1.0000   1.0000
   2.750   0.0591   0.02931   0.01826   0.0282   1.0000   1.0000
   3.000   0.0629   0.02952   0.01853   0.0308   1.0000   1.0000
   3.250   0.0667   0.02975   0.01884   0.0333   1.0000   1.0000
   3.500   0.0704   0.03002   0.01918   0.0358   1.0000   1.0000
   3.750   0.0745   0.03033   0.01956   0.0381   1.0000   1.0000
   4.000   0.0794   0.03071   0.02003   0.0401   1.0000   1.0000
   4.250   0.1051   0.03174   0.02127   0.0379   0.9935   1.0000
   4.500   0.1865   0.03423   0.02419   0.0253   0.9611   1.0000
   4.750   0.2619   0.03620   0.02665   0.0150   0.9254   1.0000
   5.000   0.3432   0.03752   0.02863   0.0053   0.8815   1.0000
   5.250   0.6233   0.02915   0.01805  -0.0060   0.1570   1.0000
   5.500   0.6664   0.03122   0.01991  -0.0072   0.1304   1.0000
   5.750   0.7017   0.03320   0.02201  -0.0075   0.1149   1.0000
   6.000   0.7330   0.03545   0.02456  -0.0070   0.1090   1.0000
   6.250   0.7587   0.03800   0.02723  -0.0063   0.1050   1.0000
   6.500   0.7762   0.04051   0.03009  -0.0043   0.1022   1.0000
   6.750   0.7886   0.04283   0.03292  -0.0014   0.1003   1.0000
   7.000   0.7988   0.04558   0.03611   0.0017   0.0999   1.0000
   7.250   0.8075   0.04856   0.03943   0.0046   0.1014   1.0000
   7.500   0.8159   0.05197   0.04311   0.0074   0.1030   1.0000
   7.750   0.8067   0.05420   0.04604   0.0131   0.1076   1.0000
   8.000   0.7959   0.05735   0.04968   0.0181   0.1117   1.0000
   8.250   0.7933   0.06083   0.05333   0.0218   0.1155   1.0000
   8.500   0.7753   0.06325   0.05614   0.0272   0.1211   1.0000
   8.750   0.7529   0.06647   0.05960   0.0321   0.1265   1.0000
   9.000   0.7375   0.07009   0.06335   0.0356   0.1346   1.0000
   9.250   0.7061   0.07340   0.06679   0.0390   0.1394   1.0000
   9.500   0.6846   0.07747   0.07092   0.0410   0.1487   1.0000
   9.750   0.6427   0.08232   0.07576   0.0411   0.1538   1.0000
  10.000   0.6050   0.08992   0.08329   0.0363   0.1676   1.0000
  10.250   0.5079   0.07830   0.07214   0.0441   0.1467   1.0000
  10.500   0.5162   0.11450   0.10749   0.0096   0.3338   1.0000
