  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-K-130/15                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.2924   0.09278   0.08940  -0.0661   0.8866   0.0489
  -9.000  -0.2943   0.08872   0.08535  -0.0704   0.8852   0.0508
  -8.750  -0.2996   0.08216   0.07878  -0.0830   0.8837   0.0524
  -8.500  -0.3131   0.07808   0.07456  -0.0882   0.8814   0.0529
  -8.250  -0.3188   0.07512   0.07140  -0.0898   0.8790   0.0532
  -8.000  -0.3250   0.06860   0.06484  -0.0905   0.8773   0.0541
  -7.750  -0.3134   0.06556   0.06188  -0.0900   0.8754   0.0553
  -7.500  -0.3063   0.06343   0.05973  -0.0888   0.8733   0.0565
  -7.250  -0.3022   0.06143   0.05764  -0.0873   0.8713   0.0580
  -7.000  -0.2940   0.05865   0.05474  -0.0879   0.8683   0.0604
  -6.750  -0.2971   0.05835   0.05378  -0.0852   0.8644   0.0665
  -6.500  -0.2994   0.05299   0.04832  -0.0833   0.8615   0.0680
  -6.250  -0.2864   0.05053   0.04592  -0.0821   0.8591   0.0697
  -6.000  -0.2762   0.04898   0.04432  -0.0805   0.8559   0.0721
  -5.750  -0.2730   0.05079   0.04549  -0.0759   0.8505   0.0806
  -5.500  -0.2659   0.04544   0.04027  -0.0748   0.8476   0.0836
  -5.250  -0.2479   0.04415   0.03895  -0.0735   0.8453   0.0892
  -5.000  -0.2512   0.03785   0.03144  -0.0654   0.8385   0.0520
  -4.750  -0.2361   0.03493   0.02818  -0.0630   0.8351   0.0493
  -4.500  -0.2123   0.03275   0.02557  -0.0614   0.8329   0.0484
  -4.250  -0.2033   0.03183   0.02441  -0.0585   0.8261   0.0492
  -4.000  -0.1799   0.03113   0.02342  -0.0573   0.8226   0.0519
  -3.750  -0.1507   0.03036   0.02236  -0.0568   0.8204   0.0532
  -3.500  -0.1342   0.02885   0.02072  -0.0552   0.8144   0.0550
  -3.250  -0.1119   0.02821   0.02010  -0.0545   0.8103   0.0590
  -3.000  -0.0830   0.02770   0.01949  -0.0544   0.8078   0.0634
  -2.750  -0.0522   0.02726   0.01894  -0.0542   0.8060   0.0667
  -2.500  -0.0448   0.02676   0.01852  -0.0515   0.7976   0.0711
  -2.250  -0.0185   0.02645   0.01819  -0.0510   0.7946   0.0788
  -2.000   0.0084   0.02591   0.01768  -0.0504   0.7926   0.0884
  -1.500   0.1889   0.02351   0.01834  -0.0739   0.7936   0.9652
  -1.250   0.3366   0.02336   0.01791  -0.0978   0.7959   1.0000
  -1.000   0.3568   0.02337   0.01782  -0.0963   0.7931   1.0000
  -0.750   0.3742   0.02372   0.01811  -0.0954   0.7866   1.0000
  -0.500   0.3938   0.02384   0.01815  -0.0943   0.7819   1.0000
  -0.250   0.4157   0.02378   0.01801  -0.0929   0.7792   1.0000
   0.000   0.4321   0.02415   0.01834  -0.0918   0.7721   1.0000
   0.250   0.4529   0.02419   0.01832  -0.0906   0.7676   1.0000
   0.500   0.4763   0.02406   0.01813  -0.0893   0.7652   1.0000
   0.750   0.5000   0.02390   0.01792  -0.0880   0.7635   1.0000
   1.000   0.5138   0.02444   0.01845  -0.0870   0.7536   1.0000
   1.250   0.5387   0.02421   0.01819  -0.0859   0.7514   1.0000
   1.500   0.5637   0.02395   0.01789  -0.0848   0.7497   1.0000
   1.750   0.5771   0.02448   0.01843  -0.0835   0.7397   1.0000
   2.000   0.6032   0.02416   0.01809  -0.0826   0.7377   1.0000
   2.250   0.6295   0.02379   0.01771  -0.0816   0.7361   1.0000
   2.500   0.6428   0.02431   0.01825  -0.0802   0.7259   1.0000
   2.750   0.6701   0.02387   0.01780  -0.0794   0.7241   1.0000
   3.000   0.6972   0.02341   0.01736  -0.0785   0.7225   1.0000
   3.250   0.7105   0.02397   0.01795  -0.0771   0.7123   1.0000
   3.500   0.7388   0.02341   0.01742  -0.0764   0.7106   1.0000
   3.750   0.7667   0.02284   0.01687  -0.0756   0.7090   1.0000
   4.000   0.7812   0.02330   0.01739  -0.0742   0.6989   1.0000
   4.250   0.8104   0.02259   0.01672  -0.0735   0.6971   1.0000
   4.500   0.8387   0.02189   0.01607  -0.0728   0.6950   1.0000
   4.750   0.8563   0.02206   0.01630  -0.0714   0.6855   1.0000
   5.000   0.8878   0.02094   0.01525  -0.0708   0.6839   1.0000
   5.250   0.9196   0.01971   0.01407  -0.0701   0.6827   1.0000
   5.500   0.9387   0.01973   0.01418  -0.0689   0.6726   1.0000
   5.750   0.9713   0.01844   0.01297  -0.0683   0.6702   1.0000
   6.000   0.9957   0.01787   0.01248  -0.0672   0.6606   1.0000
   6.250   1.0298   0.01638   0.01102  -0.0665   0.6548   1.0000
   6.500   1.0543   0.01591   0.01061  -0.0654   0.6416   1.0000
   6.750   1.0803   0.01537   0.01010  -0.0644   0.6269   1.0000
   7.000   1.1024   0.01521   0.00997  -0.0631   0.6062   1.0000
   7.250   1.1257   0.01497   0.00966  -0.0617   0.5825   1.0000
   7.500   1.1444   0.01513   0.00975  -0.0600   0.5541   1.0000
   7.750   1.1589   0.01556   0.01010  -0.0578   0.5217   1.0000
   8.000   1.1688   0.01617   0.01060  -0.0551   0.4849   1.0000
   8.250   1.1720   0.01703   0.01129  -0.0514   0.4455   1.0000
   8.500   1.1663   0.01812   0.01217  -0.0465   0.4093   1.0000
   8.750   1.1535   0.01914   0.01302  -0.0402   0.3775   1.0000
   9.000   1.1428   0.02032   0.01400  -0.0346   0.3407   1.0000
   9.250   1.1329   0.02168   0.01514  -0.0295   0.3007   1.0000
   9.500   1.1230   0.02323   0.01642  -0.0248   0.2572   1.0000
   9.750   1.1132   0.02496   0.01786  -0.0204   0.2122   1.0000
  10.000   1.1041   0.02684   0.01944  -0.0163   0.1672   1.0000
  10.250   1.0962   0.02883   0.02113  -0.0126   0.1264   1.0000
  10.500   1.0899   0.03087   0.02292  -0.0093   0.0976   1.0000
  10.750   1.0873   0.03278   0.02472  -0.0065   0.0791   1.0000
  11.000   1.0856   0.03470   0.02661  -0.0039   0.0684   1.0000
  11.250   1.0869   0.03650   0.02839  -0.0017   0.0607   1.0000
  11.500   1.0898   0.03826   0.03021   0.0003   0.0550   1.0000
  11.750   1.0948   0.03992   0.03189   0.0020   0.0502   1.0000
  12.000   1.0961   0.04194   0.03388   0.0041   0.0466   1.0000
  12.250   1.1053   0.04336   0.03543   0.0056   0.0438   1.0000
  12.500   1.1137   0.04487   0.03700   0.0069   0.0409   1.0000
  12.750   1.1211   0.04651   0.03862   0.0084   0.0382   1.0000
  13.000   1.1342   0.04793   0.04010   0.0100   0.0358   1.0000
  13.250   1.1471   0.04933   0.04167   0.0113   0.0342   1.0000
  13.500   1.1588   0.05086   0.04333   0.0125   0.0324   1.0000
  13.750   1.1675   0.05255   0.04510   0.0135   0.0306   1.0000
  14.000   1.1788   0.05429   0.04685   0.0146   0.0287   1.0000
  14.250   1.1953   0.05694   0.04973   0.0159   0.0273   1.0000
  14.500   1.1982   0.05935   0.05238   0.0172   0.0267   1.0000
  14.750   1.1993   0.06210   0.05539   0.0184   0.0261   1.0000
  15.000   1.1970   0.06512   0.05866   0.0196   0.0255   1.0000
  15.250   1.1923   0.06835   0.06212   0.0205   0.0248   1.0000
  15.500   1.1863   0.07173   0.06571   0.0211   0.0241   1.0000
  15.750   1.1799   0.07520   0.06936   0.0214   0.0234   1.0000
  16.000   1.1736   0.07876   0.07309   0.0215   0.0228   1.0000
  16.250   1.1634   0.08298   0.07751   0.0213   0.0225   1.0000
  16.500   1.1499   0.08790   0.08264   0.0208   0.0223   1.0000
  16.750   1.1337   0.09338   0.08835   0.0197   0.0223   1.0000
  17.000   1.1145   0.09962   0.09482   0.0180   0.0223   1.0000
  17.250   1.0882   0.10745   0.10292   0.0150   0.0225   1.0000
  17.500   1.0530   0.11764   0.11340   0.0101   0.0231   1.0000
  17.750   1.0158   0.12938   0.12541   0.0037   0.0238   1.0000
  18.000   0.9741   0.14386   0.14011  -0.0050   0.0251   1.0000
  18.250   0.9368   0.15904   0.15539  -0.0138   0.0267   1.0000
  18.500   0.9161   0.17011   0.16644  -0.0191   0.0276   1.0000
