  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-K-132/15                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.4599   0.10893   0.10669  -0.0086   0.7706   0.0039
 -10.250  -0.4635   0.10337   0.10114  -0.0112   0.7701   0.0040
  -8.750  -0.6777   0.02732   0.02349  -0.0342   0.7653   0.0043
  -8.500  -0.6669   0.02404   0.01978  -0.0323   0.7645   0.0043
  -8.250  -0.6497   0.02192   0.01735  -0.0311   0.7636   0.0043
  -8.000  -0.6289   0.02046   0.01565  -0.0303   0.7628   0.0044
  -7.750  -0.6062   0.01934   0.01435  -0.0298   0.7620   0.0044
  -7.500  -0.5823   0.01844   0.01330  -0.0293   0.7612   0.0045
  -7.250  -0.5579   0.01761   0.01232  -0.0290   0.7603   0.0046
  -7.000  -0.5355   0.01624   0.01073  -0.0283   0.7594   0.0047
  -6.750  -0.5117   0.01520   0.00952  -0.0277   0.7586   0.0047
  -6.500  -0.4869   0.01437   0.00855  -0.0273   0.7578   0.0048
  -6.250  -0.4613   0.01372   0.00781  -0.0271   0.7570   0.0050
  -6.000  -0.4352   0.01320   0.00722  -0.0269   0.7562   0.0051
  -5.750  -0.4087   0.01275   0.00671  -0.0268   0.7555   0.0053
  -5.500  -0.3819   0.01234   0.00624  -0.0267   0.7547   0.0055
  -5.250  -0.3550   0.01197   0.00581  -0.0267   0.7539   0.0058
  -5.000  -0.3280   0.01163   0.00542  -0.0267   0.7530   0.0061
  -4.750  -0.3005   0.01130   0.00506  -0.0267   0.7520   0.0065
  -4.500  -0.2728   0.01102   0.00476  -0.0269   0.7509   0.0068
  -4.250  -0.2454   0.01069   0.00440  -0.0269   0.7497   0.0073
  -4.000  -0.2177   0.01041   0.00410  -0.0270   0.7485   0.0079
  -3.750  -0.1898   0.01018   0.00386  -0.0272   0.7472   0.0086
  -3.500  -0.1619   0.00996   0.00363  -0.0274   0.7458   0.0094
  -3.250  -0.1339   0.00973   0.00337  -0.0275   0.7444   0.0104
  -3.000  -0.1060   0.00951   0.00315  -0.0276   0.7430   0.0122
  -2.750  -0.0779   0.00932   0.00294  -0.0278   0.7417   0.0141
  -2.500  -0.0499   0.00911   0.00274  -0.0279   0.7404   0.0174
  -2.250  -0.0218   0.00893   0.00257  -0.0282   0.7390   0.0224
  -2.000   0.0066   0.00876   0.00246  -0.0285   0.7371   0.0321
  -1.750   0.0350   0.00860   0.00235  -0.0287   0.7351   0.0453
  -1.500   0.0630   0.00839   0.00223  -0.0290   0.7331   0.0691
  -1.250   0.0902   0.00808   0.00210  -0.0291   0.7311   0.1212
  -1.000   0.1170   0.00772   0.00197  -0.0292   0.7291   0.1948
  -0.750   0.1435   0.00736   0.00185  -0.0292   0.7273   0.2762
  -0.500   0.1688   0.00689   0.00176  -0.0290   0.7251   0.3972
  -0.250   0.1936   0.00642   0.00170  -0.0288   0.7221   0.5218
