  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-215                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.5765   0.07821   0.07279  -0.0795   1.0000   0.1237
 -12.750  -0.6388   0.06948   0.06402  -0.0818   1.0000   0.1226
 -12.500  -0.6917   0.06294   0.05740  -0.0846   0.9891   0.1219
 -12.250  -0.7288   0.05567   0.04965  -0.0899   0.9590   0.1222
 -12.000  -0.7507   0.05097   0.04442  -0.0916   0.9402   0.1232
 -11.750  -0.7439   0.04719   0.04029  -0.0935   0.9277   0.1255
 -11.500  -0.6927   0.04567   0.03888  -0.0983   0.9193   0.1301
 -11.250  -0.6710   0.04251   0.03530  -0.1017   0.9100   0.1339
 -11.000  -0.6667   0.04009   0.03228  -0.1017   0.8962   0.1369
 -10.750  -0.6167   0.03807   0.03034  -0.1068   0.8886   0.1421
 -10.500  -0.5912   0.03661   0.02866  -0.1082   0.8774   0.1469
 -10.250  -0.5817   0.03529   0.02685  -0.1071   0.8673   0.1510
 -10.000  -0.5422   0.03388   0.02559  -0.1100   0.8591   0.1567
  -9.750  -0.5157   0.03278   0.02425  -0.1110   0.8518   0.1627
  -9.500  -0.5073   0.03193   0.02321  -0.1086   0.8424   0.1672
  -9.250  -0.4729   0.03101   0.02236  -0.1104   0.8354   0.1741
  -9.000  -0.4602   0.03042   0.02153  -0.1085   0.8283   0.1801
  -8.750  -0.4385   0.02961   0.02080  -0.1079   0.8214   0.1867
  -8.500  -0.4177   0.02907   0.02016  -0.1072   0.8156   0.1945
  -8.250  -0.3945   0.02836   0.01941  -0.1069   0.8104   0.2026
  -8.000  -0.3834   0.02810   0.01920  -0.1043   0.8036   0.2103
  -7.750  -0.3650   0.02753   0.01858  -0.1030   0.7977   0.2194
  -7.500  -0.3423   0.02709   0.01810  -0.1024   0.7930   0.2306
  -7.250  -0.3265   0.02674   0.01786  -0.1007   0.7881   0.2407
  -7.000  -0.3197   0.02665   0.01770  -0.0973   0.7826   0.2517
  -6.750  -0.3000   0.02624   0.01746  -0.0962   0.7775   0.2654
  -6.500  -0.2784   0.02583   0.01711  -0.0953   0.7731   0.2817
  -6.250  -0.2662   0.02568   0.01708  -0.0928   0.7685   0.2977
  -6.000  -0.2622   0.02571   0.01724  -0.0890   0.7631   0.3136
  -5.750  -0.2516   0.02562   0.01731  -0.0863   0.7585   0.3341
  -5.500  -0.2362   0.02544   0.01725  -0.0842   0.7544   0.3612
  -5.250  -0.2159   0.02530   0.01729  -0.0828   0.7508   0.3939
  -5.000  -0.2256   0.02588   0.01806  -0.0767   0.7447   0.4152
  -4.750  -0.2251   0.02632   0.01862  -0.0722   0.7395   0.4440
  -4.500  -0.2104   0.02664   0.01908  -0.0696   0.7354   0.4763
  -4.250  -0.1839   0.02689   0.01938  -0.0688   0.7322   0.5100
  -4.000  -0.1779   0.02764   0.02020  -0.0649   0.7274   0.5328
  -3.750  -0.2035   0.02888   0.02152  -0.0568   0.7201   0.5456
  -3.500  -0.1920   0.02953   0.02220  -0.0539   0.7157   0.5666
  -3.250  -0.1594   0.02987   0.02255  -0.0538   0.7126   0.5898
  -3.000  -0.1168   0.03011   0.02276  -0.0551   0.7102   0.6122
  -2.750  -0.2303   0.03293   0.02573  -0.0356   0.6982   0.6076
  -2.500  -0.2082   0.03340   0.02620  -0.0342   0.6942   0.6271
  -2.250  -0.1620   0.03354   0.02631  -0.0360   0.6917   0.6482
  -2.000  -0.2129   0.03574   0.02861  -0.0256   0.6838   0.6538
  -1.750  -0.2429   0.03746   0.03031  -0.0187   0.6775   0.6652
  -1.500  -0.2157   0.03793   0.03082  -0.0178   0.6734   0.6813
  -1.250  -0.1711   0.03793   0.03079  -0.0188   0.6706   0.6986
  -1.000  -0.1877   0.03948   0.03234  -0.0135   0.6651   0.7107
  -0.750  -0.2156   0.04122   0.03415  -0.0072   0.6588   0.7201
  -0.500  -0.2005   0.04184   0.03475  -0.0052   0.6542   0.7345
  -0.250  -0.1630   0.04194   0.03480  -0.0054   0.6506   0.7515
   0.000  -0.1111   0.04188   0.03469  -0.0070   0.6483   0.7681
   0.250  -0.1819   0.04458   0.03751   0.0030   0.6405   0.7757
   0.500  -0.1782   0.04535   0.03826   0.0060   0.6355   0.7911
   0.750  -0.1464   0.04571   0.03863   0.0065   0.6313   0.8064
   1.000  -0.0938   0.04564   0.03852   0.0054   0.6283   0.8245
   1.250  -0.1447   0.04775   0.04072   0.0129   0.6217   0.8380
   1.500  -0.1428   0.04858   0.04158   0.0159   0.6162   0.8557
   1.750  -0.1143   0.04899   0.04198   0.0163   0.6118   0.8744
   2.000  -0.2043   0.05474   0.04801   0.0215   0.6589   0.8903
   2.250  -0.0812   0.05106   0.04406   0.0163   0.6000   0.9082
   2.500  -0.1191   0.05677   0.05001   0.0147   0.6353   0.9251
   2.750   0.0447   0.05180   0.04468   0.0060   0.5893   0.9321
   3.000   0.0478   0.05483   0.04779   0.0031   0.5805   0.9453
   3.250   0.1025   0.05580   0.04872  -0.0025   0.5740   0.9549
   3.500   0.1886   0.05569   0.04852  -0.0099   0.5702   0.9595
   3.750   0.1908   0.05938   0.05227  -0.0136   0.5600   0.9701
   4.000   0.2517   0.05990   0.05276  -0.0192   0.5541   0.9780
   4.250   0.3295   0.05953   0.05231  -0.0256   0.5512   0.9844
   4.500   0.3277   0.06391   0.05677  -0.0297   0.5396   0.9996
   4.750   0.3144   0.06335   0.05612  -0.0248   0.5358   1.0000
   5.000   0.3314   0.06224   0.05490  -0.0222   0.5330   1.0000
   5.250   0.2802   0.06530   0.05791  -0.0171   0.5235   1.0000
   5.500   0.2965   0.06603   0.05856  -0.0164   0.5184   1.0000
   5.750   0.3387   0.06554   0.05799  -0.0168   0.5151   1.0000
   6.000   0.3091   0.06891   0.06135  -0.0143   0.5052   1.0000
   6.250   0.3314   0.06959   0.06197  -0.0141   0.5001   1.0000
   6.500   0.3738   0.06921   0.06151  -0.0145   0.4970   1.0000
   6.750   0.3441   0.07299   0.06530  -0.0126   0.4867   1.0000
   7.000   0.3717   0.07340   0.06568  -0.0125   0.4818   1.0000
   7.250   0.4155   0.07287   0.06509  -0.0128   0.4790   1.0000
   7.500   0.3785   0.07760   0.06985  -0.0113   0.4687   1.0000
   7.750   0.4100   0.07773   0.06995  -0.0113   0.4638   1.0000
   8.000   0.4570   0.07685   0.06902  -0.0115   0.4612   1.0000
   8.250   0.4160   0.08216   0.07438  -0.0103   0.4500   1.0000
   8.500   0.4517   0.08198   0.07418  -0.0103   0.4458   1.0000
   8.750   0.5009   0.08078   0.07295  -0.0103   0.4434   1.0000
   9.000   0.4550   0.08682   0.07904  -0.0097   0.4314   1.0000
   9.250   0.4952   0.08622   0.07841  -0.0095   0.4278   1.0000
   9.500   0.4731   0.09061   0.08283  -0.0092   0.4181   1.0000
   9.750   0.4949   0.09154   0.08377  -0.0091   0.4129   1.0000
  10.000   0.5387   0.09049   0.08270  -0.0089   0.4099   1.0000
  10.250   0.5039   0.09624   0.08851  -0.0089   0.3992   1.0000
  10.500   0.5373   0.09607   0.08833  -0.0087   0.3946   1.0000
  10.750   0.5810   0.09494   0.08721  -0.0083   0.3922   1.0000
  11.000   0.5365   0.10192   0.09424  -0.0088   0.3805   1.0000
  11.250   0.5742   0.10130   0.09362  -0.0085   0.3767   1.0000
  11.500   0.5534   0.10627   0.09864  -0.0090   0.3676   1.0000
  11.750   0.5717   0.10749   0.09988  -0.0089   0.3619   1.0000
  12.000   0.6177   0.10571   0.09811  -0.0082   0.3587   1.0000
