  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-257                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.250  -1.1189   0.10123   0.09687  -0.0219   1.0000   0.0650
 -19.000  -1.1200   0.09787   0.09348  -0.0231   1.0000   0.0663
 -18.750  -1.1167   0.09512   0.09072  -0.0241   1.0000   0.0677
 -18.500  -1.1129   0.09246   0.08802  -0.0250   1.0000   0.0693
 -18.250  -1.1104   0.08962   0.08515  -0.0260   1.0000   0.0705
 -18.000  -1.1079   0.08685   0.08236  -0.0269   1.0000   0.0722
 -17.500  -1.1023   0.08160   0.07646  -0.0288   0.7804   0.0756
 -17.250  -1.0965   0.07934   0.07408  -0.0295   0.7568   0.0772
 -17.000  -1.0925   0.07684   0.07149  -0.0302   0.7386   0.0789
 -16.750  -1.0917   0.07398   0.06856  -0.0310   0.7234   0.0810
 -16.500  -1.0869   0.07159   0.06611  -0.0317   0.7107   0.0833
 -16.250  -1.0826   0.06915   0.06358  -0.0324   0.6984   0.0854
 -16.000  -1.0793   0.06665   0.06103  -0.0330   0.6887   0.0878
 -15.750  -1.0752   0.06423   0.05858  -0.0336   0.6788   0.0906
 -15.500  -1.0713   0.06180   0.05607  -0.0343   0.6692   0.0932
 -15.250  -1.0658   0.05959   0.05383  -0.0348   0.6616   0.0961
 -15.000  -1.0627   0.05714   0.05135  -0.0353   0.6536   0.0995
 -14.750  -1.0567   0.05500   0.04914  -0.0358   0.6457   0.1028
 -14.500  -1.0517   0.05279   0.04692  -0.0363   0.6406   0.1065
 -14.250  -1.0484   0.05043   0.04453  -0.0367   0.6354   0.1105
 -14.000  -1.0413   0.04846   0.04254  -0.0371   0.6299   0.1147
 -13.750  -1.0375   0.04621   0.04028  -0.0375   0.6245   0.1199
 -13.500  -1.0320   0.04413   0.03818  -0.0378   0.6201   0.1250
 -13.250  -1.0274   0.04202   0.03608  -0.0381   0.6165   0.1315
 -13.000  -1.0242   0.03976   0.03383  -0.0384   0.6126   0.1382
 -12.750  -1.0182   0.03784   0.03191  -0.0386   0.6084   0.1462
 -12.500  -1.0165   0.03552   0.02961  -0.0389   0.6041   0.1547
 -12.000  -1.0046   0.03175   0.02586  -0.0393   0.5961   0.1716
 -11.750  -0.9988   0.02991   0.02405  -0.0394   0.5929   0.1802
 -11.500  -0.9901   0.02829   0.02243  -0.0396   0.5894   0.1877
 -11.250  -0.9826   0.02663   0.02079  -0.0397   0.5860   0.1960
 -11.000  -0.9735   0.02515   0.01931  -0.0397   0.5826   0.2033
 -10.750  -0.9656   0.02362   0.01779  -0.0397   0.5791   0.2115
 -10.250  -0.9479   0.02095   0.01514  -0.0395   0.5736   0.2255
 -10.000  -0.9287   0.01990   0.01408  -0.0406   0.5713   0.2319
  -9.750  -0.9084   0.01865   0.01285  -0.0424   0.5686   0.2396
