  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-480B                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -1.4988   0.12963   0.11843   0.0177   0.9990   0.2206
 -19.500  -1.5380   0.12270   0.11122   0.0209   0.9990   0.2234
 -19.250  -1.5711   0.11678   0.10502   0.0247   0.9990   0.2265
 -19.000  -1.5568   0.11590   0.10422   0.0247   0.9990   0.2282
 -18.750  -1.5516   0.11412   0.10246   0.0257   0.9990   0.2301
 -18.500  -1.5529   0.11174   0.10006   0.0276   0.9990   0.2326
 -18.250  -1.5597   0.10886   0.09709   0.0303   0.9990   0.2348
 -18.000  -1.5718   0.10563   0.09373   0.0340   0.9990   0.2376
 -17.750  -1.5887   0.10219   0.09010   0.0389   0.9990   0.2404
 -17.500  -1.6079   0.09880   0.08646   0.0448   0.9990   0.2429
 -17.250  -1.5998   0.09759   0.08527   0.0468   0.9990   0.2445
 -17.000  -1.5923   0.09647   0.08420   0.0490   0.9990   0.2465
 -16.750  -1.5891   0.09508   0.08279   0.0521   0.9990   0.2483
 -16.500  -1.5885   0.09359   0.08127   0.0558   0.9990   0.2504
 -16.250  -1.5895   0.09209   0.07972   0.0601   0.9990   0.2525
 -16.000  -1.5964   0.09038   0.07791   0.0659   0.9990   0.2554
 -15.750  -1.6079   0.08854   0.07592   0.0729   0.9990   0.2586
 -15.500  -1.6176   0.08694   0.07417   0.0797   0.9990   0.2606
 -15.250  -1.6124   0.08605   0.07326   0.0833   0.9990   0.2630
 -15.000  -1.6003   0.08559   0.07289   0.0854   0.9990   0.2650
 -14.750  -1.5920   0.08505   0.07238   0.0885   0.9990   0.2675
 -14.500  -1.5837   0.08457   0.07191   0.0916   0.9990   0.2703
 -14.250  -1.5750   0.08418   0.07148   0.0945   0.9990   0.2727
 -14.000  -1.5671   0.08384   0.07109   0.0976   0.9990   0.2758
 -13.750  -1.5584   0.08340   0.07052   0.1006   0.9990   0.2797
 -13.500  -1.5249   0.08271   0.06982   0.0977   0.9988   0.2822
 -13.250  -1.4916   0.08234   0.06953   0.0949   0.9988   0.2857
 -13.000  -1.4577   0.08153   0.06873   0.0919   0.9989   0.2889
 -12.750  -1.4244   0.08074   0.06789   0.0890   0.9979   0.2926
 -12.500  -1.3907   0.08007   0.06713   0.0860   0.9954   0.2971
 -12.250  -1.3570   0.07960   0.06651   0.0831   0.9933   0.3011
 -12.000  -1.3216   0.07889   0.06592   0.0797   0.9902   0.3044
 -11.750  -1.2867   0.07822   0.06530   0.0764   0.9873   0.3082
 -11.500  -1.2509   0.07753   0.06460   0.0729   0.9843   0.3118
 -11.250  -1.2180   0.07659   0.06359   0.0701   0.9797   0.3167
 -11.000  -1.1855   0.07564   0.06256   0.0673   0.9743   0.3204
 -10.750  -1.1552   0.07468   0.06165   0.0652   0.9667   0.3244
 -10.500  -1.1264   0.07396   0.06100   0.0633   0.9585   0.3279
 -10.250  -1.0940   0.07328   0.06034   0.0607   0.9521   0.3328
 -10.000  -1.0590   0.07259   0.05960   0.0575   0.9468   0.3384
  -9.750  -1.0214   0.07185   0.05875   0.0536   0.9424   0.3429
  -9.500  -0.9835   0.07119   0.05816   0.0498   0.9376   0.3471
  -9.250  -0.9455   0.07050   0.05755   0.0458   0.9334   0.3520
  -9.000  -0.9059   0.06976   0.05680   0.0415   0.9301   0.3574
  -8.750  -0.8684   0.06908   0.05605   0.0377   0.9253   0.3631
  -8.500  -0.8272   0.06831   0.05526   0.0330   0.9223   0.3680
  -8.250  -0.7895   0.06767   0.05472   0.0291   0.9169   0.3736
  -8.000  -0.7473   0.06686   0.05391   0.0242   0.9140   0.3795
  -7.750  -0.7084   0.06621   0.05321   0.0200   0.9079   0.3858
  -7.500  -0.6647   0.06535   0.05235   0.0147   0.9050   0.3925
  -7.250  -0.6252   0.06473   0.05180   0.0103   0.8987   0.3980
  -7.000  -0.5795   0.06376   0.05082   0.0044   0.8952   0.4057
  -6.750  -0.5384   0.06311   0.05008  -0.0004   0.8887   0.4128
  -6.500  -0.4910   0.06215   0.04920  -0.0068   0.8847   0.4195
  -6.250  -0.4487   0.06147   0.04855  -0.0119   0.8782   0.4269
  -6.000  -0.4032   0.06064   0.04765  -0.0178   0.8729   0.4351
  -5.750  -0.3607   0.06000   0.04702  -0.0230   0.8656   0.4416
  -5.500  -0.3167   0.05922   0.04630  -0.0285   0.8589   0.4510
  -5.250  -0.2765   0.05871   0.04575  -0.0331   0.8500   0.4596
  -5.000  -0.2329   0.05802   0.04505  -0.0385   0.8427   0.4681
  -4.750  -0.1960   0.05771   0.04479  -0.0422   0.8328   0.4771
  -4.500  -0.1540   0.05714   0.04416  -0.0472   0.8258   0.4885
  -4.250  -0.1180   0.05694   0.04405  -0.0507   0.8167   0.4978
  -4.000  -0.0788   0.05656   0.04365  -0.0550   0.8084   0.5086
  -3.750  -0.0420   0.05634   0.04344  -0.0588   0.8002   0.5195
  -3.500  -0.0066   0.05619   0.04335  -0.0621   0.7910   0.5312
  -3.250   0.0319   0.05589   0.04300  -0.0661   0.7830   0.5443
  -3.000   0.0643   0.05595   0.04316  -0.0687   0.7727   0.5576
  -2.750   0.1030   0.05567   0.04283  -0.0728   0.7651   0.5711
  -2.500   0.1357   0.05582   0.04307  -0.0755   0.7559   0.5841
  -2.250   0.1706   0.05575   0.04302  -0.0787   0.7474   0.6008
  -2.000   0.2074   0.05565   0.04292  -0.0823   0.7402   0.6159
  -1.750   0.2399   0.05590   0.04328  -0.0849   0.7314   0.6335
  -1.500   0.2768   0.05594   0.04330  -0.0887   0.7242   0.6503
  -1.250   0.3157   0.05606   0.04347  -0.0929   0.7176   0.6694
  -1.000   0.3507   0.05651   0.04402  -0.0963   0.7090   0.6888
  -0.750   0.3884   0.05671   0.04424  -0.1002   0.7015   0.7096
  -0.500   0.4287   0.05689   0.04443  -0.1049   0.6951   0.7314
  -0.250   0.4650   0.05750   0.04518  -0.1086   0.6866   0.7544
   0.000   0.5061   0.05795   0.04569  -0.1135   0.6796   0.7773
   0.250   0.5532   0.05834   0.04607  -0.1200   0.6735   0.8035
   0.500   0.5981   0.05933   0.04721  -0.1261   0.6661   0.8275
   0.750   0.6532   0.06054   0.04853  -0.1350   0.6584   0.8536
   1.000   0.7176   0.06180   0.04980  -0.1464   0.6527   0.8736
   1.250   0.7782   0.06315   0.05119  -0.1568   0.6464   0.8904
   1.500   0.8347   0.06459   0.05271  -0.1660   0.6390   0.9066
   1.750   0.8899   0.06566   0.05376  -0.1748   0.6323   0.9204
