  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-480B                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -1.6772   0.11894   0.11441   0.1498   0.9990   0.2894
 -19.500  -1.6791   0.11712   0.11258   0.1510   0.9990   0.2931
 -19.250  -1.6796   0.11537   0.11081   0.1522   0.9990   0.2968
 -19.000  -1.6779   0.11376   0.10915   0.1530   0.9990   0.2997
 -18.750  -1.6687   0.11269   0.10801   0.1531   0.9990   0.3020
 -18.500  -1.6635   0.11141   0.10671   0.1537   0.9990   0.3051
 -18.250  -1.6724   0.10905   0.10434   0.1562   0.9990   0.3094
 -18.000  -1.6706   0.10750   0.10278   0.1573   0.9990   0.3131
 -17.750  -1.6638   0.10626   0.10150   0.1579   0.9990   0.3160
 -17.500  -1.6601   0.10476   0.09993   0.1589   0.9990   0.3187
 -17.250  -1.6501   0.10370   0.09882   0.1590   0.9990   0.3208
 -17.000  -1.6496   0.10211   0.09724   0.1607   0.9990   0.3251
 -16.750  -1.6552   0.10001   0.09511   0.1632   0.9990   0.3290
 -16.500  -1.6503   0.09863   0.09372   0.1644   0.9990   0.3326
 -16.250  -1.6407   0.09755   0.09260   0.1648   0.9990   0.3353
 -16.000  -1.6311   0.09641   0.09141   0.1653   0.9990   0.3375
 -15.750  -1.6259   0.09501   0.08996   0.1665   0.9990   0.3407
 -15.500  -1.6260   0.09334   0.08829   0.1687   0.9990   0.3452
 -15.250  -1.6303   0.09133   0.08626   0.1716   0.9990   0.3500
 -15.000  -1.6201   0.09026   0.08516   0.1722   0.9990   0.3528
 -14.750  -1.6079   0.08927   0.08413   0.1726   0.9990   0.3554
 -14.500  -1.5974   0.08812   0.08292   0.1732   0.9990   0.3582
 -14.250  -1.5992   0.08635   0.08115   0.1762   0.9990   0.3632
 -14.000  -1.5996   0.08460   0.07939   0.1789   0.9990   0.3678
 -13.750  -1.5928   0.08328   0.07804   0.1805   0.9990   0.3714
 -13.500  -1.5804   0.08227   0.07700   0.1810   0.9990   0.3749
 -13.250  -1.5677   0.08120   0.07588   0.1816   0.9990   0.3773
 -13.000  -1.5438   0.07775   0.07245   0.1797   0.9931   0.3812
 -12.750  -1.5458   0.07651   0.07119   0.1831   0.9781   0.3867
 -12.500  -1.5382   0.07528   0.06994   0.1850   0.9645   0.3909
 -12.250  -1.5277   0.07431   0.06892   0.1865   0.9520   0.3940
 -12.000  -1.5142   0.07345   0.06798   0.1876   0.9406   0.3970
 -11.750  -1.5076   0.07226   0.06676   0.1900   0.9298   0.4012
 -11.500  -1.5064   0.07074   0.06522   0.1937   0.9202   0.4067
 -11.250  -1.4998   0.06951   0.06395   0.1963   0.9075   0.4118
 -11.000  -1.4864   0.06857   0.06294   0.1976   0.8977   0.4154
 -10.750  -1.7932   0.07245   0.06605   0.2781   0.9648   0.4297
 -10.500  -1.7720   0.07184   0.06544   0.2782   0.9489   0.4346
 -10.250  -1.7481   0.07140   0.06496   0.2777   0.9351   0.4385
 -10.000  -1.7250   0.07087   0.06439   0.2774   0.9198   0.4425
  -9.750  -1.7050   0.07008   0.06361   0.2780   0.9054   0.4485
  -9.500  -1.6825   0.06938   0.06290   0.2778   0.8909   0.4536
  -9.250  -1.6565   0.06881   0.06227   0.2767   0.8740   0.4582
  -9.000  -1.6277   0.06836   0.06177   0.2749   0.8583   0.4616
  -8.750  -1.6028   0.06765   0.06105   0.2741   0.8436   0.4684
  -8.500  -1.5762   0.06700   0.06039   0.2728   0.8278   0.4749
  -8.250  -1.5464   0.06647   0.05982   0.2707   0.8129   0.4804
  -8.000  -1.5144   0.06605   0.05934   0.2679   0.7992   0.4842
  -7.750  -1.4867   0.06529   0.05857   0.2663   0.7834   0.4921
  -7.500  -1.4576   0.06473   0.05801   0.2644   0.7719   0.4976
  -7.250  -1.4242   0.06415   0.05737   0.2613   0.7572   0.5034
  -7.000  -1.3897   0.06371   0.05688   0.2578   0.7467   0.5074
  -6.750  -1.3594   0.06308   0.05628   0.2555   0.7365   0.5147
  -6.500  -1.3232   0.06235   0.05554   0.2516   0.7244   0.5218
  -6.250  -1.2783   0.06146   0.05460   0.2451   0.7128   0.5272
  -6.000  -1.2416   0.06101   0.05413   0.2411   0.7064   0.5323
  -5.750  -1.2059   0.06032   0.05346   0.2372   0.6972   0.5399
  -5.500  -1.1654   0.05959   0.05270   0.2320   0.6857   0.5463
  -5.250  -1.1258   0.05904   0.05212   0.2271   0.6742   0.5517
  -5.000  -1.0896   0.05870   0.05177   0.2233   0.6694   0.5563
  -4.750  -1.0549   0.05818   0.05127   0.2198   0.6602   0.5641
  -4.500  -1.0179   0.05769   0.05076   0.2156   0.6502   0.5712
  -4.250  -0.9799   0.05731   0.05033   0.2112   0.6400   0.5766
  -4.000  -0.9457   0.05708   0.05012   0.2080   0.6349   0.5823
  -3.750  -0.9122   0.05676   0.04984   0.2049   0.6281   0.5893
  -3.500  -0.8770   0.05644   0.04950   0.2013   0.6185   0.5963
  -3.250  -0.8398   0.05616   0.04916   0.1971   0.6067   0.6012
  -3.000  -0.8052   0.05600   0.04901   0.1938   0.6017   0.6063
  -2.750  -0.7719   0.05576   0.04883   0.1908   0.5956   0.6137
  -2.500  -0.7372   0.05556   0.04862   0.1874   0.5874   0.6203
  -2.250  -0.7011   0.05536   0.04837   0.1836   0.5778   0.6259
  -2.000  -0.6651   0.05522   0.04820   0.1799   0.5707   0.6294
  -1.750  -0.6319   0.05505   0.04810   0.1769   0.5648   0.6382
  -1.500  -0.5974   0.05490   0.04797   0.1736   0.5581   0.6451
  -1.250  -0.5619   0.05475   0.04779   0.1701   0.5504   0.6511
  -1.000  -0.5256   0.05461   0.04760   0.1662   0.5407   0.6548
  -0.750  -0.4918   0.05450   0.04755   0.1631   0.5361   0.6631
  -0.500  -0.4571   0.05438   0.04747   0.1598   0.5293   0.6701
  -0.250  -0.4216   0.05427   0.04734   0.1563   0.5226   0.6763
   0.000  -0.3857   0.05415   0.04716   0.1526   0.5143   0.6808
   0.250  -0.3510   0.05406   0.04712   0.1493   0.5077   0.6888
   0.500  -0.3161   0.05397   0.04708   0.1460   0.5019   0.6958
   0.750  -0.2805   0.05389   0.04698   0.1424   0.4942   0.7014
   1.000  -0.2449   0.05377   0.04682   0.1388   0.4869   0.7069
   1.250  -0.2099   0.05370   0.04678   0.1354   0.4811   0.7148
   1.500  -0.1749   0.05363   0.04676   0.1321   0.4755   0.7221
   1.750  -0.1396   0.05353   0.04667   0.1287   0.4697   0.7291
   2.000  -0.1041   0.05342   0.04651   0.1251   0.4620   0.7338
   2.250  -0.0689   0.05337   0.04649   0.1217   0.4540   0.7421
   2.500  -0.0335   0.05332   0.04648   0.1183   0.4494   0.7489
   2.750   0.0018   0.05324   0.04640   0.1148   0.4429   0.7556
   3.000   0.0370   0.05314   0.04626   0.1114   0.4358   0.7619
   3.250   0.0716   0.05308   0.04624   0.1082   0.4279   0.7711
   3.500   0.1068   0.05301   0.04621   0.1048   0.4231   0.7787
   3.750   0.1419   0.05290   0.04609   0.1015   0.4173   0.7847
   4.000   0.1770   0.05287   0.04607   0.0981   0.4092   0.7928
   4.250   0.2120   0.05281   0.04602   0.0948   0.4019   0.8012
   4.500   0.2464   0.05267   0.04590   0.0917   0.3971   0.8090
   4.750   0.2817   0.05267   0.04595   0.0884   0.3909   0.8185
   5.000   0.3159   0.05259   0.04585   0.0852   0.3826   0.8280
   5.250   0.3512   0.05257   0.04586   0.0819   0.3756   0.8370
   5.500   0.3866   0.05256   0.04588   0.0785   0.3700   0.8469
   5.750   0.4228   0.05262   0.04596   0.0749   0.3636   0.8567
   6.000   0.4604   0.05276   0.04611   0.0708   0.3541   0.8671
   6.250   0.5022   0.05316   0.04656   0.0656   0.3470   0.8782
   6.500   0.5472   0.05375   0.04717   0.0596   0.3404   0.8892
   6.750   0.5971   0.05461   0.04806   0.0521   0.3333   0.8984
   7.000   0.6491   0.05554   0.04904   0.0442   0.3275   0.9048
   7.250   0.6996   0.05642   0.04993   0.0366   0.3214   0.9108
   7.500   0.7494   0.05729   0.05076   0.0292   0.3127   0.9145
   7.750   0.7981   0.05805   0.05154   0.0222   0.3080   0.9191
   8.000   0.8459   0.05878   0.05227   0.0155   0.3030   0.9220
   8.250   0.8920   0.05950   0.05291   0.0092   0.2932   0.9247
   8.500   0.9384   0.06013   0.05357   0.0029   0.2899   0.9283
   8.750   0.9824   0.06064   0.05408  -0.0027   0.2851   0.9310
   9.000   1.0256   0.06115   0.05457  -0.0080   0.2809   0.9344
   9.250   1.0660   0.06157   0.05493  -0.0127   0.2737   0.9382
