  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V13006-.7 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.5257   0.08503   0.08170   0.0048   1.0000   0.0375
  -8.250  -0.5248   0.08109   0.07777   0.0042   1.0000   0.0382
  -8.000  -0.5260   0.07698   0.07369   0.0031   1.0000   0.0389
  -7.750  -0.5292   0.07266   0.06939   0.0013   1.0000   0.0395
  -7.500  -0.6255   0.07610   0.07254  -0.0062   1.0000   0.0367
  -7.250  -0.6173   0.07259   0.06903  -0.0060   1.0000   0.0376
  -7.000  -0.6074   0.06886   0.06528  -0.0071   1.0000   0.0386
  -6.750  -0.5959   0.06487   0.06119  -0.0090   1.0000   0.0399
  -6.500  -0.5826   0.06069   0.05689  -0.0111   1.0000   0.0416
  -6.250  -0.5664   0.05639   0.05242  -0.0132   1.0000   0.0441
  -6.000  -0.5405   0.05478   0.05008  -0.0150   1.0000   0.0475
  -5.750  -0.5317   0.04707   0.04241  -0.0161   1.0000   0.0492
  -5.500  -0.5150   0.04412   0.03950  -0.0160   1.0000   0.0514
  -5.250  -0.4624   0.02688   0.02198  -0.0168   1.0000   0.0612
  -5.000  -0.4499   0.02233   0.01761  -0.0170   1.0000   0.0637
  -4.750  -0.4316   0.01996   0.01517  -0.0166   1.0000   0.0677
  -4.500  -0.4123   0.01726   0.01205  -0.0160   1.0000   0.0767
  -4.250  -0.3928   0.01534   0.01013  -0.0155   1.0000   0.0818
  -4.000  -0.3729   0.01334   0.00788  -0.0148   1.0000   0.0925
  -3.750  -0.3525   0.01171   0.00607  -0.0141   1.0000   0.1061
  -3.500  -0.3322   0.01024   0.00449  -0.0134   1.0000   0.1213
  -3.250  -0.3013   0.01947   0.01197  -0.0101   1.0000   0.0450
  -3.000  -0.2754   0.01806   0.01032  -0.0092   1.0000   0.0458
  -2.750  -0.2496   0.01631   0.00841  -0.0083   1.0000   0.0446
  -2.500  -0.2239   0.01498   0.00696  -0.0074   1.0000   0.0443
  -2.250  -0.1986   0.01392   0.00585  -0.0065   1.0000   0.0452
  -2.000  -0.1737   0.01311   0.00500  -0.0056   1.0000   0.0470
  -1.750  -0.1500   0.01205   0.00402  -0.0048   1.0000   0.0530
  -1.500  -0.1252   0.01143   0.00341  -0.0041   1.0000   0.0592
  -1.250  -0.1002   0.01079   0.00281  -0.0034   1.0000   0.0754
  -1.000  -0.0387   0.00736   0.00254  -0.0094   1.0000   1.0000
  -0.750  -0.0182   0.00734   0.00240  -0.0080   1.0000   1.0000
  -0.500   0.0022   0.00733   0.00231  -0.0066   1.0000   1.0000
  -0.250   0.0231   0.00735   0.00225  -0.0053   1.0000   1.0000
   0.000   0.0445   0.00738   0.00223  -0.0041   1.0000   1.0000
   0.250   0.0664   0.00744   0.00226  -0.0031   1.0000   1.0000
   0.500   0.0885   0.00752   0.00232  -0.0022   1.0000   1.0000
   0.750   0.1205   0.00761   0.00240  -0.0034   0.9959   1.0000
   1.000   0.1733   0.00762   0.00244  -0.0088   0.9801   1.0000
   1.250   0.2216   0.00759   0.00245  -0.0129   0.9585   1.0000
   1.500   0.2633   0.00755   0.00245  -0.0154   0.9290   1.0000
   1.750   0.2966   0.00753   0.00242  -0.0159   0.8869   1.0000
   2.000   0.3225   0.00759   0.00239  -0.0147   0.8330   1.0000
   2.250   0.3453   0.00777   0.00241  -0.0128   0.7716   1.0000
   2.500   0.3680   0.00805   0.00246  -0.0112   0.7058   1.0000
   2.750   0.3907   0.00843   0.00255  -0.0097   0.6316   1.0000
   3.000   0.4125   0.00900   0.00265  -0.0082   0.5297   1.0000
   3.250   0.4349   0.00964   0.00281  -0.0072   0.4261   1.0000
   3.500   0.4590   0.01018   0.00303  -0.0065   0.3557   1.0000
   3.750   0.4837   0.01065   0.00329  -0.0061   0.3015   1.0000
   4.000   0.5085   0.01116   0.00357  -0.0057   0.2433   1.0000
   4.250   0.5296   0.01281   0.00422  -0.0051   0.0626   1.0000
   4.500   0.5540   0.01389   0.00528  -0.0044   0.0457   1.0000
   4.750   0.5791   0.01467   0.00616  -0.0037   0.0418   1.0000
   5.000   0.6034   0.01560   0.00713  -0.0031   0.0394   1.0000
   5.250   0.6273   0.01674   0.00828  -0.0023   0.0379   1.0000
   5.500   0.6504   0.01838   0.00995  -0.0015   0.0362   1.0000
   5.750   0.6749   0.01990   0.01157  -0.0008   0.0347   1.0000
   6.000   0.6999   0.02140   0.01324  -0.0001   0.0344   1.0000
   6.250   0.7245   0.02327   0.01532   0.0006   0.0343   1.0000
   6.500   0.7481   0.02568   0.01802   0.0014   0.0346   1.0000
   6.750   0.7703   0.02910   0.02174   0.0022   0.0357   1.0000
   8.250   0.8483   0.06094   0.05692   0.0063   0.0722   1.0000
   8.500   0.8487   0.06809   0.06408   0.0054   0.0701   1.0000
   8.750   0.8136   0.07785   0.07445  -0.0055   0.0662   1.0000
   9.000   0.7987   0.08634   0.08293  -0.0150   0.0656   1.0000
