  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V13006-.7 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.6407   0.12163   0.11453   0.0244   1.0000   0.1056
  -9.250  -0.6531   0.11932   0.11236   0.0185   1.0000   0.1085
  -9.000  -0.6514   0.11484   0.10793   0.0165   1.0000   0.1097
  -8.750  -0.6348   0.10994   0.10298   0.0192   1.0000   0.1129
  -8.500  -0.6300   0.10617   0.09924   0.0182   1.0000   0.1163
  -8.250  -0.6350   0.10276   0.09591   0.0140   1.0000   0.1215
  -8.000  -0.6444   0.09861   0.09187   0.0063   1.0000   0.1243
  -7.750  -0.6288   0.09433   0.08759   0.0102   1.0000   0.1278
  -7.500  -0.6238   0.09040   0.08368   0.0077   1.0000   0.1337
  -7.250  -0.6226   0.08598   0.07928   0.0035   1.0000   0.1412
  -7.000  -0.6141   0.08222   0.07550   0.0023   1.0000   0.1491
  -6.750  -0.5931   0.07068   0.06333  -0.0108   1.0000   0.0655
  -6.500  -0.5808   0.06637   0.05898  -0.0112   1.0000   0.0635
  -6.250  -0.5674   0.06192   0.05438  -0.0125   1.0000   0.0610
  -5.750  -0.5322   0.05253   0.04408  -0.0154   1.0000   0.0522
  -5.500  -0.5143   0.04874   0.04007  -0.0156   1.0000   0.0510
  -5.250  -0.4946   0.04514   0.03612  -0.0157   1.0000   0.0500
  -5.000  -0.4734   0.04176   0.03235  -0.0156   1.0000   0.0491
  -4.750  -0.4509   0.03861   0.02877  -0.0153   1.0000   0.0484
  -4.500  -0.4272   0.03573   0.02545  -0.0148   1.0000   0.0481
  -4.250  -0.4026   0.03322   0.02249  -0.0143   1.0000   0.0491
  -4.000  -0.3770   0.03107   0.01985  -0.0136   1.0000   0.0514
  -3.750  -0.3506   0.02913   0.01740  -0.0128   1.0000   0.0529
  -3.500  -0.3243   0.02714   0.01513  -0.0121   1.0000   0.0537
  -3.250  -0.2984   0.02521   0.01310  -0.0114   1.0000   0.0553
  -3.000  -0.2723   0.02370   0.01149  -0.0106   1.0000   0.0577
  -2.750  -0.2461   0.02253   0.01019  -0.0098   1.0000   0.0637
  -2.500  -0.2198   0.02136   0.00890  -0.0092   1.0000   0.0702
  -2.250  -0.1949   0.02035   0.00778  -0.0083   1.0000   0.0770
  -2.000  -0.1704   0.01944   0.00683  -0.0076   1.0000   0.0927
  -1.750  -0.1458   0.01836   0.00586  -0.0069   1.0000   0.1200
  -1.500  -0.0835   0.01443   0.00502  -0.0115   1.0000   1.0000
  -1.250  -0.0619   0.01436   0.00463  -0.0103   1.0000   1.0000
  -1.000  -0.0403   0.01431   0.00433  -0.0093   1.0000   1.0000
  -0.750  -0.0186   0.01427   0.00411  -0.0082   1.0000   1.0000
  -0.500   0.0030   0.01426   0.00393  -0.0071   1.0000   1.0000
  -0.250   0.0247   0.01426   0.00381  -0.0061   1.0000   1.0000
   0.000   0.0463   0.01429   0.00375  -0.0051   1.0000   1.0000
   0.250   0.0679   0.01433   0.00374  -0.0041   1.0000   1.0000
   0.500   0.0895   0.01440   0.00377  -0.0032   1.0000   1.0000
   0.750   0.1112   0.01449   0.00385  -0.0023   1.0000   1.0000
   1.000   0.1327   0.01461   0.00399  -0.0015   1.0000   1.0000
   1.250   0.1540   0.01476   0.00419  -0.0007   1.0000   1.0000
   1.500   0.1751   0.01495   0.00446   0.0000   1.0000   1.0000
   1.750   0.2184   0.01520   0.00483  -0.0037   0.9799   1.0000
   2.000   0.2745   0.01537   0.00519  -0.0094   0.9401   1.0000
   2.250   0.3223   0.01545   0.00546  -0.0127   0.8861   1.0000
   2.500   0.3620   0.01554   0.00564  -0.0140   0.8232   1.0000
   2.750   0.3929   0.01573   0.00580  -0.0132   0.7553   1.0000
   3.000   0.4181   0.01604   0.00600  -0.0115   0.6865   1.0000
   3.250   0.4410   0.01648   0.00630  -0.0095   0.6188   1.0000
   3.500   0.4636   0.01702   0.00667  -0.0078   0.5553   1.0000
   3.750   0.4865   0.01763   0.00714  -0.0063   0.4988   1.0000
   4.000   0.5100   0.01829   0.00772  -0.0052   0.4509   1.0000
   4.250   0.5327   0.01899   0.00834  -0.0040   0.3986   1.0000
   4.500   0.5525   0.01975   0.00869  -0.0027   0.3136   1.0000
   4.750   0.5744   0.02064   0.00928  -0.0020   0.2203   1.0000
   5.000   0.5965   0.02242   0.01024  -0.0018   0.0968   1.0000
   5.250   0.6195   0.02418   0.01179  -0.0012   0.0731   1.0000
   5.500   0.6422   0.02574   0.01346  -0.0005   0.0638   1.0000
   5.750   0.6654   0.02717   0.01510   0.0004   0.0572   1.0000
   6.000   0.6871   0.02882   0.01677   0.0011   0.0522   1.0000
   6.250   0.7105   0.03055   0.01877   0.0021   0.0497   1.0000
   6.500   0.7339   0.03255   0.02108   0.0031   0.0480   1.0000
   6.750   0.7568   0.03485   0.02377   0.0039   0.0467   1.0000
   7.000   0.7786   0.03747   0.02682   0.0047   0.0457   1.0000
   7.250   0.7985   0.04048   0.03029   0.0054   0.0451   1.0000
   7.500   0.8159   0.04386   0.03418   0.0061   0.0445   1.0000
   7.750   0.8305   0.04741   0.03819   0.0065   0.0436   1.0000
