  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.6013   0.08779   0.08260  -0.0050   1.0000   0.0391
  -8.750  -0.6077   0.08155   0.07639  -0.0103   1.0000   0.0384
  -8.500  -0.6192   0.07485   0.06966  -0.0158   1.0000   0.0376
  -8.250  -0.6280   0.06821   0.06291  -0.0195   1.0000   0.0369
  -8.000  -0.6346   0.06154   0.05602  -0.0220   1.0000   0.0362
  -7.750  -0.6377   0.05506   0.04922  -0.0231   1.0000   0.0357
  -7.500  -0.6350   0.04952   0.04330  -0.0232   1.0000   0.0355
  -7.250  -0.6274   0.04499   0.03840  -0.0226   1.0000   0.0355
  -7.000  -0.6159   0.04125   0.03429  -0.0218   1.0000   0.0358
  -6.750  -0.6016   0.03814   0.03084  -0.0209   1.0000   0.0363
  -6.500  -0.5845   0.03577   0.02817  -0.0199   1.0000   0.0375
  -6.250  -0.5669   0.03322   0.02523  -0.0188   1.0000   0.0390
  -6.000  -0.5483   0.03057   0.02211  -0.0175   1.0000   0.0402
  -5.750  -0.5279   0.02818   0.01925  -0.0163   1.0000   0.0411
  -5.500  -0.5062   0.02616   0.01688  -0.0151   1.0000   0.0420
  -5.250  -0.4842   0.02477   0.01543  -0.0143   1.0000   0.0432
  -5.000  -0.4616   0.02362   0.01418  -0.0133   1.0000   0.0448
  -4.750  -0.4386   0.02261   0.01304  -0.0124   1.0000   0.0476
  -4.500  -0.4151   0.02161   0.01178  -0.0113   1.0000   0.0511
  -4.250  -0.3928   0.02056   0.01082  -0.0104   1.0000   0.0539
  -4.000  -0.3699   0.01970   0.00995  -0.0094   1.0000   0.0574
  -3.750  -0.3469   0.01897   0.00910  -0.0084   1.0000   0.0628
  -3.500  -0.3250   0.01824   0.00849  -0.0074   1.0000   0.0685
  -3.250  -0.3026   0.01766   0.00785  -0.0063   1.0000   0.0756
  -3.000  -0.2812   0.01703   0.00733  -0.0053   1.0000   0.0832
  -2.750  -0.2595   0.01651   0.00682  -0.0042   1.0000   0.0919
  -2.500  -0.2377   0.01609   0.00643  -0.0032   1.0000   0.1016
  -2.250  -0.2161   0.01567   0.00609  -0.0023   1.0000   0.1129
  -2.000  -0.1816   0.01523   0.00571  -0.0039   0.9936   0.1316
  -1.750  -0.1412   0.01460   0.00534  -0.0068   0.9823   0.1746
  -1.500  -0.1090   0.01260   0.00509  -0.0085   0.9710   0.5559
  -1.250  -0.0774   0.01198   0.00527  -0.0077   0.9584   0.7798
  -1.000  -0.0344   0.01191   0.00537  -0.0091   0.9470   0.8831
  -0.750   0.0210   0.01195   0.00537  -0.0136   0.9344   0.9461
  -0.500   0.1099   0.01192   0.00520  -0.0251   0.9233   1.0000
  -0.250   0.1464   0.01180   0.00494  -0.0266   0.8895   1.0000
   0.000   0.1768   0.01172   0.00470  -0.0267   0.8534   1.0000
   0.250   0.2020   0.01170   0.00451  -0.0257   0.8155   1.0000
   0.500   0.2257   0.01173   0.00435  -0.0244   0.7783   1.0000
   0.750   0.2491   0.01179   0.00423  -0.0232   0.7431   1.0000
   1.000   0.2726   0.01187   0.00416  -0.0220   0.7096   1.0000
   1.250   0.2965   0.01198   0.00411  -0.0210   0.6753   1.0000
   1.500   0.3202   0.01212   0.00408  -0.0199   0.6392   1.0000
   1.750   0.3438   0.01230   0.00407  -0.0188   0.6024   1.0000
   2.000   0.3674   0.01251   0.00410  -0.0178   0.5657   1.0000
   2.250   0.3909   0.01275   0.00415  -0.0167   0.5303   1.0000
   2.500   0.4142   0.01302   0.00425  -0.0157   0.4942   1.0000
   2.750   0.4376   0.01331   0.00437  -0.0148   0.4561   1.0000
   3.000   0.4608   0.01365   0.00451  -0.0138   0.4180   1.0000
   3.250   0.4839   0.01402   0.00469  -0.0129   0.3830   1.0000
   3.500   0.5073   0.01441   0.00493  -0.0120   0.3529   1.0000
   3.750   0.5307   0.01482   0.00520  -0.0112   0.3250   1.0000
   4.000   0.5543   0.01524   0.00549  -0.0104   0.2994   1.0000
   4.250   0.5777   0.01569   0.00581  -0.0096   0.2774   1.0000
   4.500   0.6015   0.01612   0.00615  -0.0089   0.2588   1.0000
   4.750   0.6254   0.01656   0.00651  -0.0083   0.2434   1.0000
   5.000   0.6493   0.01701   0.00690  -0.0076   0.2306   1.0000
   5.250   0.6735   0.01744   0.00734  -0.0070   0.2185   1.0000
   5.500   0.6977   0.01789   0.00779  -0.0063   0.2077   1.0000
   5.750   0.7215   0.01838   0.00825  -0.0057   0.1977   1.0000
   6.000   0.7451   0.01890   0.00876  -0.0051   0.1879   1.0000
   6.250   0.7691   0.01940   0.00932  -0.0045   0.1780   1.0000
   6.500   0.7925   0.01999   0.00989  -0.0038   0.1687   1.0000
   6.750   0.8159   0.02056   0.01050  -0.0032   0.1589   1.0000
   7.000   0.8393   0.02116   0.01120  -0.0026   0.1493   1.0000
   7.250   0.8620   0.02180   0.01181  -0.0019   0.1404   1.0000
   7.500   0.8855   0.02236   0.01252  -0.0013   0.1307   1.0000
   7.750   0.9083   0.02300   0.01323  -0.0006   0.1222   1.0000
   8.000   0.9306   0.02361   0.01389   0.0000   0.1147   1.0000
   8.250   0.9531   0.02436   0.01477   0.0007   0.1073   1.0000
