  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.5694   0.09454   0.08954   0.0027   1.0000   0.1151
  -8.250  -0.5734   0.09043   0.08549  -0.0009   1.0000   0.1195
  -8.000  -0.6130   0.08469   0.07963  -0.0154   1.0000   0.1230
  -7.750  -0.5936   0.07960   0.07469  -0.0123   1.0000   0.1255
  -7.500  -0.5784   0.07677   0.07190  -0.0101   1.0000   0.1293
  -7.250  -0.6025   0.07283   0.06748  -0.0189   1.0000   0.1389
  -7.000  -0.5789   0.06770   0.06267  -0.0161   1.0000   0.1416
  -6.750  -0.5653   0.06472   0.05971  -0.0153   1.0000   0.1471
  -6.500  -0.5628   0.06049   0.05528  -0.0174   1.0000   0.1571
  -6.250  -0.5483   0.05766   0.05245  -0.0167   1.0000   0.1650
  -6.000  -0.5384   0.05416   0.04887  -0.0167   1.0000   0.1756
  -5.750  -0.5271   0.05118   0.04581  -0.0164   1.0000   0.1903
  -5.500  -0.5140   0.04860   0.04321  -0.0153   1.0000   0.2076
  -5.250  -0.4879   0.03595   0.02836  -0.0171   1.0000   0.0954
  -5.000  -0.4669   0.03285   0.02500  -0.0158   1.0000   0.0898
  -4.750  -0.4464   0.02986   0.02165  -0.0144   1.0000   0.0870
  -4.500  -0.4247   0.02746   0.01886  -0.0129   1.0000   0.0865
  -4.250  -0.4023   0.02577   0.01686  -0.0116   1.0000   0.0898
  -4.000  -0.3788   0.02420   0.01490  -0.0102   1.0000   0.0925
  -3.750  -0.3551   0.02227   0.01277  -0.0092   1.0000   0.0954
  -3.500  -0.3320   0.02106   0.01161  -0.0083   1.0000   0.1025
  -3.250  -0.3079   0.01985   0.01025  -0.0072   1.0000   0.1099
  -3.000  -0.2848   0.01887   0.00932  -0.0062   1.0000   0.1203
  -2.750  -0.2618   0.01785   0.00841  -0.0053   1.0000   0.1318
  -2.500  -0.2392   0.01699   0.00766  -0.0042   1.0000   0.1456
  -2.250  -0.2173   0.01623   0.00703  -0.0032   1.0000   0.1623
  -2.000  -0.1956   0.01554   0.00646  -0.0021   1.0000   0.1842
  -1.750  -0.1741   0.01461   0.00590  -0.0012   1.0000   0.2277
  -1.500  -0.1095   0.01224   0.00632  -0.0032   1.0000   0.9700
  -1.250  -0.0236   0.01226   0.00599  -0.0142   1.0000   1.0000
  -1.000  -0.0248   0.01224   0.00592  -0.0100   1.0000   1.0000
  -0.750  -0.0254   0.01233   0.00593  -0.0059   1.0000   1.0000
  -0.500  -0.0213   0.01251   0.00603  -0.0027   1.0000   1.0000
  -0.250  -0.0118   0.01278   0.00621  -0.0007   1.0000   1.0000
   0.000   0.0571   0.01299   0.00631  -0.0092   0.9842   1.0000
   0.250   0.1268   0.01299   0.00627  -0.0174   0.9651   1.0000
   0.500   0.1971   0.01277   0.00603  -0.0252   0.9440   1.0000
   0.750   0.2483   0.01255   0.00578  -0.0290   0.9169   1.0000
   1.000   0.2874   0.01238   0.00559  -0.0303   0.8874   1.0000
   1.250   0.3173   0.01230   0.00544  -0.0297   0.8553   1.0000
   1.500   0.3423   0.01228   0.00534  -0.0282   0.8219   1.0000
   1.750   0.3653   0.01232   0.00527  -0.0263   0.7873   1.0000
   2.000   0.3874   0.01241   0.00522  -0.0242   0.7509   1.0000
   2.250   0.4091   0.01254   0.00521  -0.0222   0.7101   1.0000
   2.500   0.4309   0.01271   0.00521  -0.0203   0.6673   1.0000
   2.750   0.4527   0.01294   0.00523  -0.0185   0.6213   1.0000
   3.000   0.4744   0.01326   0.00530  -0.0167   0.5718   1.0000
   3.250   0.4959   0.01369   0.00543  -0.0150   0.5195   1.0000
   3.500   0.5174   0.01423   0.00565  -0.0135   0.4675   1.0000
   3.750   0.5392   0.01484   0.00594  -0.0122   0.4209   1.0000
   4.000   0.5618   0.01547   0.00633  -0.0111   0.3830   1.0000
   4.250   0.5850   0.01611   0.00677  -0.0102   0.3542   1.0000
   4.500   0.6086   0.01673   0.00722  -0.0094   0.3316   1.0000
   4.750   0.6327   0.01738   0.00770  -0.0086   0.3136   1.0000
   5.000   0.6571   0.01799   0.00825  -0.0080   0.2972   1.0000
   5.250   0.6815   0.01862   0.00883  -0.0073   0.2822   1.0000
   5.500   0.7059   0.01928   0.00943  -0.0067   0.2678   1.0000
   5.750   0.7301   0.01993   0.01009  -0.0060   0.2536   1.0000
   6.000   0.7541   0.02061   0.01081  -0.0054   0.2393   1.0000
   6.250   0.7780   0.02136   0.01159  -0.0047   0.2254   1.0000
   6.500   0.8017   0.02216   0.01241  -0.0040   0.2116   1.0000
   6.750   0.8251   0.02305   0.01333  -0.0033   0.1984   1.0000
   7.000   0.8485   0.02404   0.01435  -0.0026   0.1862   1.0000
   7.250   0.8719   0.02512   0.01536  -0.0020   0.1752   1.0000
   7.500   0.8948   0.02610   0.01643  -0.0013   0.1645   1.0000
   7.750   0.9167   0.02738   0.01792  -0.0005   0.1546   1.0000
   8.000   0.9403   0.02880   0.01921  -0.0001   0.1469   1.0000
   8.250   0.9605   0.03003   0.02086   0.0011   0.1387   1.0000
   8.500   0.9832   0.03141   0.02214   0.0015   0.1322   1.0000
   8.750   1.0014   0.03312   0.02434   0.0028   0.1260   1.0000
   9.000   1.0230   0.03443   0.02571   0.0035   0.1211   1.0000
   9.250   1.0394   0.03671   0.02831   0.0046   0.1167   1.0000
   9.500   1.0539   0.03887   0.03087   0.0058   0.1120   1.0000
   9.750   1.0730   0.04054   0.03264   0.0066   0.1085   1.0000
  10.000   1.0891   0.04320   0.03540   0.0073   0.1058   1.0000
  10.250   1.0880   0.04719   0.04009   0.0093   0.1036   1.0000
  10.500   1.0825   0.05156   0.04499   0.0109   0.1015   1.0000
  10.750   1.0718   0.05626   0.05011   0.0122   0.1001   1.0000
  11.000   1.0464   0.06220   0.05643   0.0130   0.1001   1.0000
  11.250   1.0007   0.06958   0.06405   0.0124   0.1016   1.0000
  11.500   0.9524   0.07978   0.07437   0.0064   0.1039   1.0000
  11.750   0.9199   0.09047   0.08510  -0.0004   0.1054   1.0000
  12.000   0.9035   0.09932   0.09396  -0.0048   0.1061   1.0000
  12.250   0.8106   0.14068   0.13521  -0.0288   0.1622   1.0000
