  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.000  -1.1397   0.04809   0.04569  -0.0317   1.0000   0.0107
 -13.750  -1.1664   0.04181   0.03916  -0.0348   1.0000   0.0107
 -13.500  -1.1801   0.03831   0.03546  -0.0339   1.0000   0.0107
 -13.250  -1.1846   0.03569   0.03265  -0.0322   1.0000   0.0107
 -13.000  -1.1801   0.03341   0.03018  -0.0310   1.0000   0.0108
 -12.750  -1.1711   0.03146   0.02805  -0.0298   1.0000   0.0109
 -12.500  -1.1586   0.02982   0.02624  -0.0288   1.0000   0.0109
 -12.250  -1.1432   0.02847   0.02475  -0.0279   1.0000   0.0110
 -12.000  -1.1259   0.02728   0.02343  -0.0271   1.0000   0.0110
 -11.750  -1.1143   0.02516   0.02107  -0.0258   1.0000   0.0112
 -11.500  -1.0986   0.02354   0.01928  -0.0248   1.0000   0.0114
 -11.250  -1.0800   0.02231   0.01793  -0.0239   1.0000   0.0115
 -11.000  -1.0598   0.02129   0.01679  -0.0231   1.0000   0.0116
 -10.750  -1.0386   0.02039   0.01579  -0.0224   1.0000   0.0117
 -10.500  -1.0166   0.01958   0.01489  -0.0217   1.0000   0.0119
 -10.250  -0.9942   0.01883   0.01405  -0.0210   1.0000   0.0120
 -10.000  -0.9713   0.01812   0.01326  -0.0204   1.0000   0.0121
  -9.750  -0.9483   0.01744   0.01250  -0.0197   1.0000   0.0123
  -9.500  -0.9249   0.01680   0.01178  -0.0191   1.0000   0.0124
  -9.250  -0.9014   0.01618   0.01109  -0.0184   1.0000   0.0125
  -9.000  -0.8777   0.01559   0.01043  -0.0177   1.0000   0.0127
  -8.750  -0.8539   0.01504   0.00981  -0.0171   1.0000   0.0129
  -8.500  -0.8300   0.01450   0.00921  -0.0163   1.0000   0.0131
  -8.250  -0.8062   0.01400   0.00865  -0.0156   1.0000   0.0132
  -8.000  -0.7823   0.01353   0.00812  -0.0149   1.0000   0.0134
  -7.750  -0.7585   0.01308   0.00763  -0.0141   1.0000   0.0136
  -7.500  -0.7347   0.01267   0.00717  -0.0132   1.0000   0.0138
  -7.250  -0.7109   0.01230   0.00674  -0.0124   1.0000   0.0139
  -7.000  -0.6869   0.01197   0.00638  -0.0116   1.0000   0.0141
  -6.750  -0.6634   0.01156   0.00594  -0.0107   1.0000   0.0144
  -6.500  -0.6330   0.01107   0.00542  -0.0113   0.9979   0.0148
  -6.250  -0.6009   0.01068   0.00501  -0.0123   0.9953   0.0152
  -6.000  -0.5692   0.01034   0.00466  -0.0131   0.9922   0.0156
  -5.750  -0.5377   0.01003   0.00434  -0.0139   0.9879   0.0160
  -5.500  -0.5053   0.00975   0.00403  -0.0148   0.9836   0.0165
  -5.250  -0.4744   0.00948   0.00375  -0.0154   0.9766   0.0170
  -5.000  -0.4428   0.00923   0.00348  -0.0162   0.9686   0.0175
  -4.750  -0.4109   0.00900   0.00323  -0.0169   0.9558   0.0179
  -4.500  -0.3810   0.00874   0.00295  -0.0172   0.9343   0.0192
  -4.250  -0.3543   0.00858   0.00273  -0.0166   0.9047   0.0205
  -4.000  -0.3289   0.00850   0.00253  -0.0158   0.8702   0.0219
  -3.750  -0.3036   0.00842   0.00234  -0.0151   0.8329   0.0248
  -3.500  -0.2779   0.00838   0.00217  -0.0144   0.7945   0.0287
  -3.250  -0.2515   0.00833   0.00203  -0.0140   0.7609   0.0335
  -3.000  -0.2245   0.00825   0.00190  -0.0137   0.7379   0.0386
  -2.750  -0.1972   0.00820   0.00179  -0.0134   0.7157   0.0423
  -2.500  -0.1701   0.00815   0.00169  -0.0131   0.6882   0.0472
  -2.250  -0.1429   0.00815   0.00159  -0.0128   0.6580   0.0506
  -2.000  -0.1157   0.00814   0.00149  -0.0126   0.6284   0.0547
  -1.750  -0.0884   0.00814   0.00142  -0.0124   0.5967   0.0598
  -1.500  -0.0611   0.00814   0.00134  -0.0122   0.5690   0.0663
  -1.250  -0.0337   0.00814   0.00128  -0.0120   0.5411   0.0741
  -1.000  -0.0063   0.00812   0.00122  -0.0118   0.5153   0.0846
  -0.750   0.0210   0.00811   0.00117  -0.0116   0.4876   0.1018
  -0.500   0.0480   0.00805   0.00113  -0.0114   0.4603   0.1360
  -0.250   0.0748   0.00797   0.00110  -0.0112   0.4287   0.1836
   0.000   0.1001   0.00763   0.00104  -0.0109   0.3952   0.3159
   0.250   0.1237   0.00703   0.00099  -0.0104   0.3680   0.5222
   0.500   0.1494   0.00682   0.00100  -0.0100   0.3465   0.6131
   0.750   0.1754   0.00671   0.00104  -0.0095   0.3254   0.6829
   1.000   0.2013   0.00666   0.00108  -0.0091   0.3042   0.7403
   1.250   0.2273   0.00663   0.00114  -0.0085   0.2834   0.7881
   1.500   0.2534   0.00666   0.00120  -0.0080   0.2644   0.8235
   1.750   0.2778   0.00663   0.00128  -0.0070   0.2448   0.8792
   2.000   0.3029   0.00671   0.00141  -0.0060   0.2175   0.9370
   2.250   0.3329   0.00690   0.00150  -0.0064   0.1926   0.9556
   2.500   0.3639   0.00707   0.00159  -0.0070   0.1791   0.9653
   2.750   0.3948   0.00721   0.00168  -0.0076   0.1702   0.9737
   3.000   0.4274   0.00735   0.00177  -0.0086   0.1638   0.9793
   3.250   0.4585   0.00749   0.00187  -0.0092   0.1585   0.9849
   3.500   0.4915   0.00760   0.00197  -0.0103   0.1551   0.9885
   3.750   0.5238   0.00772   0.00207  -0.0112   0.1511   0.9922
   4.000   0.5569   0.00786   0.00218  -0.0123   0.1462   0.9952
   4.250   0.5915   0.00801   0.00231  -0.0138   0.1414   0.9981
   4.500   0.6239   0.00812   0.00241  -0.0148   0.1374   1.0000
   4.750   0.6490   0.00829   0.00252  -0.0142   0.1294   1.0000
   5.000   0.6744   0.00843   0.00265  -0.0136   0.1231   1.0000
   5.250   0.6995   0.00862   0.00278  -0.0131   0.1143   1.0000
   5.500   0.7247   0.00881   0.00293  -0.0125   0.1047   1.0000
   5.750   0.7496   0.00904   0.00310  -0.0119   0.0942   1.0000
   6.000   0.7745   0.00928   0.00331  -0.0113   0.0859   1.0000
   6.250   0.7995   0.00955   0.00353  -0.0108   0.0787   1.0000
