  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.500  -0.4856   0.11817   0.11654   0.0063   1.0000   0.0188
 -11.250  -0.4871   0.11409   0.11247   0.0051   1.0000   0.0195
 -10.750  -0.9695   0.03360   0.03063  -0.0274   1.0000   0.0145
 -10.500  -0.9618   0.03068   0.02744  -0.0263   1.0000   0.0147
 -10.250  -0.9496   0.02834   0.02486  -0.0252   1.0000   0.0148
 -10.000  -0.9341   0.02643   0.02275  -0.0242   1.0000   0.0150
  -9.750  -0.9169   0.02474   0.02085  -0.0232   1.0000   0.0152
  -9.500  -0.8985   0.02317   0.01909  -0.0222   1.0000   0.0155
  -9.250  -0.8788   0.02180   0.01754  -0.0213   1.0000   0.0157
  -9.000  -0.8575   0.02072   0.01632  -0.0205   1.0000   0.0161
  -8.750  -0.8358   0.01972   0.01517  -0.0196   1.0000   0.0164
  -8.500  -0.8139   0.01869   0.01399  -0.0187   1.0000   0.0166
  -8.250  -0.7914   0.01782   0.01299  -0.0179   1.0000   0.0167
  -8.000  -0.7685   0.01707   0.01212  -0.0170   1.0000   0.0169
  -7.750  -0.7459   0.01627   0.01122  -0.0161   1.0000   0.0170
  -7.500  -0.7268   0.01462   0.00939  -0.0147   1.0000   0.0174
  -7.250  -0.7051   0.01374   0.00845  -0.0136   1.0000   0.0177
  -7.000  -0.6823   0.01315   0.00781  -0.0126   1.0000   0.0181
  -6.750  -0.6592   0.01266   0.00729  -0.0116   1.0000   0.0185
  -6.500  -0.6360   0.01221   0.00681  -0.0107   1.0000   0.0189
  -6.250  -0.6128   0.01178   0.00634  -0.0097   1.0000   0.0193
  -6.000  -0.5897   0.01137   0.00591  -0.0086   1.0000   0.0198
  -5.750  -0.5664   0.01104   0.00555  -0.0076   1.0000   0.0203
  -5.500  -0.5431   0.01076   0.00524  -0.0066   1.0000   0.0208
  -5.250  -0.5210   0.01023   0.00466  -0.0054   1.0000   0.0214
  -5.000  -0.4869   0.00973   0.00416  -0.0068   0.9981   0.0224
  -4.750  -0.4512   0.00942   0.00385  -0.0085   0.9958   0.0235
  -4.500  -0.4145   0.00913   0.00355  -0.0104   0.9934   0.0248
  -4.250  -0.3790   0.00877   0.00318  -0.0119   0.9889   0.0265
  -4.000  -0.3416   0.00847   0.00291  -0.0139   0.9850   0.0295
  -3.750  -0.3074   0.00819   0.00266  -0.0152   0.9770   0.0338
  -3.500  -0.2732   0.00796   0.00246  -0.0164   0.9646   0.0402
  -3.250  -0.2413   0.00782   0.00233  -0.0170   0.9461   0.0454
  -3.000  -0.2135   0.00765   0.00215  -0.0167   0.9205   0.0518
  -2.750  -0.1872   0.00763   0.00204  -0.0160   0.8909   0.0551
  -2.500  -0.1612   0.00750   0.00186  -0.0154   0.8656   0.0612
  -2.250  -0.1345   0.00747   0.00176  -0.0149   0.8434   0.0656
  -2.000  -0.1078   0.00739   0.00163  -0.0144   0.8208   0.0721
  -1.750  -0.0810   0.00735   0.00152  -0.0140   0.7980   0.0785
  -1.500  -0.0542   0.00727   0.00141  -0.0136   0.7731   0.0908
  -1.250  -0.0278   0.00712   0.00132  -0.0132   0.7485   0.1257
  -1.000  -0.0021   0.00681   0.00121  -0.0128   0.7222   0.2109
  -0.750   0.0204   0.00597   0.00105  -0.0121   0.6936   0.4477
  -0.500   0.0441   0.00551   0.00099  -0.0113   0.6652   0.5985
  -0.250   0.0687   0.00528   0.00098  -0.0105   0.6371   0.6947
   0.000   0.0938   0.00519   0.00099  -0.0098   0.6075   0.7573
   0.250   0.1187   0.00513   0.00101  -0.0089   0.5776   0.8139
   0.500   0.1437   0.00512   0.00104  -0.0080   0.5486   0.8577
   0.750   0.1692   0.00515   0.00108  -0.0072   0.5206   0.8935
   1.000   0.1951   0.00522   0.00114  -0.0064   0.4926   0.9291
   1.250   0.2246   0.00538   0.00122  -0.0065   0.4609   0.9579
   1.500   0.2583   0.00561   0.00129  -0.0076   0.4211   0.9739
   1.750   0.2972   0.00589   0.00139  -0.0099   0.3774   0.9857
   2.000   0.3361   0.00615   0.00147  -0.0123   0.3379   0.9905
   2.250   0.3698   0.00640   0.00154  -0.0136   0.3002   0.9941
   2.500   0.4056   0.00665   0.00162  -0.0154   0.2643   0.9961
   2.750   0.4409   0.00689   0.00170  -0.0171   0.2317   0.9984
   3.000   0.4742   0.00712   0.00180  -0.0184   0.2056   1.0000
   3.250   0.4990   0.00729   0.00189  -0.0178   0.1910   1.0000
   3.500   0.5239   0.00743   0.00198  -0.0172   0.1828   1.0000
   3.750   0.5489   0.00758   0.00209  -0.0165   0.1760   1.0000
   4.000   0.5741   0.00771   0.00220  -0.0159   0.1710   1.0000
   4.250   0.5991   0.00788   0.00233  -0.0153   0.1650   1.0000
   4.500   0.6244   0.00801   0.00246  -0.0147   0.1603   1.0000
   4.750   0.6498   0.00814   0.00257  -0.0141   0.1553   1.0000
   5.000   0.6749   0.00832   0.00273  -0.0136   0.1496   1.0000
   5.250   0.7004   0.00845   0.00286  -0.0130   0.1451   1.0000
   5.500   0.7260   0.00859   0.00298  -0.0125   0.1396   1.0000
   5.750   0.7512   0.00879   0.00315  -0.0119   0.1326   1.0000
   6.000   0.7770   0.00891   0.00328  -0.0115   0.1267   1.0000
   6.250   0.8023   0.00912   0.00344  -0.0109   0.1174   1.0000
   6.500   0.8274   0.00936   0.00362  -0.0104   0.1051   1.0000
   6.750   0.8523   0.00966   0.00385  -0.0099   0.0932   1.0000
   7.000   0.8774   0.00995   0.00410  -0.0094   0.0856   1.0000
   7.250   0.9026   0.01023   0.00437  -0.0089   0.0793   1.0000
   7.500   0.9277   0.01055   0.00467  -0.0084   0.0736   1.0000
   7.750   0.9530   0.01085   0.00498  -0.0080   0.0686   1.0000
   8.000   0.9783   0.01114   0.00527  -0.0076   0.0644   1.0000
   8.250   1.0029   0.01155   0.00565  -0.0071   0.0589   1.0000
   8.500   1.0285   0.01180   0.00594  -0.0067   0.0560   1.0000
   8.750   1.0532   0.01220   0.00631  -0.0063   0.0518   1.0000
   9.000   1.0780   0.01257   0.00669  -0.0058   0.0486   1.0000
   9.250   1.1032   0.01288   0.00703  -0.0055   0.0461   1.0000
