  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL V23010-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.5428   0.08324   0.08151  -0.0142   1.0000   0.0191
  -9.250  -0.5460   0.07831   0.07660  -0.0177   1.0000   0.0192
  -9.000  -0.5644   0.07009   0.06837  -0.0269   1.0000   0.0192
  -8.750  -0.5830   0.06595   0.06417  -0.0279   1.0000   0.0193
  -8.500  -0.5924   0.06208   0.06023  -0.0280   1.0000   0.0194
  -8.250  -0.5957   0.05854   0.05661  -0.0278   1.0000   0.0195
  -8.000  -0.5946   0.05544   0.05342  -0.0272   1.0000   0.0197
  -7.750  -0.5918   0.05227   0.05015  -0.0263   1.0000   0.0200
  -7.500  -0.5870   0.04920   0.04696  -0.0251   1.0000   0.0204
  -7.250  -0.5812   0.04592   0.04353  -0.0235   1.0000   0.0211
  -7.000  -0.5590   0.02508   0.02230  -0.0211   1.0000   0.0225
  -6.750  -0.5488   0.02301   0.02018  -0.0194   1.0000   0.0227
  -6.500  -0.5384   0.02128   0.01838  -0.0175   1.0000   0.0228
  -6.250  -0.5090   0.01910   0.01611  -0.0195   0.9961   0.0231
  -6.000  -0.5178   0.03056   0.02723  -0.0166   0.9958   0.0233
  -5.750  -0.4861   0.02870   0.02524  -0.0184   0.9906   0.0237
  -5.500  -0.4539   0.02673   0.02311  -0.0199   0.9851   0.0244
  -5.250  -0.4178   0.02556   0.02153  -0.0204   0.9768   0.0264
  -5.000  -0.3899   0.02116   0.01684  -0.0218   0.9661   0.0271
  -4.750  -0.3568   0.01995   0.01559  -0.0234   0.9514   0.0275
  -4.500  -0.3267   0.01904   0.01458  -0.0240   0.9254   0.0281
  -4.250  -0.3019   0.01822   0.01358  -0.0233   0.8887   0.0288
  -4.000  -0.2761   0.01869   0.01372  -0.0218   0.8586   0.0312
  -3.750  -0.2549   0.01610   0.01088  -0.0207   0.8335   0.0324
  -3.500  -0.2293   0.01367   0.00804  -0.0191   0.8040   0.0267
  -3.250  -0.2048   0.01241   0.00668  -0.0182   0.7764   0.0255
  -3.000  -0.1797   0.01160   0.00574  -0.0174   0.7568   0.0252
  -2.750  -0.1546   0.01095   0.00500  -0.0167   0.7406   0.0250
  -2.500  -0.1290   0.01054   0.00452  -0.0160   0.7250   0.0254
  -2.250  -0.1035   0.01014   0.00404  -0.0153   0.7086   0.0256
  -2.000  -0.0783   0.00975   0.00359  -0.0146   0.6896   0.0257
