  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43012-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.3768   0.09650   0.09146  -0.0274   1.0000   0.0562
  -9.250  -0.3891   0.09237   0.08741  -0.0319   1.0000   0.0570
  -9.000  -0.4082   0.08829   0.08337  -0.0359   1.0000   0.0572
  -8.750  -0.4324   0.08586   0.08094  -0.0351   1.0000   0.0573
  -8.500  -0.4502   0.08343   0.07844  -0.0339   1.0000   0.0575
  -8.000  -0.4414   0.07579   0.07095  -0.0316   1.0000   0.0584
  -7.750  -0.4403   0.07283   0.06804  -0.0300   1.0000   0.0591
  -7.500  -0.4425   0.07011   0.06532  -0.0281   1.0000   0.0598
  -7.250  -0.4457   0.06752   0.06272  -0.0260   1.0000   0.0605
  -7.000  -0.4490   0.06502   0.06017  -0.0238   1.0000   0.0613
  -6.750  -0.4519   0.06261   0.05770  -0.0213   1.0000   0.0624
  -6.500  -0.4542   0.06036   0.05534  -0.0186   1.0000   0.0636
  -6.250  -0.4534   0.05958   0.05401  -0.0162   0.9973   0.0663
  -6.000  -0.4278   0.05479   0.04909  -0.0188   0.9890   0.0674
  -5.750  -0.3995   0.05068   0.04505  -0.0214   0.9818   0.0696
  -5.500  -0.3698   0.04773   0.04188  -0.0234   0.9721   0.0734
  -5.000  -0.3078   0.04039   0.03352  -0.0244   0.9501   0.0491
  -4.750  -0.2763   0.03775   0.03061  -0.0255   0.9389   0.0486
  -4.500  -0.2410   0.03528   0.02784  -0.0269   0.9282   0.0485
  -4.250  -0.2103   0.03300   0.02529  -0.0272   0.9136   0.0472
  -4.000  -0.1800   0.03093   0.02291  -0.0271   0.8977   0.0460
  -3.750  -0.1487   0.02904   0.02069  -0.0270   0.8817   0.0451
  -3.500  -0.1155   0.02755   0.01898  -0.0276   0.8647   0.0460
  -3.250  -0.0808   0.02615   0.01733  -0.0282   0.8463   0.0472
  -3.000  -0.0472   0.02476   0.01568  -0.0285   0.8251   0.0471
  -2.750  -0.0163   0.02356   0.01427  -0.0283   0.8008   0.0471
  -2.250   0.0476   0.02151   0.01179  -0.0282   0.7488   0.0477
  -2.000   0.0771   0.02080   0.01084  -0.0278   0.7207   0.0493
  -1.750   0.1046   0.02011   0.01002  -0.0271   0.6922   0.0505
  -1.500   0.1313   0.01947   0.00930  -0.0264   0.6659   0.0513
  -1.250   0.1565   0.01892   0.00870  -0.0255   0.6398   0.0521
  -1.000   0.1800   0.01847   0.00816  -0.0242   0.6145   0.0533
  -0.750   0.2023   0.01811   0.00770  -0.0227   0.5883   0.0545
  -0.500   0.2243   0.01788   0.00727  -0.0212   0.5623   0.0567
  -0.250   0.2462   0.01767   0.00693  -0.0198   0.5348   0.0597
   0.000   0.2685   0.01755   0.00663  -0.0184   0.5062   0.0633
   0.250   0.2911   0.01746   0.00633  -0.0171   0.4750   0.0670
   0.500   0.3138   0.01739   0.00606  -0.0159   0.4446   0.0729
   0.750   0.3366   0.01738   0.00581  -0.0147   0.4210   0.0855
   1.000   0.3580   0.01665   0.00557  -0.0137   0.4019   0.3223
   1.250   0.4949   0.01610   0.00661  -0.0332   0.3601   0.9860
   1.500   0.5485   0.01636   0.00660  -0.0387   0.3411   1.0000
   1.750   0.5679   0.01656   0.00666  -0.0372   0.3301   1.0000
   2.250   0.6068   0.01703   0.00688  -0.0342   0.3131   1.0000
   2.500   0.6261   0.01731   0.00702  -0.0326   0.3062   1.0000
   2.750   0.6459   0.01758   0.00720  -0.0312   0.2994   1.0000
   3.000   0.6656   0.01787   0.00740  -0.0297   0.2930   1.0000
   3.250   0.6851   0.01822   0.00760  -0.0283   0.2876   1.0000
   3.500   0.7055   0.01851   0.00788  -0.0269   0.2817   1.0000
   3.750   0.7255   0.01885   0.00814  -0.0255   0.2764   1.0000
   4.000   0.7453   0.01926   0.00840  -0.0241   0.2714   1.0000
   4.250   0.7655   0.01958   0.00874  -0.0228   0.2653   1.0000
   4.500   0.7854   0.01993   0.00905  -0.0214   0.2596   1.0000
   4.750   0.8055   0.02037   0.00937  -0.0201   0.2550   1.0000
   5.000   0.8259   0.02075   0.00978  -0.0188   0.2502   1.0000
   5.250   0.8463   0.02114   0.01020  -0.0175   0.2456   1.0000
   5.500   0.8668   0.02156   0.01060  -0.0163   0.2416   1.0000
   5.750   0.8875   0.02205   0.01100  -0.0151   0.2381   1.0000
   6.000   0.9078   0.02249   0.01151  -0.0139   0.2341   1.0000
   6.250   0.9278   0.02292   0.01202  -0.0126   0.2298   1.0000
   6.500   0.9479   0.02337   0.01248  -0.0114   0.2259   1.0000
   6.750   0.9682   0.02384   0.01290  -0.0102   0.2225   1.0000
   7.000   0.9878   0.02435   0.01349  -0.0089   0.2189   1.0000
   7.250   1.0072   0.02487   0.01413  -0.0076   0.2150   1.0000
   7.500   1.0267   0.02539   0.01469  -0.0064   0.2116   1.0000
   7.750   1.0466   0.02590   0.01520  -0.0052   0.2086   1.0000
   8.000   1.0668   0.02648   0.01575  -0.0042   0.2059   1.0000
   8.250   1.0845   0.02715   0.01663  -0.0027   0.2025   1.0000
   8.500   1.1027   0.02782   0.01741  -0.0014   0.1991   1.0000
   8.750   1.1212   0.02845   0.01811  -0.0002   0.1962   1.0000
