  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43012-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.750  -0.4183   0.11155   0.10463  -0.0135   1.0000   0.2241
  -9.500  -0.4121   0.10847   0.10162  -0.0124   1.0000   0.2402
  -9.250  -0.4129   0.10591   0.09915  -0.0116   1.0000   0.2568
  -9.000  -0.3804   0.10195   0.09517  -0.0078   1.0000   0.2867
  -8.750  -0.3665   0.09916   0.09244  -0.0052   1.0000   0.3172
  -8.500  -0.3567   0.09688   0.09023  -0.0026   1.0000   0.3521
  -8.250  -0.3498   0.09488   0.08831   0.0002   1.0000   0.3883
  -8.000  -0.3278   0.09194   0.08541   0.0034   1.0000   0.4304
  -7.750  -0.3182   0.09025   0.08379   0.0068   1.0000   0.4751
  -7.500  -0.2977   0.08782   0.08140   0.0103   1.0000   0.5275
  -7.250  -0.2553   0.08395   0.07753   0.0125   1.0000   0.5942
  -7.000  -0.2235   0.08100   0.07459   0.0147   1.0000   0.6656
  -6.750  -0.1679   0.07566   0.06924   0.0130   1.0000   0.7450
  -6.500  -0.1526   0.07292   0.06656   0.0132   1.0000   0.7750
  -6.250  -0.1375   0.06994   0.06363   0.0127   1.0000   0.7923
  -6.000  -0.1310   0.06792   0.06169   0.0135   1.0000   0.8071
  -5.000  -0.2461   0.06156   0.05606   0.0240   1.0000   0.6526
  -4.750  -0.3176   0.05955   0.05438   0.0281   1.0000   0.5890
  -4.500  -0.3740   0.05783   0.05293   0.0339   1.0000   0.5696
  -4.250  -0.4301   0.05475   0.05005   0.0358   1.0000   0.5374
  -4.000  -0.4708   0.04768   0.04264   0.0243   1.0000   0.4492
  -3.750  -0.4483   0.04120   0.03479   0.0113   1.0000   0.3378
  -3.500  -0.4227   0.03853   0.03127   0.0094   1.0000   0.2872
  -3.250  -0.3989   0.03691   0.02899   0.0096   1.0000   0.2537
  -3.000  -0.3750   0.03625   0.02754   0.0106   1.0000   0.2242
  -2.750  -0.3538   0.03529   0.02622   0.0117   1.0000   0.2068
  -2.500  -0.3334   0.03495   0.02544   0.0131   1.0000   0.1913
  -2.250  -0.3141   0.03362   0.02409   0.0139   1.0000   0.1823
  -2.000  -0.2689   0.03338   0.02343   0.0109   0.9896   0.1715
  -1.750  -0.1891   0.03243   0.02214   0.0023   0.9632   0.1626
  -1.500  -0.1153   0.03178   0.02125  -0.0047   0.9386   0.1557
  -1.250  -0.0414   0.03062   0.02011  -0.0116   0.9147   0.1525
  -1.000   0.0357   0.02945   0.01887  -0.0187   0.8900   0.1571
  -0.750   0.1051   0.02785   0.01733  -0.0243   0.8640   0.1624
  -0.500   0.3680   0.02176   0.01410  -0.0569   0.8290   1.0000
  -0.250   0.4034   0.02132   0.01312  -0.0559   0.7824   1.0000
   0.000   0.4296   0.02115   0.01248  -0.0537   0.7366   1.0000
   0.250   0.4499   0.02127   0.01220  -0.0509   0.6917   1.0000
   0.500   0.4707   0.02153   0.01204  -0.0486   0.6521   1.0000
   0.750   0.4906   0.02193   0.01209  -0.0464   0.6173   1.0000
   1.000   0.5098   0.02242   0.01231  -0.0444   0.5872   1.0000
   1.250   0.5294   0.02295   0.01258  -0.0427   0.5625   1.0000
   1.500   0.5486   0.02354   0.01298  -0.0410   0.5407   1.0000
   1.750   0.5683   0.02416   0.01343  -0.0394   0.5222   1.0000
   2.000   0.5881   0.02485   0.01398  -0.0379   0.5069   1.0000
   2.250   0.6084   0.02553   0.01451  -0.0365   0.4934   1.0000
   2.500   0.6289   0.02618   0.01502  -0.0351   0.4807   1.0000
   2.750   0.6464   0.02704   0.01588  -0.0335   0.4682   1.0000
   3.000   0.6654   0.02791   0.01669  -0.0321   0.4581   1.0000
   3.250   0.6856   0.02872   0.01742  -0.0307   0.4487   1.0000
   3.500   0.7015   0.02985   0.01861  -0.0291   0.4394   1.0000
   3.750   0.7234   0.03060   0.01920  -0.0279   0.4310   1.0000
   4.000   0.7357   0.03202   0.02078  -0.0260   0.4222   1.0000
   4.250   0.7574   0.03289   0.02154  -0.0248   0.4146   1.0000
   4.500   0.7672   0.03455   0.02338  -0.0227   0.4067   1.0000
   4.750   0.7866   0.03556   0.02433  -0.0213   0.3988   1.0000
   5.000   0.7973   0.03731   0.02620  -0.0194   0.3920   1.0000
   5.250   0.8068   0.03907   0.02809  -0.0174   0.3847   1.0000
   5.500   0.8310   0.04001   0.02889  -0.0164   0.3781   1.0000
   5.750   0.8234   0.04308   0.03232  -0.0134   0.3723   1.0000
   6.000   0.8302   0.04521   0.03454  -0.0114   0.3665   1.0000
   6.250   0.8519   0.04645   0.03570  -0.0104   0.3607   1.0000
   6.500   0.8222   0.05142   0.04101  -0.0069   0.3568   1.0000
   6.750   0.7834   0.05754   0.04731  -0.0043   0.3545   1.0000
   7.000   0.7122   0.06692   0.05675  -0.0030   0.3573   1.0000
   7.250   0.6625   0.07616   0.06595  -0.0056   0.3637   1.0000
   7.500   0.4771   0.09876   0.08867  -0.0221   0.5235   1.0000
