  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43012-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.4167   0.09918   0.09679  -0.0257   1.0000   0.0218
 -10.250  -0.4186   0.09452   0.09215  -0.0286   1.0000   0.0218
 -10.000  -0.4206   0.09004   0.08769  -0.0300   1.0000   0.0220
  -9.750  -0.4213   0.08611   0.08379  -0.0316   1.0000   0.0220
  -9.500  -0.4183   0.08344   0.08114  -0.0313   1.0000   0.0221
  -9.250  -0.4204   0.07977   0.07750  -0.0330   1.0000   0.0223
  -9.000  -0.4355   0.07498   0.07271  -0.0365   1.0000   0.0223
  -8.750  -0.4489   0.07224   0.06996  -0.0354   1.0000   0.0224
  -8.500  -0.4648   0.06978   0.06749  -0.0326   1.0000   0.0224
  -8.250  -0.4732   0.06729   0.06498  -0.0305   1.0000   0.0226
  -8.000  -0.4824   0.06478   0.06243  -0.0280   1.0000   0.0227
  -7.750  -0.4899   0.06246   0.06008  -0.0251   1.0000   0.0228
  -7.500  -0.4962   0.06026   0.05784  -0.0220   1.0000   0.0231
  -7.250  -0.4825   0.05671   0.05417  -0.0233   0.9975   0.0237
  -7.000  -0.4602   0.05011   0.04697  -0.0259   0.9906   0.0258
  -6.750  -0.4350   0.04664   0.04347  -0.0284   0.9863   0.0261
  -6.500  -0.4069   0.04383   0.04061  -0.0308   0.9830   0.0264
  -6.250  -0.3828   0.04143   0.03812  -0.0318   0.9768   0.0271
  -6.000  -0.3522   0.03865   0.03517  -0.0336   0.9725   0.0282
  -5.750  -0.3260   0.03491   0.03098  -0.0332   0.9646   0.0304
  -5.500  -0.2926   0.03267   0.02869  -0.0356   0.9589   0.0310
  -5.250  -0.2650   0.03090   0.02682  -0.0362   0.9464   0.0319
  -5.000  -0.2366   0.02851   0.02403  -0.0355   0.9319   0.0354
  -4.750  -0.2069   0.02681   0.02227  -0.0366   0.9142   0.0361
  -4.500  -0.1792   0.02547   0.02078  -0.0367   0.8894   0.0376
  -4.250  -0.1538   0.02393   0.01884  -0.0353   0.8620   0.0412
  -4.000  -0.1302   0.02276   0.01755  -0.0347   0.8337   0.0421
  -3.750  -0.1073   0.02195   0.01654  -0.0334   0.8025   0.0442
  -3.500  -0.0856   0.02094   0.01516  -0.0315   0.7722   0.0479
  -3.250  -0.0634   0.02004   0.01413  -0.0304   0.7432   0.0493
  -3.000  -0.0385   0.02169   0.01536  -0.0282   0.7142   0.0540
  -2.500   0.0060   0.01774   0.01122  -0.0265   0.6617   0.0577
  -2.250   0.0365   0.01530   0.00820  -0.0244   0.6400   0.0404
  -2.000   0.0624   0.01405   0.00689  -0.0238   0.6169   0.0393
  -1.750   0.0877   0.01321   0.00595  -0.0230   0.5934   0.0384
  -1.500   0.1115   0.01243   0.00504  -0.0217   0.5708   0.0374
  -1.250   0.1340   0.01197   0.00445  -0.0204   0.5485   0.0371
  -1.000   0.1568   0.01165   0.00403  -0.0191   0.5245   0.0374
  -0.750   0.1793   0.01143   0.00369  -0.0178   0.4961   0.0377
  -0.500   0.2015   0.01129   0.00340  -0.0165   0.4562   0.0382
  -0.250   0.2236   0.01129   0.00320  -0.0152   0.4197   0.0391
   0.000   0.2466   0.01132   0.00308  -0.0141   0.3940   0.0402
   0.250   0.2698   0.01123   0.00289  -0.0130   0.3705   0.0411
   0.500   0.2936   0.01125   0.00281  -0.0121   0.3459   0.0428
   0.750   0.3181   0.01129   0.00275  -0.0112   0.3243   0.0451
   1.000   0.3426   0.01134   0.00271  -0.0104   0.3071   0.0484
   1.250   0.3670   0.01140   0.00272  -0.0096   0.2934   0.0584
   1.500   0.3914   0.01142   0.00273  -0.0088   0.2827   0.0890
   1.750   0.3940   0.00978   0.00265  -0.0043   0.2770   0.6461
   2.000   0.4067   0.00919   0.00287  -0.0005   0.2707   0.8763
   2.250   0.4545   0.00953   0.00323  -0.0043   0.2615   0.9414
   2.500   0.5097   0.00989   0.00355  -0.0097   0.2533   0.9629
   2.750   0.5571   0.01037   0.00389  -0.0137   0.2457   0.9735
   3.000   0.6094   0.01063   0.00412  -0.0186   0.2405   0.9818
   3.250   0.6580   0.01086   0.00428  -0.0229   0.2347   0.9864
   3.500   0.6996   0.01115   0.00447  -0.0260   0.2294   0.9906
   3.750   0.7438   0.01127   0.00458  -0.0294   0.2259   0.9949
   4.000   0.7868   0.01135   0.00465  -0.0327   0.2219   0.9983
   4.250   0.8191   0.01148   0.00474  -0.0338   0.2183   1.0000
   4.500   0.8388   0.01166   0.00487  -0.0324   0.2152   1.0000
   4.750   0.8587   0.01183   0.00504  -0.0309   0.2124   1.0000
   5.000   0.8795   0.01193   0.00516  -0.0296   0.2100   1.0000
   5.250   0.8999   0.01205   0.00529  -0.0282   0.2073   1.0000
   5.500   0.9199   0.01219   0.00544  -0.0267   0.2044   1.0000
   5.750   0.9393   0.01240   0.00561  -0.0251   0.2014   1.0000
   6.000   0.9575   0.01272   0.00589  -0.0234   0.1980   1.0000
   6.250   0.9781   0.01283   0.00605  -0.0220   0.1960   1.0000
   6.500   0.9984   0.01299   0.00624  -0.0206   0.1932   1.0000
   6.750   1.0182   0.01317   0.00644  -0.0191   0.1902   1.0000
   7.000   1.0373   0.01341   0.00666  -0.0175   0.1871   1.0000
   7.250   1.0546   0.01384   0.00704  -0.0157   0.1832   1.0000
   7.500   1.0754   0.01396   0.00724  -0.0144   0.1810   1.0000
   7.750   1.0957   0.01414   0.00746  -0.0130   0.1780   1.0000
   8.000   1.1155   0.01435   0.00769  -0.0116   0.1747   1.0000
   8.250   1.1339   0.01466   0.00798  -0.0099   0.1711   1.0000
   8.500   1.1523   0.01502   0.00835  -0.0083   0.1677   1.0000
   8.750   1.1727   0.01521   0.00860  -0.0070   0.1648   1.0000
   9.000   1.1925   0.01545   0.00888  -0.0056   0.1618   1.0000
   9.250   1.2113   0.01574   0.00918  -0.0041   0.1590   1.0000
   9.500   1.2281   0.01619   0.00961  -0.0024   0.1560   1.0000
   9.750   1.2466   0.01656   0.01002  -0.0008   0.1537   1.0000
  10.000   1.2657   0.01686   0.01040   0.0006   0.1517   1.0000
  10.250   1.2843   0.01718   0.01078   0.0020   0.1496   1.0000
