  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.750  -0.9687   0.03979   0.03659  -0.0732   1.0000   0.0170
 -14.500  -0.9660   0.03840   0.03513  -0.0716   1.0000   0.0172
 -14.250  -0.9962   0.03389   0.03027  -0.0680   1.0000   0.0174
 -14.000  -1.0059   0.03163   0.02780  -0.0644   1.0000   0.0176
 -13.750  -1.0066   0.03029   0.02633  -0.0611   1.0000   0.0178
 -13.500  -1.0108   0.02885   0.02474  -0.0570   1.0000   0.0180
 -13.250  -1.0158   0.02766   0.02341  -0.0522   1.0000   0.0181
 -13.000  -1.0199   0.02684   0.02248  -0.0471   1.0000   0.0182
 -12.750  -0.9990   0.02548   0.02097  -0.0470   0.9983   0.0184
 -12.500  -0.9756   0.02439   0.01975  -0.0471   0.9958   0.0185
 -12.250  -0.9516   0.02342   0.01866  -0.0470   0.9928   0.0186
 -12.000  -0.9303   0.02227   0.01742  -0.0465   0.9893   0.0188
 -11.750  -0.9048   0.02138   0.01646  -0.0466   0.9864   0.0189
 -11.500  -0.8770   0.02073   0.01578  -0.0470   0.9841   0.0191
 -11.250  -0.8491   0.02014   0.01516  -0.0473   0.9819   0.0192
 -11.000  -0.8257   0.01963   0.01462  -0.0466   0.9775   0.0193
 -10.750  -0.7980   0.01921   0.01419  -0.0467   0.9742   0.0195
 -10.500  -0.7686   0.01858   0.01350  -0.0472   0.9718   0.0197
 -10.250  -0.7365   0.01814   0.01304  -0.0482   0.9698   0.0199
 -10.000  -0.7106   0.01754   0.01239  -0.0480   0.9645   0.0201
  -9.750  -0.6787   0.01693   0.01172  -0.0489   0.9608   0.0203
  -9.500  -0.6434   0.01627   0.01100  -0.0506   0.9569   0.0205
  -9.250  -0.6095   0.01566   0.01032  -0.0518   0.9464   0.0208
  -9.000  -0.5733   0.01506   0.00964  -0.0536   0.9319   0.0210
  -8.750  -0.5428   0.01455   0.00903  -0.0541   0.9134   0.0212
  -8.500  -0.5169   0.01420   0.00859  -0.0536   0.8972   0.0214
  -8.250  -0.4930   0.01391   0.00821  -0.0526   0.8791   0.0216
  -8.000  -0.4713   0.01354   0.00773  -0.0512   0.8593   0.0217
  -7.750  -0.4512   0.01312   0.00723  -0.0495   0.8402   0.0220
  -7.500  -0.4308   0.01282   0.00686  -0.0479   0.8210   0.0221
  -7.250  -0.4103   0.01257   0.00652  -0.0461   0.8009   0.0223
  -7.000  -0.3903   0.01237   0.00623  -0.0443   0.7756   0.0225
  -6.750  -0.3704   0.01222   0.00596  -0.0425   0.7488   0.0227
  -6.500  -0.3509   0.01208   0.00570  -0.0405   0.7152   0.0228
  -6.250  -0.3306   0.01194   0.00544  -0.0388   0.6873   0.0230
  -6.000  -0.3094   0.01178   0.00518  -0.0372   0.6641   0.0232
  -5.750  -0.2880   0.01165   0.00496  -0.0356   0.6390   0.0235
  -5.500  -0.2666   0.01152   0.00472  -0.0341   0.6145   0.0238
  -5.250  -0.2450   0.01140   0.00449  -0.0326   0.5892   0.0240
  -5.000  -0.2234   0.01131   0.00429  -0.0311   0.5590   0.0243
  -4.750  -0.2013   0.01121   0.00408  -0.0297   0.5347   0.0245
  -4.500  -0.1783   0.01113   0.00391  -0.0285   0.5126   0.0248
  -4.250  -0.1553   0.01104   0.00373  -0.0273   0.4917   0.0251
  -4.000  -0.1330   0.01090   0.00352  -0.0260   0.4718   0.0254
  -3.750  -0.1099   0.01080   0.00336  -0.0248   0.4530   0.0258
  -3.500  -0.0864   0.01074   0.00323  -0.0237   0.4349   0.0261
  -3.250  -0.0627   0.01069   0.00311  -0.0226   0.4166   0.0264
  -3.000  -0.0388   0.01065   0.00300  -0.0216   0.3993   0.0269
  -2.750  -0.0145   0.01059   0.00288  -0.0206   0.3849   0.0273
  -2.500   0.0102   0.01054   0.00279  -0.0197   0.3732   0.0277
  -2.250   0.0348   0.01051   0.00270  -0.0188   0.3616   0.0282
  -2.000   0.0598   0.01045   0.00261  -0.0180   0.3515   0.0287
  -1.750   0.0843   0.01041   0.00253  -0.0171   0.3415   0.0293
  -1.500   0.1095   0.01037   0.00247  -0.0163   0.3323   0.0301
  -1.250   0.1345   0.01036   0.00243  -0.0155   0.3227   0.0311
  -1.000   0.1598   0.01035   0.00238  -0.0148   0.3130   0.0322
  -0.750   0.1847   0.01035   0.00235  -0.0140   0.3039   0.0336
  -0.500   0.2101   0.01033   0.00232  -0.0133   0.2956   0.0352
  -0.250   0.2350   0.01035   0.00231  -0.0125   0.2868   0.0379
   0.000   0.2603   0.01034   0.00230  -0.0118   0.2786   0.0437
   0.250   0.2849   0.01035   0.00232  -0.0110   0.2697   0.0567
   0.500   0.3101   0.01036   0.00234  -0.0103   0.2611   0.0703
   0.750   0.3348   0.01041   0.00237  -0.0095   0.2511   0.0799
   1.000   0.3596   0.01045   0.00239  -0.0087   0.2425   0.0894
   1.250   0.3837   0.01045   0.00241  -0.0078   0.2351   0.1152
   1.500   0.3920   0.00941   0.00230  -0.0042   0.2310   0.4548
   1.750   0.4092   0.00909   0.00232  -0.0020   0.2255   0.5691
   2.000   0.4262   0.00886   0.00238   0.0003   0.2204   0.6628
   2.250   0.4456   0.00874   0.00245   0.0023   0.2166   0.7225
   2.500   0.4648   0.00865   0.00252   0.0043   0.2129   0.7748
   2.750   0.4853   0.00861   0.00261   0.0060   0.2095   0.8156
   3.000   0.5079   0.00864   0.00271   0.0073   0.2060   0.8470
   3.250   0.5334   0.00867   0.00284   0.0080   0.2034   0.8815
   3.500   0.5626   0.00874   0.00297   0.0079   0.2015   0.9054
   3.750   0.5972   0.00887   0.00313   0.0065   0.1989   0.9253
   4.000   0.6314   0.00903   0.00328   0.0052   0.1961   0.9366
   4.250   0.6690   0.00923   0.00346   0.0031   0.1929   0.9457
   4.500   0.7006   0.00942   0.00363   0.0023   0.1898   0.9556
   4.750   0.7383   0.00960   0.00380   0.0001   0.1877   0.9588
   5.000   0.7741   0.00977   0.00395  -0.0016   0.1856   0.9617
   5.250   0.8045   0.00994   0.00411  -0.0022   0.1832   0.9661
   5.500   0.8315   0.01011   0.00426  -0.0021   0.1803   0.9707
   5.750   0.8644   0.01033   0.00445  -0.0033   0.1768   0.9723
