  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-11X AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.250  -0.5357   0.08153   0.07503  -0.0265   1.0000   0.0706
  -7.000  -0.5596   0.07657   0.06965  -0.0255   1.0000   0.0608
  -6.750  -0.5499   0.07333   0.06651  -0.0237   1.0000   0.0588
  -6.500  -0.5490   0.07005   0.06317  -0.0218   1.0000   0.0570
  -6.250  -0.5487   0.06652   0.05948  -0.0200   1.0000   0.0549
  -5.750  -0.5440   0.05874   0.05077  -0.0158   1.0000   0.0487
  -5.500  -0.5351   0.05568   0.04757  -0.0141   1.0000   0.0480
  -5.250  -0.5251   0.05273   0.04438  -0.0122   1.0000   0.0473
  -5.000  -0.5133   0.04986   0.04123  -0.0104   1.0000   0.0466
  -4.750  -0.4998   0.04713   0.03816  -0.0086   1.0000   0.0460
  -4.500  -0.4843   0.04454   0.03519  -0.0068   1.0000   0.0454
  -4.250  -0.4669   0.04213   0.03238  -0.0052   1.0000   0.0451
  -4.000  -0.4477   0.03993   0.02978  -0.0036   1.0000   0.0450
  -3.750  -0.4269   0.03803   0.02749  -0.0023   1.0000   0.0458
  -3.500  -0.4048   0.03637   0.02541  -0.0010   1.0000   0.0473
  -3.250  -0.3814   0.03490   0.02352   0.0002   1.0000   0.0486
  -3.000  -0.3573   0.03350   0.02180   0.0012   1.0000   0.0494
  -2.750  -0.3326   0.03199   0.02016   0.0019   1.0000   0.0504
  -2.500  -0.3076   0.03078   0.01885   0.0025   1.0000   0.0518
  -2.250  -0.2825   0.02983   0.01781   0.0032   1.0000   0.0542
  -2.000  -0.2569   0.02909   0.01690   0.0039   1.0000   0.0584
  -1.750  -0.2235   0.02831   0.01601   0.0028   0.9976   0.0631
  -1.500  -0.1887   0.02775   0.01531   0.0014   0.9940   0.0695
  -1.250  -0.1558   0.02722   0.01469   0.0002   0.9898   0.0815
  -1.000  -0.0661   0.02352   0.01466  -0.0111   0.9957   1.0000
  -0.750  -0.0326   0.02385   0.01448  -0.0125   0.9900   1.0000
  -0.500   0.0027   0.02426   0.01451  -0.0145   0.9841   1.0000
  -0.250   0.0396   0.02469   0.01465  -0.0168   0.9768   1.0000
   0.000   0.0784   0.02516   0.01486  -0.0195   0.9683   1.0000
   0.250   0.1185   0.02559   0.01510  -0.0223   0.9577   1.0000
   0.500   0.1605   0.02593   0.01528  -0.0254   0.9437   1.0000
   0.750   0.2066   0.02620   0.01542  -0.0290   0.9284   1.0000
   1.000   0.2576   0.02632   0.01545  -0.0333   0.9112   1.0000
   1.250   0.3160   0.02614   0.01520  -0.0385   0.8908   1.0000
   1.500   0.3668   0.02568   0.01470  -0.0418   0.8673   1.0000
   1.750   0.4074   0.02523   0.01424  -0.0431   0.8472   1.0000
   2.000   0.4326   0.02499   0.01401  -0.0419   0.8275   1.0000
   2.250   0.4590   0.02463   0.01368  -0.0408   0.8070   1.0000
   2.750   0.4681   0.02460   0.01372  -0.0317   0.7409   1.0000
   3.000   0.4798   0.02440   0.01354  -0.0282   0.6989   1.0000
   3.250   0.5278   0.02312   0.01221  -0.0294   0.6504   1.0000
   3.500   0.5902   0.02175   0.01033  -0.0322   0.5638   1.0000
   3.750   0.6163   0.02209   0.01012  -0.0309   0.4845   1.0000
   4.000   0.6335   0.02281   0.01040  -0.0287   0.4270   1.0000
   4.250   0.6502   0.02359   0.01080  -0.0267   0.3867   1.0000
   4.500   0.6687   0.02432   0.01127  -0.0251   0.3575   1.0000
   4.750   0.6892   0.02503   0.01177  -0.0239   0.3372   1.0000
   5.000   0.7114   0.02572   0.01233  -0.0229   0.3207   1.0000
   5.250   0.7352   0.02638   0.01289  -0.0223   0.3067   1.0000
   5.500   0.7601   0.02702   0.01351  -0.0218   0.2941   1.0000
   5.750   0.7862   0.02767   0.01413  -0.0216   0.2839   1.0000
   6.000   0.8138   0.02833   0.01482  -0.0216   0.2753   1.0000
   6.250   0.8416   0.02902   0.01556  -0.0216   0.2675   1.0000
   6.500   0.8678   0.02973   0.01630  -0.0214   0.2599   1.0000
   6.750   0.8937   0.03049   0.01715  -0.0212   0.2530   1.0000
   7.000   0.9187   0.03130   0.01807  -0.0209   0.2466   1.0000
   7.500   0.9670   0.03310   0.02007  -0.0200   0.2349   1.0000
   7.750   0.9900   0.03402   0.02109  -0.0194   0.2291   1.0000
   8.000   1.0133   0.03504   0.02219  -0.0189   0.2240   1.0000
   8.250   1.0329   0.03617   0.02359  -0.0179   0.2181   1.0000
   8.500   1.0545   0.03717   0.02467  -0.0172   0.2125   1.0000
   8.750   1.0736   0.03841   0.02609  -0.0162   0.2072   1.0000
   9.000   1.0903   0.03971   0.02767  -0.0149   0.2014   1.0000
   9.250   1.1111   0.04078   0.02878  -0.0142   0.1962   1.0000
   9.500   1.1253   0.04232   0.03062  -0.0127   0.1911   1.0000
   9.750   1.1378   0.04388   0.03248  -0.0110   0.1856   1.0000
  10.000   1.1565   0.04508   0.03376  -0.0100   0.1808   1.0000
  10.250   1.1681   0.04688   0.03581  -0.0083   0.1765   1.0000
  10.500   1.1719   0.04909   0.03845  -0.0058   0.1720   1.0000
  10.750   1.1809   0.05086   0.04045  -0.0039   0.1676   1.0000
  11.000   1.2019   0.05201   0.04158  -0.0034   0.1633   1.0000
  11.250   1.1906   0.05492   0.04496   0.0004   0.1596   1.0000
  11.500   1.1794   0.05783   0.04823   0.0038   0.1561   1.0000
  11.750   1.1712   0.06053   0.05117   0.0068   0.1532   1.0000
  12.000   1.1703   0.06268   0.05347   0.0092   0.1502   1.0000
  12.250   1.1807   0.06435   0.05520   0.0105   0.1469   1.0000
  12.500   1.1392   0.06921   0.06036   0.0144   0.1458   1.0000
  12.750   1.0889   0.07596   0.06731   0.0161   0.1452   1.0000
  13.000   1.0153   0.08755   0.07902   0.0133   0.1453   1.0000
