  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-13 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.5577   0.12849   0.12622   0.0176   1.0000   0.0059
 -11.000  -0.5553   0.12415   0.12188   0.0157   1.0000   0.0058
  -9.000  -0.7841   0.02647   0.02228  -0.0235   0.9843   0.0053
  -8.750  -0.7662   0.02327   0.01863  -0.0228   0.9747   0.0056
  -8.500  -0.7460   0.02132   0.01636  -0.0219   0.9671   0.0059
  -8.250  -0.7255   0.01982   0.01459  -0.0208   0.9602   0.0062
  -8.000  -0.7047   0.01860   0.01312  -0.0195   0.9525   0.0066
  -7.750  -0.6828   0.01767   0.01202  -0.0185   0.9457   0.0069
  -7.500  -0.6599   0.01704   0.01131  -0.0175   0.9389   0.0074
  -7.250  -0.6364   0.01645   0.01060  -0.0166   0.9330   0.0079
  -7.000  -0.6126   0.01577   0.00980  -0.0158   0.9264   0.0087
  -6.750  -0.5893   0.01517   0.00908  -0.0148   0.9204   0.0094
  -6.500  -0.5635   0.01487   0.00876  -0.0144   0.9137   0.0102
  -6.250  -0.5388   0.01454   0.00833  -0.0136   0.9077   0.0113
  -6.000  -0.5133   0.01412   0.00783  -0.0131   0.9018   0.0125
  -5.750  -0.4867   0.01409   0.00781  -0.0128   0.8957   0.0135
  -5.500  -0.4609   0.01388   0.00754  -0.0122   0.8900   0.0146
  -5.250  -0.4348   0.01348   0.00701  -0.0118   0.8834   0.0158
  -5.000  -0.4086   0.01336   0.00690  -0.0114   0.8776   0.0168
  -4.750  -0.3814   0.01328   0.00680  -0.0112   0.8713   0.0182
  -4.500  -0.3549   0.01302   0.00645  -0.0108   0.8646   0.0197
  -4.250  -0.3286   0.01268   0.00601  -0.0103   0.8582   0.0204
  -4.000  -0.3033   0.01206   0.00537  -0.0097   0.8513   0.0216
  -3.750  -0.2770   0.01178   0.00505  -0.0093   0.8456   0.0226
  -3.500  -0.2499   0.01153   0.00478  -0.0091   0.8391   0.0240
  -3.250  -0.2237   0.01126   0.00443  -0.0086   0.8310   0.0253
  -3.000  -0.1970   0.01101   0.00412  -0.0081   0.8192   0.0262
  -2.750  -0.1715   0.01058   0.00365  -0.0075   0.8070   0.0278
  -2.500  -0.1450   0.01035   0.00336  -0.0071   0.7955   0.0291
  -2.250  -0.1183   0.01014   0.00309  -0.0067   0.7839   0.0305
