  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-15 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.6227   0.10103   0.09950   0.0161   1.0000   0.0102
  -9.250  -0.6232   0.09610   0.09459   0.0134   1.0000   0.0102
  -9.000  -0.8831   0.02307   0.01940  -0.0072   1.0000   0.0053
  -8.750  -0.8671   0.02032   0.01625  -0.0058   1.0000   0.0053
  -8.500  -0.8474   0.01837   0.01401  -0.0047   1.0000   0.0054
  -8.250  -0.8254   0.01693   0.01234  -0.0040   1.0000   0.0055
  -8.000  -0.8018   0.01583   0.01106  -0.0034   1.0000   0.0057
  -7.750  -0.7774   0.01493   0.01003  -0.0029   1.0000   0.0059
  -7.500  -0.7524   0.01416   0.00914  -0.0024   1.0000   0.0061
  -7.250  -0.7273   0.01346   0.00835  -0.0020   1.0000   0.0065
  -7.000  -0.7025   0.01284   0.00763  -0.0015   1.0000   0.0070
  -6.750  -0.6801   0.01207   0.00676  -0.0005   1.0000   0.0079
  -6.500  -0.6488   0.01172   0.00639  -0.0013   0.9969   0.0095
  -6.250  -0.6156   0.01140   0.00607  -0.0026   0.9941   0.0117
  -6.000  -0.5834   0.01144   0.00614  -0.0036   0.9889   0.0132
  -5.750  -0.5521   0.01118   0.00584  -0.0044   0.9841   0.0144
  -5.500  -0.5236   0.01117   0.00587  -0.0045   0.9774   0.0155
  -5.000  -0.4724   0.01109   0.00576  -0.0033   0.9625   0.0177
  -4.750  -0.4482   0.01112   0.00575  -0.0023   0.9554   0.0184
  -4.500  -0.4260   0.01045   0.00501  -0.0011   0.9474   0.0198
  -4.250  -0.4015   0.01033   0.00491  -0.0002   0.9401   0.0212
  -4.000  -0.3755   0.01038   0.00496   0.0003   0.9324   0.0228
  -3.750  -0.3498   0.01026   0.00482   0.0009   0.9255   0.0242
  -3.500  -0.3233   0.01024   0.00477   0.0013   0.9179   0.0251
  -3.250  -0.3007   0.00931   0.00374   0.0026   0.9093   0.0269
  -3.000  -0.2761   0.00901   0.00341   0.0034   0.8989   0.0286
  -2.750  -0.2504   0.00880   0.00317   0.0041   0.8868   0.0301
  -2.500  -0.2241   0.00857   0.00289   0.0046   0.8751   0.0314
  -2.250  -0.1977   0.00837   0.00263   0.0050   0.8630   0.0325
  -2.000  -0.1710   0.00821   0.00241   0.0055   0.8502   0.0333
  -1.750  -0.1440   0.00809   0.00225   0.0058   0.8373   0.0339
  -1.500  -0.1174   0.00782   0.00188   0.0062   0.8247   0.0352
  -1.000  -0.0629   0.00747   0.00146   0.0068   0.8012   0.0431
  -0.750  -0.0357   0.00729   0.00130   0.0070   0.7894   0.0633
  -0.500  -0.0127   0.00644   0.00115   0.0077   0.7776   0.2876
  -0.250   0.0076   0.00544   0.00102   0.0089   0.7657   0.5648
