  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-8 AIRFOIL WITH TAB             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.6486   0.09721   0.09292   0.0197   1.0000   0.0525
  -8.000  -0.6518   0.09083   0.08657   0.0088   1.0000   0.0536
  -7.750  -0.6538   0.08495   0.08047  -0.0013   1.0000   0.0544
  -7.000  -0.6247   0.06427   0.05947  -0.0078   1.0000   0.0316
  -6.750  -0.6147   0.05596   0.05066  -0.0112   1.0000   0.0263
  -6.500  -0.5991   0.05190   0.04648  -0.0122   1.0000   0.0256
  -6.250  -0.5810   0.04710   0.04134  -0.0136   1.0000   0.0253
  -6.000  -0.5596   0.04199   0.03558  -0.0147   1.0000   0.0261
  -5.750  -0.5361   0.03757   0.03046  -0.0153   1.0000   0.0264
  -5.500  -0.5112   0.03389   0.02639  -0.0158   1.0000   0.0262
  -5.250  -0.4845   0.03050   0.02245  -0.0161   1.0000   0.0262
  -5.000  -0.4563   0.02750   0.01892  -0.0162   1.0000   0.0265
  -4.750  -0.4293   0.02582   0.01719  -0.0168   1.0000   0.0288
  -4.500  -0.4001   0.02411   0.01509  -0.0169   1.0000   0.0316
  -4.250  -0.3708   0.02227   0.01293  -0.0169   1.0000   0.0324
  -4.000  -0.3427   0.02045   0.01105  -0.0171   1.0000   0.0339
  -3.750  -0.3147   0.01935   0.00990  -0.0175   1.0000   0.0376
  -3.500  -0.2865   0.01818   0.00867  -0.0176   1.0000   0.0388
  -3.250  -0.2584   0.01718   0.00763  -0.0179   1.0000   0.0398
  -3.000  -0.2301   0.01639   0.00675  -0.0182   1.0000   0.0410
  -2.750  -0.2016   0.01577   0.00602  -0.0187   1.0000   0.0425
  -2.500  -0.1703   0.01513   0.00530  -0.0198   0.9882   0.0462
  -2.250  -0.1334   0.01469   0.00482  -0.0220   0.9695   0.0557
  -2.000  -0.1018   0.01419   0.00444  -0.0229   0.9450   0.0902
  -1.750  -0.0847   0.01181   0.00437  -0.0212   0.9104   0.6249
  -1.500  -0.0685   0.01152   0.00427  -0.0174   0.8714   0.7210
  -1.250  -0.0536   0.01136   0.00417  -0.0132   0.8382   0.7912
  -1.000  -0.0374   0.01125   0.00404  -0.0092   0.8090   0.8625
  -0.750  -0.0125   0.01119   0.00386  -0.0078   0.7890   0.9138
  -0.500   0.0152   0.01120   0.00366  -0.0073   0.7669   0.9539
  -0.250   0.0477   0.01119   0.00339  -0.0080   0.7401   0.9842
   0.000   0.0771   0.01122   0.00319  -0.0083   0.7159   1.0000
   0.250   0.1037   0.01132   0.00308  -0.0081   0.6911   1.0000
   0.500   0.1307   0.01143   0.00300  -0.0079   0.6707   1.0000
   0.750   0.1587   0.01152   0.00298  -0.0081   0.6573   1.0000
   1.000   0.1870   0.01162   0.00300  -0.0083   0.6461   1.0000
   1.250   0.2153   0.01173   0.00303  -0.0085   0.6358   1.0000
   1.500   0.2435   0.01184   0.00311  -0.0087   0.6263   1.0000
   1.750   0.2721   0.01195   0.00320  -0.0090   0.6169   1.0000
   2.000   0.3005   0.01208   0.00331  -0.0092   0.6082   1.0000
   2.250   0.3292   0.01221   0.00344  -0.0095   0.5989   1.0000
   2.500   0.3580   0.01235   0.00363  -0.0098   0.5875   1.0000
   2.750   0.3865   0.01250   0.00377  -0.0100   0.5709   1.0000
   3.000   0.4146   0.01266   0.00387  -0.0101   0.5424   1.0000
   3.250   0.4427   0.01285   0.00398  -0.0102   0.5079   1.0000
   3.500   0.4711   0.01306   0.00419  -0.0104   0.4685   1.0000
   3.750   0.4988   0.01344   0.00433  -0.0106   0.3955   1.0000
   4.000   0.5258   0.01429   0.00464  -0.0111   0.2777   1.0000
   4.250   0.5530   0.01531   0.00525  -0.0119   0.1808   1.0000
   4.500   0.5791   0.01685   0.00610  -0.0129   0.0602   1.0000
   4.750   0.6065   0.01761   0.00685  -0.0133   0.0475   1.0000
   5.000   0.6339   0.01832   0.00764  -0.0136   0.0438   1.0000
   5.250   0.6611   0.01908   0.00853  -0.0138   0.0416   1.0000
   5.500   0.6880   0.01983   0.00947  -0.0140   0.0403   1.0000
   5.750   0.7142   0.02070   0.01053  -0.0141   0.0392   1.0000
   6.000   0.7397   0.02170   0.01175  -0.0141   0.0384   1.0000
   6.250   0.7645   0.02285   0.01305  -0.0139   0.0377   1.0000
   6.500   0.7888   0.02416   0.01448  -0.0136   0.0368   1.0000
   6.750   0.8123   0.02558   0.01591  -0.0135   0.0341   1.0000
   7.000   0.8364   0.02724   0.01772  -0.0131   0.0324   1.0000
   7.250   0.8611   0.02846   0.01916  -0.0130   0.0288   1.0000
   7.500   0.8847   0.03046   0.02135  -0.0126   0.0273   1.0000
   7.750   0.9082   0.03286   0.02404  -0.0121   0.0258   1.0000
   8.000   0.9296   0.03508   0.02643  -0.0120   0.0237   1.0000
   8.250   0.9501   0.03790   0.02949  -0.0117   0.0223   1.0000
   8.500   0.9686   0.04166   0.03351  -0.0114   0.0217   1.0000
   8.750   0.9807   0.04602   0.03867  -0.0106   0.0215   1.0000
   9.000   0.9885   0.05063   0.04389  -0.0100   0.0215   1.0000
   9.250   0.9918   0.05534   0.04911  -0.0095   0.0215   1.0000
   9.500   0.9875   0.06024   0.05452  -0.0093   0.0215   1.0000
   9.750   0.9777   0.06508   0.05975  -0.0095   0.0214   1.0000
  10.000   0.9634   0.06954   0.06446  -0.0100   0.0214   1.0000
  10.250   0.9483   0.07432   0.06941  -0.0119   0.0215   1.0000
  10.500   0.9346   0.07971   0.07494  -0.0152   0.0216   1.0000
  10.750   0.9231   0.08548   0.08080  -0.0190   0.0218   1.0000
  11.000   0.8822   0.10094   0.09649  -0.0327   0.0239   1.0000
  11.250   0.8739   0.10886   0.10441  -0.0376   0.0243   1.0000
