  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-8 AIRFOIL WITH TAB             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.6782   0.08676   0.08486   0.0197   1.0000   0.0123
  -8.000  -0.6766   0.07940   0.07742   0.0109   1.0000   0.0123
  -7.750  -0.6834   0.07092   0.06886   0.0055   1.0000   0.0125
  -7.500  -0.6808   0.06496   0.06279   0.0021   1.0000   0.0126
  -7.250  -0.6726   0.06020   0.05792  -0.0002   1.0000   0.0128
  -7.000  -0.6610   0.05565   0.05324  -0.0024   1.0000   0.0130
  -6.750  -0.6465   0.05127   0.04870  -0.0042   1.0000   0.0132
  -6.500  -0.6292   0.04713   0.04438  -0.0058   1.0000   0.0136
  -6.250  -0.6096   0.04301   0.04003  -0.0071   1.0000   0.0141
  -6.000  -0.5875   0.03889   0.03565  -0.0082   1.0000   0.0151
  -5.750  -0.5574   0.03607   0.03240  -0.0080   1.0000   0.0174
  -5.500  -0.5320   0.03260   0.02850  -0.0084   1.0000   0.0176
  -4.500  -0.4254   0.01976   0.01449  -0.0118   1.0000   0.0269
  -4.250  -0.3969   0.01934   0.01405  -0.0130   1.0000   0.0359
  -4.000  -0.3632   0.01637   0.01066  -0.0129   0.9913   0.0300
  -3.750  -0.3338   0.01388   0.00779  -0.0119   0.9752   0.0250
  -3.500  -0.3151   0.01283   0.00670  -0.0097   0.9589   0.0268
  -3.250  -0.2916   0.01191   0.00571  -0.0084   0.9416   0.0270
  -3.000  -0.2692   0.01122   0.00495  -0.0069   0.9207   0.0274
  -2.750  -0.2498   0.01082   0.00446  -0.0046   0.8932   0.0287
  -2.500  -0.2275   0.01040   0.00388  -0.0030   0.8577   0.0294
  -2.250  -0.2023   0.01008   0.00335  -0.0021   0.8170   0.0298
  -2.000  -0.1752   0.00994   0.00289  -0.0017   0.7561   0.0304
  -1.750  -0.1459   0.00984   0.00252  -0.0020   0.7088   0.0310
  -1.500  -0.1161   0.00972   0.00226  -0.0024   0.6827   0.0320
  -1.250  -0.0862   0.00962   0.00203  -0.0028   0.6600   0.0339
  -1.000  -0.0563   0.00955   0.00185  -0.0033   0.6355   0.0374
  -0.750  -0.0262   0.00963   0.00165  -0.0038   0.5842   0.0427
  -0.500   0.0041   0.00971   0.00150  -0.0045   0.5268   0.0521
  -0.250   0.0369   0.00850   0.00127  -0.0071   0.4472   0.4496
   0.000   0.0717   0.00981   0.00150  -0.0103   0.0399   0.5545
   0.250   0.1014   0.00960   0.00151  -0.0109   0.0375   0.6326
   0.500   0.1308   0.00953   0.00151  -0.0113   0.0368   0.6713
   0.750   0.1600   0.00942   0.00154  -0.0117   0.0373   0.7208
   1.000   0.1865   0.00915   0.00162  -0.0112   0.0393   0.8150
   1.250   0.2042   0.00895   0.00170  -0.0084   0.0420   0.9053
   1.500   0.2223   0.00887   0.00169  -0.0057   0.0464   0.9651
   1.750   0.2524   0.00880   0.00163  -0.0062   0.0499   1.0000
   2.000   0.2823   0.00890   0.00172  -0.0067   0.0507   1.0000
   2.250   0.3122   0.00901   0.00184  -0.0073   0.0505   1.0000
   2.500   0.3421   0.00914   0.00197  -0.0078   0.0492   1.0000
   2.750   0.3719   0.00929   0.00212  -0.0084   0.0464   1.0000
   3.000   0.4018   0.00944   0.00229  -0.0089   0.0446   1.0000
   3.250   0.4315   0.00961   0.00250  -0.0095   0.0404   1.0000
   3.500   0.4613   0.00983   0.00274  -0.0100   0.0358   1.0000
   3.750   0.4911   0.01007   0.00299  -0.0106   0.0333   1.0000
   4.000   0.5208   0.01031   0.00327  -0.0111   0.0325   1.0000
   4.250   0.5504   0.01059   0.00360  -0.0116   0.0318   1.0000
   4.500   0.5799   0.01089   0.00395  -0.0121   0.0309   1.0000
   4.750   0.6093   0.01127   0.00437  -0.0126   0.0306   1.0000
   5.000   0.6387   0.01172   0.00488  -0.0132   0.0303   1.0000
   5.250   0.6678   0.01225   0.00550  -0.0137   0.0301   1.0000
   5.500   0.6966   0.01280   0.00609  -0.0142   0.0291   1.0000
   5.750   0.7250   0.01345   0.00678  -0.0146   0.0279   1.0000
   6.000   0.7521   0.01467   0.00805  -0.0150   0.0266   1.0000
   6.250   0.7791   0.01578   0.00925  -0.0151   0.0259   1.0000
   6.500   0.8052   0.01742   0.01100  -0.0149   0.0256   1.0000
   7.000   0.8292   0.00978   0.00400  -0.0115   0.0242   1.0000
   7.250   0.8504   0.01196   0.00643  -0.0115   0.0202   1.0000
   7.500   0.8732   0.01360   0.00830  -0.0113   0.0183   1.0000
   7.750   0.8940   0.01611   0.01081  -0.0113   0.0171   1.0000
   8.000   0.9424   0.03644   0.03133  -0.0144   0.0162   1.0000
   8.250   0.9588   0.03967   0.03503  -0.0139   0.0162   1.0000
   8.500   0.9845   0.03720   0.03295  -0.0135   0.0130   1.0000
   8.750   1.0007   0.03901   0.03473  -0.0141   0.0110   1.0000
   9.000   1.0080   0.04333   0.03961  -0.0134   0.0108   1.0000
   9.250   1.0092   0.04833   0.04499  -0.0129   0.0109   1.0000
   9.500   1.0052   0.05331   0.05027  -0.0127   0.0110   1.0000
   9.750   0.9982   0.05815   0.05527  -0.0127   0.0112   1.0000
  12.500   0.6861   0.13313   0.13116  -0.0400   0.0160   1.0000
  12.750   0.6783   0.13871   0.13672  -0.0422   0.0158   1.0000
