  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-9 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.6493   0.09257   0.08794   0.0047   1.0000   0.0905
  -8.000  -0.6627   0.08807   0.08347  -0.0031   1.0000   0.0916
  -7.750  -0.6745   0.08444   0.07965  -0.0096   1.0000   0.0923
  -7.500  -0.6484   0.07941   0.07486  -0.0020   1.0000   0.1004
  -7.250  -0.6584   0.07506   0.07026  -0.0105   1.0000   0.1054
  -7.000  -0.6462   0.06976   0.06509  -0.0088   1.0000   0.1094
  -6.750  -0.6486   0.06751   0.06227  -0.0140   1.0000   0.1195
  -6.500  -0.6298   0.06149   0.05667  -0.0113   1.0000   0.1243
  -6.250  -0.6205   0.05745   0.05247  -0.0126   1.0000   0.1363
  -6.000  -0.6082   0.05389   0.04876  -0.0128   1.0000   0.1504
  -5.750  -0.5971   0.05081   0.04546  -0.0133   1.0000   0.1749
  -5.500  -0.5836   0.04780   0.04248  -0.0122   1.0000   0.2025
  -4.500  -0.4691   0.02828   0.01999  -0.0119   1.0000   0.0733
  -4.250  -0.4407   0.02547   0.01650  -0.0103   1.0000   0.0631
  -4.000  -0.4143   0.02281   0.01352  -0.0092   1.0000   0.0604
  -3.750  -0.3876   0.02090   0.01133  -0.0081   1.0000   0.0618
  -3.500  -0.3612   0.01940   0.00960  -0.0071   1.0000   0.0662
  -3.250  -0.3365   0.01756   0.00775  -0.0061   1.0000   0.0686
  -3.000  -0.3131   0.01630   0.00655  -0.0049   1.0000   0.0729
  -2.750  -0.2904   0.01530   0.00555  -0.0038   1.0000   0.0837
  -2.500  -0.2670   0.01444   0.00460  -0.0027   1.0000   0.0936
  -2.250  -0.2466   0.01267   0.00361  -0.0015   1.0000   0.2279
  -2.000  -0.2398   0.01032   0.00372   0.0046   1.0000   0.8154
  -1.750  -0.1523   0.01034   0.00342  -0.0051   1.0000   0.9778
  -1.500  -0.1013   0.01021   0.00300  -0.0103   1.0000   1.0000
  -1.250  -0.0828   0.01008   0.00274  -0.0090   1.0000   1.0000
  -1.000  -0.0636   0.00999   0.00254  -0.0077   1.0000   1.0000
  -0.750  -0.0441   0.00993   0.00241  -0.0064   1.0000   1.0000
  -0.500  -0.0247   0.00990   0.00229  -0.0051   1.0000   1.0000
  -0.250  -0.0054   0.00990   0.00224  -0.0038   1.0000   1.0000
   0.000   0.0139   0.00992   0.00225  -0.0024   1.0000   1.0000
   0.250   0.0332   0.00996   0.00230  -0.0011   1.0000   1.0000
   0.500   0.0521   0.01004   0.00240   0.0002   1.0000   1.0000
   0.750   0.0703   0.01017   0.00256   0.0015   1.0000   1.0000
   1.000   0.0872   0.01035   0.00281   0.0029   1.0000   1.0000
   1.250   0.1039   0.01060   0.00311   0.0041   0.9995   1.0000
   1.500   0.1792   0.01067   0.00340  -0.0057   0.9698   1.0000
   1.750   0.2423   0.01057   0.00352  -0.0123   0.9306   1.0000
   2.000   0.2867   0.01055   0.00374  -0.0150   0.8895   1.0000
   2.250   0.3187   0.01062   0.00392  -0.0148   0.8400   1.0000
   2.500   0.3382   0.01084   0.00391  -0.0110   0.7379   1.0000
   2.750   0.3520   0.01159   0.00388  -0.0064   0.5276   1.0000
   3.000   0.3631   0.01456   0.00464  -0.0039   0.1007   1.0000
   3.250   0.3860   0.01561   0.00566  -0.0029   0.0800   1.0000
   3.500   0.4095   0.01650   0.00668  -0.0018   0.0735   1.0000
   3.750   0.4322   0.01771   0.00787  -0.0006   0.0695   1.0000
   4.000   0.4557   0.01961   0.00965   0.0006   0.0672   1.0000
   4.250   0.4819   0.02080   0.01107   0.0015   0.0613   1.0000
   4.500   0.5087   0.02286   0.01334   0.0026   0.0605   1.0000
   4.750   0.5357   0.02548   0.01633   0.0037   0.0626   1.0000
   5.000   0.5613   0.02867   0.01995   0.0048   0.0653   1.0000
   5.250   0.5854   0.03154   0.02330   0.0060   0.0650   1.0000
   5.500   0.6101   0.03701   0.02920   0.0071   0.0797   1.0000
   6.750   0.6974   0.06225   0.05749   0.0043   0.1531   1.0000
   7.000   0.7027   0.06647   0.06180   0.0033   0.1412   1.0000
   7.750   0.6337   0.07224   0.06802  -0.0018   0.1315   1.0000
   8.000   0.6117   0.07739   0.07309  -0.0067   0.1287   1.0000
   8.250   0.6427   0.08173   0.07746  -0.0005   0.1199   1.0000
   8.500   0.6162   0.08683   0.08248  -0.0069   0.1192   1.0000
   8.750   0.5965   0.09153   0.08710  -0.0118   0.1160   1.0000
