  
       XFOIL         Version 6.96
  
 Calculated polar for: WASP (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.250  -0.9535   0.03419   0.03172  -0.0644   1.0000   0.0057
 -12.000  -0.9503   0.03064   0.02793  -0.0644   1.0000   0.0058
 -11.750  -0.9403   0.02820   0.02529  -0.0639   1.0000   0.0059
 -11.500  -0.9271   0.02628   0.02317  -0.0631   1.0000   0.0060
 -11.250  -0.9115   0.02475   0.02149  -0.0623   1.0000   0.0061
 -11.000  -0.8946   0.02343   0.02004  -0.0613   1.0000   0.0062
 -10.750  -0.8770   0.02226   0.01873  -0.0603   1.0000   0.0063
 -10.500  -0.8591   0.02118   0.01753  -0.0591   1.0000   0.0065
 -10.250  -0.8412   0.02017   0.01639  -0.0578   1.0000   0.0066
 -10.000  -0.8147   0.01908   0.01515  -0.0584   0.9992   0.0068
  -9.750  -0.7859   0.01803   0.01394  -0.0593   0.9977   0.0069
  -9.500  -0.7570   0.01710   0.01287  -0.0601   0.9956   0.0071
  -9.000  -0.7068   0.01554   0.01108  -0.0597   0.9816   0.0073
  -8.750  -0.6780   0.01487   0.01029  -0.0602   0.9767   0.0074
  -8.500  -0.6489   0.01396   0.00925  -0.0609   0.9730   0.0077
  -8.250  -0.6175   0.01326   0.00845  -0.0619   0.9700   0.0080
  -8.000  -0.5840   0.01270   0.00783  -0.0633   0.9674   0.0084
  -7.750  -0.5491   0.01221   0.00727  -0.0650   0.9644   0.0087
  -7.500  -0.5128   0.01174   0.00673  -0.0670   0.9607   0.0091
  -7.250  -0.4736   0.01127   0.00619  -0.0696   0.9574   0.0096
  -7.000  -0.4324   0.01084   0.00568  -0.0727   0.9541   0.0100
  -6.750  -0.3950   0.01043   0.00520  -0.0749   0.9478   0.0105
  -6.500  -0.3584   0.01002   0.00474  -0.0769   0.9403   0.0113
  -6.250  -0.3273   0.00977   0.00445  -0.0776   0.9309   0.0121
  -6.000  -0.2967   0.00954   0.00415  -0.0782   0.9207   0.0130
  -5.750  -0.2675   0.00934   0.00388  -0.0784   0.9087   0.0136
  -5.500  -0.2402   0.00906   0.00354  -0.0782   0.8945   0.0146
  -5.250  -0.2135   0.00886   0.00328  -0.0778   0.8781   0.0157
  -5.000  -0.1874   0.00871   0.00304  -0.0773   0.8593   0.0167
  -4.750  -0.1617   0.00859   0.00282  -0.0767   0.8396   0.0177
  -4.500  -0.1366   0.00847   0.00260  -0.0759   0.8201   0.0187
  -4.250  -0.1116   0.00833   0.00241  -0.0751   0.8008   0.0207
  -4.000  -0.0865   0.00824   0.00224  -0.0744   0.7821   0.0226
  -3.750  -0.0613   0.00818   0.00208  -0.0736   0.7634   0.0240
  -3.500  -0.0365   0.00807   0.00192  -0.0728   0.7452   0.0276
  -3.250  -0.0111   0.00801   0.00178  -0.0721   0.7267   0.0304
  -3.000   0.0141   0.00793   0.00165  -0.0714   0.7084   0.0348
  -2.750   0.0393   0.00789   0.00154  -0.0707   0.6891   0.0393
