  
       XFOIL         Version 6.96
  
 Calculated polar for: WASP (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.4615   0.09316   0.09151  -0.0211   1.0000   0.0140
  -9.250  -0.6816   0.03375   0.03160  -0.0573   1.0000   0.0094
  -9.000  -0.6950   0.02716   0.02442  -0.0556   1.0000   0.0095
  -8.750  -0.6900   0.02463   0.02160  -0.0531   1.0000   0.0097
  -8.500  -0.6629   0.02236   0.01902  -0.0546   0.9987   0.0100
  -8.250  -0.6328   0.02063   0.01701  -0.0562   0.9970   0.0102
  -8.000  -0.6078   0.01712   0.01298  -0.0574   0.9948   0.0106
  -7.750  -0.5790   0.01577   0.01148  -0.0582   0.9918   0.0111
  -7.500  -0.5472   0.01506   0.01068  -0.0593   0.9886   0.0115
  -7.250  -0.5172   0.01438   0.00991  -0.0600   0.9845   0.0119
  -7.000  -0.4862   0.01366   0.00908  -0.0608   0.9807   0.0123
  -6.750  -0.4536   0.01293   0.00825  -0.0619   0.9778   0.0128
  -6.500  -0.4236   0.01233   0.00756  -0.0624   0.9733   0.0133
  -6.250  -0.3900   0.01189   0.00704  -0.0636   0.9702   0.0137
  -6.000  -0.3568   0.01066   0.00567  -0.0650   0.9677   0.0149
  -5.750  -0.3200   0.01029   0.00527  -0.0669   0.9648   0.0160
  -5.500  -0.2827   0.00999   0.00494  -0.0690   0.9607   0.0173
  -5.250  -0.2418   0.00972   0.00462  -0.0719   0.9572   0.0183
  -5.000  -0.2015   0.00898   0.00381  -0.0747   0.9530   0.0205
  -4.750  -0.1681   0.00875   0.00355  -0.0759   0.9444   0.0222
  -4.500  -0.1337   0.00856   0.00331  -0.0772   0.9364   0.0235
  -4.250  -0.1046   0.00816   0.00285  -0.0774   0.9256   0.0262
  -4.000  -0.0771   0.00800   0.00266  -0.0772   0.9135   0.0286
  -3.750  -0.0493   0.00786   0.00248  -0.0770   0.9003   0.0305
  -3.500  -0.0230   0.00759   0.00216  -0.0764   0.8853   0.0356
  -3.250   0.0037   0.00749   0.00200  -0.0760   0.8687   0.0394
