  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-135/35  13.5%  smoothed                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.500  -0.7488   0.08435   0.08172  -0.0557   1.0000   0.0041
 -15.250  -0.7653   0.07821   0.07550  -0.0589   1.0000   0.0041
 -15.000  -0.7925   0.07087   0.06804  -0.0627   1.0000   0.0040
 -14.750  -0.8035   0.06615   0.06325  -0.0651   1.0000   0.0039
 -14.500  -0.8236   0.06024   0.05727  -0.0682   1.0000   0.0040
 -14.250  -0.8459   0.05421   0.05116  -0.0713   1.0000   0.0040
 -14.000  -0.8751   0.04754   0.04437  -0.0747   1.0000   0.0040
 -13.750  -0.8950   0.04206   0.03881  -0.0774   1.0000   0.0041
 -13.500  -0.9266   0.03497   0.03157  -0.0816   1.0000   0.0040
 -13.250  -0.9237   0.02915   0.02557  -0.0906   0.9965   0.0041
 -13.000  -0.9177   0.02648   0.02274  -0.0922   0.9837   0.0041
 -12.750  -0.8975   0.02468   0.02082  -0.0942   0.9754   0.0041
 -12.500  -0.8714   0.02348   0.01953  -0.0960   0.9678   0.0043
 -12.250  -0.8408   0.02195   0.01786  -0.0991   0.9615   0.0044
 -12.000  -0.8071   0.02093   0.01676  -0.1019   0.9530   0.0046
 -11.750  -0.7753   0.01973   0.01542  -0.1045   0.9415   0.0047
 -11.500  -0.7477   0.01879   0.01434  -0.1058   0.9280   0.0048
 -11.250  -0.7253   0.01803   0.01344  -0.1057   0.9138   0.0049
 -11.000  -0.7062   0.01731   0.01258  -0.1049   0.9004   0.0050
 -10.750  -0.6861   0.01676   0.01191  -0.1039   0.8882   0.0052
 -10.500  -0.6668   0.01616   0.01119  -0.1028   0.8763   0.0053
 -10.250  -0.6459   0.01568   0.01061  -0.1019   0.8654   0.0054
 -10.000  -0.6258   0.01512   0.00994  -0.1008   0.8543   0.0056
  -9.750  -0.6064   0.01449   0.00919  -0.0996   0.8425   0.0058
  -9.500  -0.5848   0.01405   0.00865  -0.0986   0.8302   0.0061
  -9.250  -0.5628   0.01363   0.00813  -0.0977   0.8180   0.0063
  -9.000  -0.5397   0.01328   0.00770  -0.0969   0.8068   0.0066
  -8.750  -0.5166   0.01294   0.00726  -0.0962   0.7964   0.0068
  -8.500  -0.4931   0.01261   0.00685  -0.0955   0.7862   0.0072
  -8.250  -0.4687   0.01233   0.00649  -0.0949   0.7770   0.0076
  -8.000  -0.4446   0.01205   0.00612  -0.0942   0.7680   0.0078
  -7.750  -0.4211   0.01163   0.00562  -0.0935   0.7591   0.0085
  -7.500  -0.3965   0.01135   0.00527  -0.0929   0.7511   0.0091
  -7.250  -0.3714   0.01109   0.00495  -0.0924   0.7436   0.0098
  -7.000  -0.3461   0.01086   0.00466  -0.0919   0.7371   0.0104
  -6.750  -0.3202   0.01065   0.00440  -0.0915   0.7306   0.0110
  -6.250  -0.2693   0.01015   0.00380  -0.0906   0.7184   0.0142
  -6.000  -0.2433   0.00996   0.00356  -0.0902   0.7122   0.0160
  -5.750  -0.2174   0.00974   0.00332  -0.0898   0.7070   0.0196
  -5.500  -0.1914   0.00951   0.00309  -0.0894   0.7019   0.0260
  -5.250  -0.1658   0.00927   0.00285  -0.0890   0.6961   0.0366
  -5.000  -0.1419   0.00881   0.00251  -0.0883   0.6898   0.0733
  -4.750  -0.1180   0.00840   0.00225  -0.0877   0.6822   0.1157
  -4.500  -0.0921   0.00821   0.00211  -0.0873   0.6752   0.1394
  -4.250  -0.0654   0.00809   0.00200  -0.0870   0.6689   0.1524
  -4.000  -0.0389   0.00799   0.00191  -0.0867   0.6627   0.1652
  -3.750  -0.0119   0.00788   0.00182  -0.0865   0.6563   0.1793
  -3.500   0.0148   0.00782   0.00174  -0.0862   0.6497   0.1884
  -3.250   0.0421   0.00775   0.00166  -0.0860   0.6436   0.1970
  -3.000   0.0691   0.00769   0.00159  -0.0858   0.6371   0.2049
  -2.750   0.0963   0.00765   0.00152  -0.0856   0.6319   0.2112
  -2.500   0.1237   0.00760   0.00146  -0.0854   0.6263   0.2174
  -2.250   0.1506   0.00757   0.00141  -0.0852   0.6199   0.2247
  -2.000   0.1779   0.00753   0.00137  -0.0850   0.6132   0.2324
  -1.750   0.2047   0.00751   0.00133  -0.0847   0.6049   0.2423
  -1.500   0.2317   0.00746   0.00130  -0.0845   0.5975   0.2537
  -1.250   0.2586   0.00744   0.00127  -0.0842   0.5905   0.2643
  -1.000   0.2858   0.00742   0.00126  -0.0841   0.5847   0.2750
  -0.750   0.3129   0.00740   0.00125  -0.0838   0.5777   0.2862
  -0.500   0.3397   0.00740   0.00125  -0.0836   0.5698   0.2964
  -0.250   0.3663   0.00741   0.00125  -0.0833   0.5601   0.3062
   0.000   0.3931   0.00743   0.00126  -0.0830   0.5496   0.3169
   0.250   0.4194   0.00745   0.00127  -0.0827   0.5389   0.3265
   0.750   0.4713   0.00757   0.00133  -0.0818   0.5083   0.3440
   1.000   0.4959   0.00769   0.00138  -0.0812   0.4851   0.3527
   1.250   0.5195   0.00787   0.00147  -0.0804   0.4551   0.3641
   1.500   0.5422   0.00810   0.00159  -0.0794   0.4202   0.3758
   1.750   0.5645   0.00836   0.00173  -0.0783   0.3861   0.3879
   2.000   0.5881   0.00854   0.00185  -0.0775   0.3653   0.4007
   2.250   0.6122   0.00867   0.00197  -0.0769   0.3503   0.4188
   2.500   0.6369   0.00877   0.00207  -0.0763   0.3385   0.4362
   2.750   0.6617   0.00886   0.00219  -0.0757   0.3293   0.4551
   3.250   0.7106   0.00906   0.00243  -0.0744   0.3107   0.4945
   3.500   0.7347   0.00918   0.00256  -0.0737   0.3015   0.5129
   3.750   0.7587   0.00927   0.00269  -0.0730   0.2936   0.5379
   4.000   0.7826   0.00933   0.00283  -0.0723   0.2879   0.5678
   4.250   0.8067   0.00937   0.00295  -0.0716   0.2839   0.5974
   4.500   0.8295   0.00942   0.00309  -0.0706   0.2781   0.6347
   4.750   0.8469   0.00927   0.00325  -0.0685   0.2701   0.7493
   5.250   0.9802   0.00957   0.00392  -0.0864   0.2405   1.0000
   5.500   1.0014   0.00980   0.00410  -0.0851   0.2299   1.0000
   5.750   1.0219   0.01007   0.00430  -0.0838   0.2159   1.0000
   6.000   1.0407   0.01040   0.00454  -0.0821   0.1958   1.0000
   6.250   1.0515   0.01110   0.00498  -0.0791   0.1542   1.0000
   6.500   1.0525   0.01226   0.00575  -0.0744   0.0888   1.0000
   6.750   1.0487   0.01363   0.00677  -0.0688   0.0174   1.0000
   7.000   1.0641   0.01396   0.00709  -0.0665   0.0138   1.0000
   7.250   1.0806   0.01425   0.00740  -0.0645   0.0125   1.0000
   7.500   1.0969   0.01457   0.00775  -0.0624   0.0112   1.0000
   7.750   1.1131   0.01494   0.00813  -0.0605   0.0102   1.0000
   8.000   1.1285   0.01538   0.00860  -0.0584   0.0091   1.0000
   8.250   1.1457   0.01575   0.00900  -0.0568   0.0087   1.0000
   8.500   1.1621   0.01618   0.00945  -0.0551   0.0082   1.0000
   8.750   1.1786   0.01662   0.00992  -0.0534   0.0077   1.0000
   9.000   1.1941   0.01714   0.01045  -0.0517   0.0070   1.0000
   9.250   1.2080   0.01777   0.01111  -0.0498   0.0065   1.0000
   9.500   1.2241   0.01829   0.01166  -0.0483   0.0062   1.0000
   9.750   1.2390   0.01890   0.01231  -0.0468   0.0059   1.0000
  10.000   1.2534   0.01957   0.01303  -0.0452   0.0057   1.0000
  10.250   1.2679   0.02025   0.01374  -0.0437   0.0054   1.0000
  10.500   1.2813   0.02102   0.01456  -0.0422   0.0052   1.0000
  10.750   1.2940   0.02186   0.01544  -0.0407   0.0051   1.0000
  11.000   1.3060   0.02277   0.01638  -0.0393   0.0047   1.0000
  11.250   1.3142   0.02400   0.01767  -0.0375   0.0045   1.0000
  11.500   1.3248   0.02509   0.01881  -0.0361   0.0044   1.0000
  11.750   1.3371   0.02607   0.01984  -0.0349   0.0043   1.0000
  12.000   1.3465   0.02732   0.02117  -0.0336   0.0041   1.0000
  12.250   1.3579   0.02843   0.02233  -0.0326   0.0040   1.0000
  12.500   1.3662   0.02983   0.02379  -0.0315   0.0039   1.0000
  12.750   1.3716   0.03153   0.02556  -0.0302   0.0037   1.0000
  13.000   1.3806   0.03294   0.02703  -0.0293   0.0036   1.0000
  13.250   1.3833   0.03495   0.02912  -0.0282   0.0036   1.0000
  13.500   1.3914   0.03653   0.03075  -0.0275   0.0034   1.0000
  13.750   1.3952   0.03856   0.03285  -0.0267   0.0034   1.0000
  14.000   1.3982   0.04072   0.03506  -0.0260   0.0032   1.0000
  14.250   1.4025   0.04280   0.03722  -0.0254   0.0032   1.0000
  14.500   1.3978   0.04593   0.04045  -0.0248   0.0031   1.0000
  14.750   1.3973   0.04870   0.04331  -0.0245   0.0031   1.0000
  15.000   1.3918   0.05211   0.04682  -0.0243   0.0030   1.0000
