  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-135/35  13.5%  smoothed                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.000  -0.5255   0.06691   0.06329  -0.0744   1.0000   0.0358
 -10.750  -0.5339   0.06248   0.05889  -0.0744   1.0000   0.0349
 -10.500  -0.5598   0.05709   0.05350  -0.0760   1.0000   0.0337
 -10.250  -0.5934   0.05417   0.05059  -0.0760   1.0000   0.0339
 -10.000  -0.6295   0.05297   0.04943  -0.0705   1.0000   0.0330
  -9.750  -0.6580   0.05145   0.04784  -0.0667   0.9991   0.0333
  -9.500  -0.6486   0.04479   0.04065  -0.0742   0.9890   0.0331
  -9.250  -0.6326   0.03947   0.03478  -0.0785   0.9814   0.0323
  -9.000  -0.6137   0.03511   0.02986  -0.0808   0.9732   0.0317
  -8.750  -0.5890   0.03180   0.02608  -0.0826   0.9667   0.0315
  -8.500  -0.5611   0.02926   0.02319  -0.0840   0.9602   0.0318
  -8.250  -0.5263   0.02704   0.02068  -0.0863   0.9568   0.0325
  -8.000  -0.4994   0.02543   0.01886  -0.0867   0.9490   0.0337
  -7.750  -0.4629   0.02417   0.01734  -0.0887   0.9448   0.0354
  -7.500  -0.4278   0.02181   0.01496  -0.0910   0.9422   0.0378
  -7.250  -0.4016   0.02061   0.01374  -0.0911   0.9342   0.0400
  -7.000  -0.3677   0.01946   0.01250  -0.0926   0.9297   0.0427
  -6.750  -0.3368   0.01823   0.01120  -0.0936   0.9246   0.0473
  -6.500  -0.3108   0.01735   0.01021  -0.0935   0.9164   0.0539
  -6.250  -0.2796   0.01598   0.00887  -0.0944   0.9119   0.0739
  -6.000  -0.2599   0.01510   0.00848  -0.0934   0.9021   0.1785
  -5.750  -0.2254   0.01506   0.00829  -0.0946   0.8974   0.2051
  -5.500  -0.2004   0.01505   0.00819  -0.0940   0.8889   0.2206
